qseqid	sseqid	pident	length	qlen	slen	qcovs	evalue	bitscore	stitle	source	_gene_id	accession	homolog_rank
g17827.t1	tr|A0A8S4G1B6|A0A8S4G1B6_PLUXY	69.48	1019	1020	1012	99	0.0	1556.0	tr|A0A8S4G1B6|A0A8S4G1B6_PLUXY Presequence protease, mitochondrial OS=Plutella xylostella OX=51655 GN=PLXY2_LOCUS11907 PE=3 SV=1	TrEMBL	g17827	A0A8S4G1B6	7
g17827.t1	tr|A0ABQ7R6I8|A0ABQ7R6I8_PLUXY	69.48	1019	1020	1012	99	0.0	1555.0	tr|A0ABQ7R6I8|A0ABQ7R6I8_PLUXY Presequence protease, mitochondrial OS=Plutella xylostella OX=51655 GN=JYU34_001305 PE=3 SV=1	TrEMBL	g17827	A0ABQ7R6I8	8
g17827.t1	tr|A0A8R2R3P3|A0A8R2R3P3_BOMMO	69.676	1019	1020	1016	99	0.0	1551.0	tr|A0A8R2R3P3|A0A8R2R3P3_BOMMO Presequence protease, mitochondrial OS=Bombyx mori OX=7091 PE=3 SV=1	TrEMBL	g17827	A0A8R2R3P3	9
g17827.t1	tr|A0A6J2KKG6|A0A6J2KKG6_BOMMA	69.676	1019	1020	1016	99	0.0	1551.0	tr|A0A6J2KKG6|A0A6J2KKG6_BOMMA Presequence protease, mitochondrial OS=Bombyx mandarina OX=7092 GN=LOC114252537 PE=3 SV=1	TrEMBL	g17827	A0A6J2KKG6	10
g18260.t1	tr|A0A4C1XRM5|A0A4C1XRM5_EUMVA	90.642	748	748	941	100	0.0	1400.0	tr|A0A4C1XRM5|A0A4C1XRM5_EUMVA Transient receptor potential channel pyrexia OS=Eumeta variegata OX=151549 GN=pyx PE=4 SV=1	TrEMBL	g18260	A0A4C1XRM5	1
g10012.t1	tr|A0A4C1TF09|A0A4C1TF09_EUMVA	88.727	754	754	754	100	0.0	1345.0	Insulin-like growth factor-binding protein complex acid labile subunit OS=Eumeta variegata OX=151549 GN=Igfals PE=4 SV=1	TrEMBL	g10012	A0A4C1TF09	1
g97.t1	tr|A0A4C1W4H9|A0A4C1W4H9_EUMVA	86.024	737	739	892	99	0.0	1335.0	Aminopeptidase OS=Eumeta variegata OX=151549 GN=EVAR_95136_1 PE=3 SV=1	TrEMBL	g97	A0A4C1W4H9	1
g1470.t1	tr|A0A4C1ZKB9|A0A4C1ZKB9_EUMVA	62.115	1201	1346	1187	97	0.0	1295.0	Probable chitinase 10 OS=Eumeta variegata OX=151549 GN=Cht10 PE=4 SV=1	TrEMBL	g1470	A0A4C1ZKB9	1
g96.t1	tr|A0A8S3XUU4|A0A8S3XUU4_PARAO	61.489	927	985	2776	96	0.0	1221.0	(apollo) hypothetical protein OS=Parnassius apollo OX=110799 GN=PAPOLLO_LOCUS22103 PE=3 SV=1	TrEMBL	g96	A0A8S3XUU4	2
g96.t1	tr|A0ABN8J030|A0ABN8J030_9NEOP	61.695	932	985	1835	95	0.0	1220.0	Aminopeptidase N (Fragment) OS=Iphiclides podalirius OX=110791 GN=IPOD504_LOCUS14899 PE=3 SV=1	TrEMBL	g96	A0ABN8J030	3
g96.t1	tr|A0AAV1LW37|A0AAV1LW37_9NEOP	59.491	943	985	948	96	0.0	1207.0	Aminopeptidase OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS17999 PE=3 SV=1	TrEMBL	g96	A0AAV1LW37	4
g96.t1	tr|A0A194QEK1|A0A194QEK1_PAPXU	60.084	947	985	948	96	0.0	1204.0	Aminopeptidase OS=Papilio xuthus OX=66420 GN=RR46_06531 PE=3 SV=1	TrEMBL	g96	A0A194QEK1	5
g3621.t1	tr|A0A8S3XSS1|A0A8S3XSS1_PARAO	60.924	952	952	949	99	0.0	1201.0	Aminopeptidase OS=Parnassius apollo OX=110799 GN=PAPOLLO_LOCUS22104 PE=3 SV=1		g3621	A0A8S3XSS1	2
g3804.t1	tr|A0ABN8IE77|A0ABN8IE77_9NEOP	64.924	918	914	925	99	0.0	1198.0	Ig-like domain-containing protein (Fragment) OS=Iphiclides podalirius OX=110791 GN=IPOD504_LOCUS9241 PE=4 SV=1	TrEMBL	g3804	A0ABN8IE77	2
g3804.t1	tr|A0A0N0PC16|A0A0N0PC16_PAPMA	63.596	912	914	920	99	0.0	1194.0	Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2 OS=Papilio machaon OX=76193 GN=RR48_01708 PE=4 SV=1	TrEMBL	g3804	A0A0N0PC16	3
g3804.t1	tr|A0A194Q756|A0A194Q756_PAPXU	63.21	916	914	925	99	0.0	1190.0	Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2 OS=Papilio xuthus OX=66420 GN=RR46_03149 PE=4 SV=1	TrEMBL	g3804	A0A194Q756	4
g3621.t1	tr|A0AAV1LY17|A0AAV1LY17_9NEOP	60.654	948	952	1916	99	0.0	1189.0	Aminopeptidase N OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS17996 PE=3 SV=1		g3621	A0AAV1LY17	3
g3621.t1	tr|A0AAV1LUD6|A0AAV1LUD6_9NEOP	60.654	948	952	1922	99	0.0	1188.0	Aminopeptidase N OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS17996 PE=3 SV=1		g3621	A0AAV1LUD6	4
g96.t1	tr|A0A6J2K2L8|A0A6J2K2L8_BOMMA	59.259	945	985	945	96	0.0	1187.0	Aminopeptidase OS=Bombyx mandarina OX=7092 GN=LOC114247387 PE=3 SV=1	TrEMBL	g96	A0A6J2K2L8	6
g96.t1	tr|A0A8R2QZA9|A0A8R2QZA9_BOMMO	59.425	939	985	1898	96	0.0	1186.0	Uncharacterized protein OS=Bombyx mori OX=7091 PE=3 SV=1	TrEMBL	g96	A0A8R2QZA9	7
g96.t1	tr|I3VR73|I3VR73_BOMMO	59.425	939	985	945	95	0.0	1183.0	Aminopeptidase OS=Bombyx mori OX=7091 PE=2 SV=1	TrEMBL	g96	I3VR73	8
g3804.t1	tr|A0ACC2QNF1|A0ACC2QNF1_9NEOP	64.59	915	914	913	99	0.0	1182.0	Ig-like domain-containing protein OS=Mythimna loreyi OX=667449 GN=PYW08_005961 PE=4 SV=1	TrEMBL	g3804	A0ACC2QNF1	5
g3804.t1	tr|A0A8S3X044|A0A8S3X044_PARAO	63.203	924	914	929	99	0.0	1182.0	(apollo) hypothetical protein OS=Parnassius apollo OX=110799 GN=PAPOLLO_LOCUS12601 PE=4 SV=1	TrEMBL	g3804	A0A8S3X044	6
g3804.t1	tr|A0A6J1WE29|A0A6J1WE29_GALME	65.948	928	914	916	100	0.0	1178.0	Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2 OS=Galleria mellonella OX=7137 GN=LOC113512014 PE=4 SV=2	TrEMBL	g3804	A0A6J1WE29	7
g3621.t1	tr|A0A8R2C9Y8|A0A8R2C9Y8_BOMMO	59.391	953	952	949	99	0.0	1178.0	Aminopeptidase OS=Bombyx mori OX=7091 GN=100127099 PE=3 SV=1		g3621	A0A8R2C9Y8	5
g3621.t1	tr|A0A6J2K556|A0A6J2K556_BOMMA	59.391	953	952	946	99	0.0	1178.0	Aminopeptidase OS=Bombyx mandarina OX=7092 GN=LOC114247362 PE=3 SV=1		g3621	A0A6J2K556	6
g3804.t1	tr|A0AAV1L5L0|A0AAV1L5L0_9NEOP	62.987	924	914	929	99	0.0	1175.0	Ig-like domain-containing protein OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS9860 PE=4 SV=1	TrEMBL	g3804	A0AAV1L5L0	8
g3804.t1	tr|A0A8J9VB72|A0A8J9VB72_9NEOP	63.795	917	914	920	99	0.0	1172.0	Ig-like domain-containing protein (Fragment) OS=Brenthis ino OX=405034 GN=BINO364_LOCUS5670 PE=4 SV=1	TrEMBL	g3804	A0A8J9VB72	9
g3621.t1	tr|A0ABM4AJ98|A0ABM4AJ98_VANTA	59.454	952	952	944	99	0.0	1170.0	Aminopeptidase OS=Vanessa tameamea OX=334116 GN=LOC113392185 PE=3 SV=1		g3621	A0ABM4AJ98	7
g96.t1	tr|A0ACC1D415|A0ACC1D415_9NEOP	59.12	932	985	4744	96	0.0	1169.0	Uncharacterized protein OS=Dendrolimus kikuchii OX=765133 GN=K1T71_005413 PE=3 SV=1	TrEMBL	g96	A0ACC1D415	9
g3804.t1	tr|A0A6J1N1N9|A0A6J1N1N9_BICAN	62.951	915	914	914	99	0.0	1165.0	Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3 OS=Bicyclus anynana OX=110368 GN=LOC112048468 PE=4 SV=1	TrEMBL	g3804	A0A6J1N1N9	10
g3621.t1	tr|B2LS41|B2LS41_OSTFU	59.372	955	952	951	99	0.0	1165.0	Aminopeptidase OS=Ostrinia furnacalis OX=93504 PE=2 SV=2		g3621	B2LS41	8
g6035.t1	tr|A0A4C1TW98|A0A4C1TW98_EUMVA	87.963	648	675	738	92	0.0	1164.0	Angiotensin-converting enzyme OS=Eumeta variegata OX=151549 GN=Ance PE=3 SV=1	TrEMBL	g6035	A0A4C1TW98	1
g96.t1	tr|A0A922CTI3|A0A922CTI3_MANSE	57.778	945	985	947	96	0.0	1160.0	Aminopeptidase OS=Manduca sexta OX=7130 GN=O3G_MSEX011120 PE=3 SV=1	TrEMBL	g96	A0A922CTI3	10
g3621.t1	tr|G9C5G4|G9C5G4_CNAME	59.623	956	952	953	99	0.0	1158.0	Aminopeptidase OS=Cnaphalocrocis medinalis OX=437488 GN=APN4 PE=2 SV=1		g3621	G9C5G4	9
g3431.t1	tr|A0A4C1Y2D1|A0A4C1Y2D1_EUMVA	77.507	738	715	728	99	0.0	1154.0	Xaa-Pro aminopeptidase 1 OS=Eumeta variegata OX=151549 GN=XPNPEP1 PE=3 SV=1		g3431	A0A4C1Y2D1	1
g3621.t1	tr|B5A8X9|B5A8X9_OSTFU	59.058	955	952	951	99	0.0	1154.0	Aminopeptidase OS=Ostrinia furnacalis OX=93504 PE=2 SV=2		g3621	B5A8X9	10
g9091.t1	sp|O01639|E75_CHOFU	85.399	726	726	690	100	0.0	1149.0	Ecdysone-inducible protein E75 OS=Choristoneura fumiferana OX=7141 GN=E75 PE=2 SV=1	Swiss-Prot	g9091	O01639	1
g9091.t1	sp|P50239|E75_GALME	84.965	705	726	711	96	0.0	1136.0	Ecdysone-inducible protein E75 OS=Galleria mellonella OX=7137 GN=E75 PE=2 SV=1	Swiss-Prot	g9091	P50239	2
g9091.t1	sp|Q08893|E75_MANSE	84.426	732	726	699	100	0.0	1135.0	Ecdysone-inducible protein E75 OS=Manduca sexta OX=7130 GN=E75 PE=2 SV=2	Swiss-Prot	g9091	Q08893	3
g1470.t1	tr|A0A4C1XF36|A0A4C1XF36_EUMVA	58.674	1101	1346	963	98	0.0	1092.0	Probable chitinase 10 OS=Eumeta variegata OX=151549 GN=Cht10 PE=4 SV=1	TrEMBL	g1470	A0A4C1XF36	2
g6035.t1	tr|A0A8B8HWU8|A0A8B8HWU8_VANTA	74.556	676	675	664	99	0.0	1085.0	Angiotensin-converting enzyme OS=Vanessa tameamea OX=334116 GN=LOC113395715 PE=3 SV=2	TrEMBL	g6035	A0A8B8HWU8	2
g6035.t1	tr|A0ABM3MHB2|A0ABM3MHB2_GALME	75.48	677	675	664	100	0.0	1082.0	Angiotensin-converting enzyme OS=Galleria mellonella OX=7137 GN=LOC128200681 PE=3 SV=1	TrEMBL	g6035	A0ABM3MHB2	3
g6035.t1	tr|A0ABM3MHB1|A0ABM3MHB1_GALME	75.037	677	675	664	100	0.0	1077.0	Angiotensin-converting enzyme OS=Galleria mellonella OX=7137 GN=LOC128200681 PE=3 SV=1	TrEMBL	g6035	A0ABM3MHB1	4
g6035.t1	tr|A0A212F3H8|A0A212F3H8_DANPL	75.223	674	675	664	99	0.0	1073.0	Angiotensin-converting enzyme OS=Danaus plexippus plexippus OX=278856 GN=KGM_205559 PE=3 SV=1	TrEMBL	g6035	A0A212F3H8	5
g6035.t1	tr|A0ABN8IZA6|A0ABN8IZA6_9NEOP	77.778	648	675	661	96	0.0	1068.0	Angiotensin-converting enzyme (Fragment) OS=Iphiclides podalirius OX=110791 GN=IPOD504_LOCUS15309 PE=3 SV=1	TrEMBL	g6035	A0ABN8IZA6	6
g6035.t1	tr|A0A6J2JY64|A0A6J2JY64_BOMMA	75.501	649	675	686	96	0.0	1067.0	Angiotensin-converting enzyme OS=Bombyx mandarina OX=7092 GN=LOC114245204 PE=3 SV=1	TrEMBL	g6035	A0A6J2JY64	7
g6035.t1	tr|A0ABM4AJ62|A0ABM4AJ62_VANTA	75.889	647	675	648	96	0.0	1063.0	Angiotensin-converting enzyme OS=Vanessa tameamea OX=334116 GN=LOC113395715 PE=3 SV=1	TrEMBL	g6035	A0ABM4AJ62	8
g6035.t1	tr|A0ABM3MHC0|A0ABM3MHC0_GALME	77.006	648	675	648	96	0.0	1060.0	Angiotensin-converting enzyme OS=Galleria mellonella OX=7137 GN=LOC128200681 PE=3 SV=1	TrEMBL	g6035	A0ABM3MHC0	9
g6035.t1	tr|A0AAV1LSJ1|A0AAV1LSJ1_9NEOP	77.932	648	675	648	96	0.0	1059.0	Angiotensin-converting enzyme OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS17411 PE=3 SV=1	TrEMBL	g6035	A0AAV1LSJ1	10
g13522.t1	tr|A0A2W1BXS4|A0A2W1BXS4_HELAM	58.061	856	855	854	99	0.0	1051.0	tr|A0A2W1BXS4|A0A2W1BXS4_HELAM TIR domain-containing protein OS=Helicoverpa armigera OX=29058 GN=HaOG203364 PE=3 SV=1	TrEMBL	g13522	A0A2W1BXS4	2
g18787.t1	tr|A0A4C1SRI5|A0A4C1SRI5_EUMVA	95.602	523	558	523	94	0.0	1051.0	tr|A0A4C1SRI5|A0A4C1SRI5_EUMVA Chitinase A OS=Eumeta variegata OX=151549 GN=chiA PE=3 SV=1	TrEMBL	g18787	A0A4C1SRI5	1
g1101.t2	tr|A0A4C1X6I1|A0A4C1X6I1_EUMVA	91.771	559	536	688	99	0.0	1044.0	Pyruvate kinase (Fragment) OS=Eumeta variegata OX=151549 GN=PyK PE=3 SV=1	TrEMBL	g1101	A0A4C1X6I1	1
g9091.t1	sp|Q08893-2|E75_MANSE	85.65	662	726	685	90	0.0	1041.0	Isoform 2 of Ecdysone-inducible protein E75 OS=Manduca sexta OX=7130 GN=E75	Swiss-Prot	g9091	Q08893-2	4
g9091.t1	sp|P50239-2|E75_GALME	86.164	636	726	695	87	0.0	1041.0	Isoform 2 of Ecdysone-inducible protein E75 OS=Galleria mellonella OX=7137 GN=E75	Swiss-Prot	g9091	P50239-2	5
g15833.t1	tr|A0A4C1X464|A0A4C1X464_EUMVA	83.967	605	605	605	100	0.0	1037.0	tr|A0A4C1X464|A0A4C1X464_EUMVA Toll-like receptor 6 OS=Eumeta variegata OX=151549 GN=TLR6 PE=3 SV=1	TrEMBL	g15833	A0A4C1X464	1
g13522.t1	tr|A0ABN8I3U0|A0ABN8I3U0_9NEOP	57.657	862	855	923	99	0.0	1036.0	tr|A0ABN8I3U0|A0ABN8I3U0_9NEOP TIR domain-containing protein (Fragment) OS=Iphiclides podalirius OX=110791 GN=IPOD504_LOCUS4671 PE=3 SV=1	TrEMBL	g13522	A0ABN8I3U0	3
g13522.t1	tr|A0A9J7E2C9|A0A9J7E2C9_SPOLT	57.778	855	855	853	99	0.0	1034.0	tr|A0A9J7E2C9|A0A9J7E2C9_SPOLT Toll-like receptor 3 OS=Spodoptera litura OX=69820 GN=LOC111354111 PE=3 SV=1	TrEMBL	g13522	A0A9J7E2C9	4
g13522.t1	tr|A0A9R0D8G3|A0A9R0D8G3_SPOFR	57.41	857	855	853	99	0.0	1033.0	tr|A0A9R0D8G3|A0A9R0D8G3_SPOFR Toll-like receptor 3 OS=Spodoptera frugiperda OX=7108 GN=LOC118271950 PE=3 SV=1	TrEMBL	g13522	A0A9R0D8G3	5
g13522.t1	tr|A0A9P0I401|A0A9P0I401_SPOLI	57.661	855	855	853	99	0.0	1032.0	tr|A0A9P0I401|A0A9P0I401_SPOLI TIR domain-containing protein OS=Spodoptera littoralis OX=7109 GN=SPLIT_LOCUS4719 PE=3 SV=1	TrEMBL	g13522	A0A9P0I401	6
g18260.t1	tr|A0ACC1CIM7|A0ACC1CIM7_9NEOP	64.683	756	748	1188	100	0.0	1030.0	tr|A0ACC1CIM7|A0ACC1CIM7_9NEOP Ion transport domain-containing protein OS=Dendrolimus kikuchii OX=765133 GN=K1T71_012857 PE=4 SV=1	TrEMBL	g18260	A0ACC1CIM7	2
g13522.t1	tr|A0ACC1CT46|A0ACC1CT46_9NEOP	58.769	861	855	856	99	0.0	1021.0	tr|A0ACC1CT46|A0ACC1CT46_9NEOP TIR domain-containing protein OS=Dendrolimus kikuchii OX=765133 GN=K1T71_009525 PE=3 SV=1	TrEMBL	g13522	A0ACC1CT46	7
g18260.t1	tr|A0ABN8B993|A0ABN8B993_CHISP	64.542	753	748	1183	100	0.0	1011.0	tr|A0ABN8B993|A0ABN8B993_CHISP Ion transport domain-containing protein OS=Chilo suppressalis OX=168631 GN=CHILSU_LOCUS6455 PE=4 SV=1	TrEMBL	g18260	A0ABN8B993	3
g18260.t1	tr|A0A9P0CB92|A0A9P0CB92_9NEOP	64.181	751	748	870	100	0.0	1011.0	tr|A0A9P0CB92|A0A9P0CB92_9NEOP Ion transport domain-containing protein OS=Diatraea saccharalis OX=40085 GN=DIATSA_LOCUS10381 PE=4 SV=1	TrEMBL	g18260	A0A9P0CB92	4
g13522.t1	tr|A0AAV1KX99|A0AAV1KX99_9NEOP	58.053	863	855	861	99	0.0	1010.0	tr|A0AAV1KX99|A0AAV1KX99_9NEOP TIR domain-containing protein OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS8156 PE=3 SV=1	TrEMBL	g13522	A0AAV1KX99	8
g13522.t1	tr|A0A346RAG4|A0A346RAG4_9NEOP	57.679	853	855	855	99	0.0	1010.0	tr|A0A346RAG4|A0A346RAG4_9NEOP Toll-like receptor 4 OS=Leguminivora glycinivorella OX=1035111 PE=2 SV=1	TrEMBL	g13522	A0A346RAG4	9
g13522.t1	tr|A0A0L7LGF1|A0A0L7LGF1_OPEBR	57.477	856	855	854	99	0.0	1007.0	tr|A0A0L7LGF1|A0A0L7LGF1_OPEBR Putative toll-like receptor 13 OS=Operophtera brumata OX=104452 GN=OBRU01_08753 PE=3 SV=1	TrEMBL	g13522	A0A0L7LGF1	10
g18260.t1	tr|A0A9P0C731|A0A9P0C731_9NEOP	64.181	751	748	1214	100	0.0	1006.0	tr|A0A9P0C731|A0A9P0C731_9NEOP Ion transport domain-containing protein OS=Diatraea saccharalis OX=40085 GN=DIATSA_LOCUS10381 PE=4 SV=1	TrEMBL	g18260	A0A9P0C731	5
g18260.t1	tr|A0ABR3H960|A0ABR3H960_LOXSC	63.503	748	748	1215	100	0.0	1006.0	tr|A0ABR3H960|A0ABR3H960_LOXSC Ion transport domain-containing protein OS=Loxostege sticticalis OX=481309 GN=ABMA27_008896 PE=4 SV=1	TrEMBL	g18260	A0ABR3H960	6
g1101.t2	tr|A0A8B8I745|A0A8B8I745_VANTA	89.552	536	536	591	100	0.0	1005.0	Pyruvate kinase OS=Vanessa tameamea OX=334116 GN=LOC113398336 PE=3 SV=1	TrEMBL	g1101	A0A8B8I745	2
g18260.t1	tr|A0A6J2K562|A0A6J2K562_BOMMA	62.701	748	748	1189	99	0.0	1005.0	tr|A0A6J2K562|A0A6J2K562_BOMMA Transient receptor potential channel pyrexia-like OS=Bombyx mandarina OX=7092 GN=LOC114247870 PE=4 SV=1	TrEMBL	g18260	A0A6J2K562	7
g18260.t1	tr|A0ACC2Q854|A0ACC2Q854_9NEOP	61.955	757	748	1008	99	0.0	1004.0	tr|A0ACC2Q854|A0ACC2Q854_9NEOP Ion transport domain-containing protein OS=Mythimna loreyi OX=667449 GN=PYW08_009082 PE=4 SV=1	TrEMBL	g18260	A0ACC2Q854	8
g1101.t2	tr|A0ABN8J6U0|A0ABN8J6U0_9NEOP	89.179	536	536	536	100	0.0	1003.0	Pyruvate kinase (Fragment) OS=Iphiclides podalirius OX=110791 GN=IPOD504_LOCUS15264 PE=3 SV=1	TrEMBL	g1101	A0ABN8J6U0	3
g18260.t1	tr|A0A8R2AM17|A0A8R2AM17_BOMMO	62.567	748	748	1189	99	0.0	1003.0	tr|A0A8R2AM17|A0A8R2AM17_BOMMO Ion transport domain-containing protein OS=Bombyx mori OX=7091 PE=4 SV=1	TrEMBL	g18260	A0A8R2AM17	9
g18260.t1	tr|A0A8R2G9U4|A0A8R2G9U4_BOMMO	62.567	748	748	1182	99	0.0	1002.0	tr|A0A8R2G9U4|A0A8R2G9U4_BOMMO Ion transport domain-containing protein OS=Bombyx mori OX=7091 PE=4 SV=1	TrEMBL	g18260	A0A8R2G9U4	10
g1101.t2	tr|A0A8B8I9F4|A0A8B8I9F4_VANTA	89.493	533	536	588	99	0.0	1000.0	Pyruvate kinase OS=Vanessa tameamea OX=334116 GN=LOC113398336 PE=3 SV=1	TrEMBL	g1101	A0A8B8I9F4	4
g3431.t1	tr|A0A4C1Y1L4|A0A4C1Y1L4_EUMVA	73.504	702	715	728	92	0.0	1000.0	Xaa-Pro aminopeptidase 1 OS=Eumeta variegata OX=151549 GN=XPNPEP1 PE=3 SV=1		g3431	A0A4C1Y1L4	2
