Sequence_ID	Header	Length	Sequence_Type
g13532.t1	g13532.t1	710	PROTEIN
g13533.t1	g13533.t1	581	PROTEIN
g13534.t2	g13534.t2	413	PROTEIN
g13535.t1	g13535.t1	233	PROTEIN
g13536.t1	g13536.t1	79	PROTEIN
g13537.t1	g13537.t1	89	PROTEIN
g13538.t1	g13538.t1	269	PROTEIN
g13539.t1	g13539.t1	130	PROTEIN
g13540.t1	g13540.t1	90	PROTEIN
g13541.t1	g13541.t1	827	PROTEIN
g13542.t1	g13542.t1	138	PROTEIN
g13543.t1	g13543.t1	279	PROTEIN
g13544.t1	g13544.t1	191	PROTEIN
g13545.t1	g13545.t1	163	PROTEIN
g13546.t1	g13546.t1	452	PROTEIN
g13547.t1	g13547.t1	937	PROTEIN
g13548.t1	g13548.t1	270	PROTEIN
g13549.t1	g13549.t1	91	PROTEIN
g13550.t1	g13550.t1	184	PROTEIN
g13551.t1	g13551.t1	556	PROTEIN
g13552.t1	g13552.t1	113	PROTEIN
g13553.t1	g13553.t1	84	PROTEIN
g13554.t1	g13554.t1	128	PROTEIN
g13555.t1	g13555.t1	342	PROTEIN
g13556.t1	g13556.t1	294	PROTEIN
g13557.t1	g13557.t1	262	PROTEIN
g13558.t3	g13558.t3	1382	PROTEIN
g13559.t1	g13559.t1	102	PROTEIN
g13560.t1	g13560.t1	440	PROTEIN
g13561.t1	g13561.t1	105	PROTEIN
g13562.t1	g13562.t1	276	PROTEIN
g13563.t1	g13563.t1	183	PROTEIN
g13564.t1	g13564.t1	97	PROTEIN
g13565.t1	g13565.t1	687	PROTEIN
g13566.t1	g13566.t1	326	PROTEIN
g13567.t1	g13567.t1	324	PROTEIN
g13568.t1	g13568.t1	241	PROTEIN
g13569.t1	g13569.t1	575	PROTEIN
g13570.t1	g13570.t1	567	PROTEIN
g13571.t1	g13571.t1	261	PROTEIN
g13572.t1	g13572.t1	1280	PROTEIN
g13573.t1	g13573.t1	105	PROTEIN
g13574.t1	g13574.t1	125	PROTEIN
g13575.t1	g13575.t1	164	PROTEIN
g13576.t1	g13576.t1	118	PROTEIN
g13577.t1	g13577.t1	945	PROTEIN
g13578.t1	g13578.t1	73	PROTEIN
g13579.t1	g13579.t1	171	PROTEIN
g13580.t1	g13580.t1	137	PROTEIN
g13581.t1	g13581.t1	466	PROTEIN
g13582.t1	g13582.t1	132	PROTEIN
g13583.t1	g13583.t1	653	PROTEIN
g13584.t1	g13584.t1	91	PROTEIN
g13585.t1	g13585.t1	74	PROTEIN
g13586.t1	g13586.t1	367	PROTEIN
g13587.t1	g13587.t1	224	PROTEIN
g13588.t2	g13588.t2	2231	PROTEIN
g13589.t1	g13589.t1	117	PROTEIN
g13590.t1	g13590.t1	236	PROTEIN
g13591.t1	g13591.t1	315	PROTEIN
g13592.t1	g13592.t1	245	PROTEIN
g13593.t1	g13593.t1	117	PROTEIN
g13594.t1	g13594.t1	640	PROTEIN
g13595.t1	g13595.t1	390	PROTEIN
g13596.t1	g13596.t1	221	PROTEIN
g13597.t1	g13597.t1	156	PROTEIN
g13598.t1	g13598.t1	986	PROTEIN
g13599.t1	g13599.t1	145	PROTEIN
g13600.t1	g13600.t1	110	PROTEIN
g13601.t1	g13601.t1	679	PROTEIN
g13602.t1	g13602.t1	161	PROTEIN
g13603.t1	g13603.t1	298	PROTEIN
g13604.t1	g13604.t1	217	PROTEIN
g13605.t1	g13605.t1	1032	PROTEIN
g13606.t1	g13606.t1	130	PROTEIN
g13607.t1	g13607.t1	204	PROTEIN
g13608.t1	g13608.t1	258	PROTEIN
g13609.t1	g13609.t1	69	PROTEIN
g13610.t1	g13610.t1	112	PROTEIN
g13611.t1	g13611.t1	714	PROTEIN
g13612.t1	g13612.t1	86	PROTEIN
g13613.t1	g13613.t1	251	PROTEIN
g13614.t1	g13614.t1	316	PROTEIN
g13615.t1	g13615.t1	381	PROTEIN
g13616.t1	g13616.t1	455	PROTEIN
g13617.t1	g13617.t1	142	PROTEIN
g13618.t1	g13618.t1	138	PROTEIN
g13619.t1	g13619.t1	92	PROTEIN
g13620.t1	g13620.t1	264	PROTEIN
g13621.t1	g13621.t1	91	PROTEIN
g13622.t1	g13622.t1	671	PROTEIN
g13623.t1	g13623.t1	224	PROTEIN
g13624.t1	g13624.t1	544	PROTEIN
g13625.t1	g13625.t1	132	PROTEIN
g13626.t1	g13626.t1	100	PROTEIN
g13627.t1	g13627.t1	264	PROTEIN
g13628.t1	g13628.t1	264	PROTEIN
g13629.t1	g13629.t1	94	PROTEIN
g13630.t1	g13630.t1	367	PROTEIN
g13631.t1	g13631.t1	255	PROTEIN
g13632.t1	g13632.t1	215	PROTEIN
g13633.t1	g13633.t1	383	PROTEIN
g13634.t1	g13634.t1	73	PROTEIN
g13635.t1	g13635.t1	280	PROTEIN
g13636.t1	g13636.t1	87	PROTEIN
g13637.t1	g13637.t1	131	PROTEIN
g13638.t1	g13638.t1	144	PROTEIN
g13639.t1	g13639.t1	538	PROTEIN
g13640.t1	g13640.t1	586	PROTEIN
g13641.t1	g13641.t1	278	PROTEIN
g13642.t1	g13642.t1	506	PROTEIN
g13643.t1	g13643.t1	360	PROTEIN
g13644.t1	g13644.t1	479	PROTEIN
g13645.t2	g13645.t2	146	PROTEIN
g13646.t1	g13646.t1	328	PROTEIN
g13647.t1	g13647.t1	210	PROTEIN
g13648.t1	g13648.t1	762	PROTEIN
g13649.t1	g13649.t1	157	PROTEIN
g13650.t1	g13650.t1	306	PROTEIN
g13651.t1	g13651.t1	268	PROTEIN
g13652.t1	g13652.t1	438	PROTEIN
g13653.t1	g13653.t1	877	PROTEIN
g13654.t1	g13654.t1	87	PROTEIN
g13655.t1	g13655.t1	100	PROTEIN
g13656.t1	g13656.t1	185	PROTEIN
g13657.t2	g13657.t2	183	PROTEIN
g13658.t1	g13658.t1	442	PROTEIN
g13659.t1	g13659.t1	77	PROTEIN
g13660.t1	g13660.t1	122	PROTEIN
g13661.t1	g13661.t1	177	PROTEIN
g13662.t1	g13662.t1	655	PROTEIN
g13663.t1	g13663.t1	101	PROTEIN
g13664.t1	g13664.t1	1225	PROTEIN
g13665.t1	g13665.t1	530	PROTEIN
g13666.t1	g13666.t1	211	PROTEIN
g13667.t1	g13667.t1	86	PROTEIN
g13668.t1	g13668.t1	200	PROTEIN
g13669.t1	g13669.t1	406	PROTEIN
g13670.t1	g13670.t1	1022	PROTEIN
g13671.t1	g13671.t1	270	PROTEIN
g13672.t1	g13672.t1	258	PROTEIN
g13673.t1	g13673.t1	99	PROTEIN
g13674.t1	g13674.t1	258	PROTEIN
g13675.t1	g13675.t1	787	PROTEIN
g13676.t1	g13676.t1	1003	PROTEIN
g13677.t1	g13677.t1	96	PROTEIN
g13678.t1	g13678.t1	1727	PROTEIN
g13679.t1	g13679.t1	156	PROTEIN
g13680.t1	g13680.t1	508	PROTEIN
g13681.t2	g13681.t2	992	PROTEIN
g13682.t1	g13682.t1	108	PROTEIN
g13683.t1	g13683.t1	878	PROTEIN
g13684.t1	g13684.t1	202	PROTEIN
g13685.t1	g13685.t1	112	PROTEIN
g13686.t1	g13686.t1	332	PROTEIN
g13687.t1	g13687.t1	174	PROTEIN
g13688.t1	g13688.t1	245	PROTEIN
g13689.t1	g13689.t1	232	PROTEIN
g13690.t1	g13690.t1	205	PROTEIN
g13691.t1	g13691.t1	206	PROTEIN
g13692.t1	g13692.t1	196	PROTEIN
g13693.t1	g13693.t1	82	PROTEIN
g13694.t1	g13694.t1	111	PROTEIN
g13695.t1	g13695.t1	91	PROTEIN
g13696.t1	g13696.t1	696	PROTEIN
g13697.t1	g13697.t1	72	PROTEIN
g13698.t1	g13698.t1	1240	PROTEIN
g13699.t1	g13699.t1	84	PROTEIN
g13700.t1	g13700.t1	182	PROTEIN
g13701.t1	g13701.t1	281	PROTEIN
g13702.t1	g13702.t1	864	PROTEIN
g13703.t1	g13703.t1	1158	PROTEIN
g13704.t1	g13704.t1	172	PROTEIN
g13705.t1	g13705.t1	410	PROTEIN
g13706.t1	g13706.t1	490	PROTEIN
g13707.t1	g13707.t1	152	PROTEIN
g13708.t1	g13708.t1	622	PROTEIN
g13709.t1	g13709.t1	148	PROTEIN
g13710.t1	g13710.t1	274	PROTEIN
g13711.t1	g13711.t1	3183	PROTEIN
g13712.t1	g13712.t1	443	PROTEIN
g13713.t1	g13713.t1	237	PROTEIN
g13714.t1	g13714.t1	972	PROTEIN
g13715.t1	g13715.t1	138	PROTEIN
g13716.t1	g13716.t1	106	PROTEIN
g13717.t1	g13717.t1	114	PROTEIN
g13718.t1	g13718.t1	521	PROTEIN
g13719.t1	g13719.t1	151	PROTEIN
g13720.t1	g13720.t1	97	PROTEIN
g13721.t1	g13721.t1	152	PROTEIN
g13722.t1	g13722.t1	242	PROTEIN
g13723.t1	g13723.t1	956	PROTEIN
g13724.t1	g13724.t1	147	PROTEIN
g13725.t1	g13725.t1	127	PROTEIN
g13726.t1	g13726.t1	343	PROTEIN
g13727.t1	g13727.t1	968	PROTEIN
g13728.t1	g13728.t1	140	PROTEIN
g13729.t1	g13729.t1	215	PROTEIN
g13730.t1	g13730.t1	79	PROTEIN
g13731.t1	g13731.t1	142	PROTEIN
g13732.t1	g13732.t1	89	PROTEIN
g13733.t1	g13733.t1	201	PROTEIN
g13734.t1	g13734.t1	199	PROTEIN
g13735.t1	g13735.t1	130	PROTEIN
g13736.t1	g13736.t1	75	PROTEIN
g13737.t1	g13737.t1	121	PROTEIN
g13738.t1	g13738.t1	128	PROTEIN
g13739.t1	g13739.t1	303	PROTEIN
g13740.t2	g13740.t2	1345	PROTEIN
g13741.t1	g13741.t1	249	PROTEIN
g13742.t1	g13742.t1	395	PROTEIN
g13743.t1	g13743.t1	486	PROTEIN
g13744.t1	g13744.t1	160	PROTEIN
g13745.t1	g13745.t1	83	PROTEIN
g13746.t1	g13746.t1	105	PROTEIN
g13747.t2	g13747.t2	461	PROTEIN
g13748.t1	g13748.t1	246	PROTEIN
g13749.t1	g13749.t1	108	PROTEIN
g13750.t1	g13750.t1	353	PROTEIN
g13751.t1	g13751.t1	528	PROTEIN
g13752.t2	g13752.t2	253	PROTEIN
g13753.t1	g13753.t1	621	PROTEIN
g13754.t1	g13754.t1	567	PROTEIN
g13755.t1	g13755.t1	67	PROTEIN
g13756.t1	g13756.t1	111	PROTEIN
g13757.t1	g13757.t1	111	PROTEIN
g13758.t1	g13758.t1	654	PROTEIN
g13759.t1	g13759.t1	1159	PROTEIN
g13760.t1	g13760.t1	139	PROTEIN
g13761.t1	g13761.t1	104	PROTEIN
g13762.t1	g13762.t1	71	PROTEIN
g13763.t1	g13763.t1	415	PROTEIN
g13764.t1	g13764.t1	333	PROTEIN
g13765.t1	g13765.t1	205	PROTEIN
g13766.t1	g13766.t1	262	PROTEIN
g13767.t1	g13767.t1	300	PROTEIN
g13768.t1	g13768.t1	316	PROTEIN
g13769.t1	g13769.t1	72	PROTEIN
g13770.t1	g13770.t1	448	PROTEIN
g13771.t1	g13771.t1	548	PROTEIN
g13772.t1	g13772.t1	492	PROTEIN
g13773.t1	g13773.t1	263	PROTEIN
g13774.t1	g13774.t1	264	PROTEIN
g13775.t1	g13775.t1	258	PROTEIN
g13776.t1	g13776.t1	250	PROTEIN
g13777.t1	g13777.t1	258	PROTEIN
g13778.t1	g13778.t1	258	PROTEIN
g13779.t1	g13779.t1	261	PROTEIN
g13780.t1	g13780.t1	178	PROTEIN
g13781.t1	g13781.t1	259	PROTEIN
g13782.t1	g13782.t1	113	PROTEIN
g13783.t1	g13783.t1	235	PROTEIN
g13784.t1	g13784.t1	258	PROTEIN
g13785.t1	g13785.t1	98	PROTEIN
g13786.t1	g13786.t1	77	PROTEIN
g13787.t1	g13787.t1	283	PROTEIN
g13788.t1	g13788.t1	78	PROTEIN
g13789.t1	g13789.t1	196	PROTEIN
g13790.t1	g13790.t1	66	PROTEIN
g13791.t1	g13791.t1	273	PROTEIN
g13792.t1	g13792.t1	313	PROTEIN
g13793.t1	g13793.t1	368	PROTEIN
g13794.t1	g13794.t1	173	PROTEIN
g13795.t1	g13795.t1	93	PROTEIN
g13796.t1	g13796.t1	224	PROTEIN
g13797.t1	g13797.t1	326	PROTEIN
g13798.t1	g13798.t1	162	PROTEIN
g13799.t1	g13799.t1	177	PROTEIN
g13800.t1	g13800.t1	90	PROTEIN
g13801.t1	g13801.t1	2808	PROTEIN
g13802.t1	g13802.t1	299	PROTEIN
g13803.t1	g13803.t1	101	PROTEIN
g13804.t1	g13804.t1	219	PROTEIN
g13805.t1	g13805.t1	322	PROTEIN
g13806.t1	g13806.t1	679	PROTEIN
g13807.t1	g13807.t1	74	PROTEIN
g13808.t1	g13808.t1	110	PROTEIN
g13809.t1	g13809.t1	180	PROTEIN
g13810.t1	g13810.t1	202	PROTEIN
g13811.t2	g13811.t2	1276	PROTEIN
g13812.t1	g13812.t1	93	PROTEIN
g13813.t1	g13813.t1	161	PROTEIN
g13814.t1	g13814.t1	170	PROTEIN
g13815.t1	g13815.t1	73	PROTEIN
g13816.t1	g13816.t1	98	PROTEIN
g13817.t2	g13817.t2	458	PROTEIN
g13818.t1	g13818.t1	97	PROTEIN
g13819.t1	g13819.t1	97	PROTEIN
g13820.t1	g13820.t1	133	PROTEIN
g13821.t1	g13821.t1	108	PROTEIN
g13822.t1	g13822.t1	53	PROTEIN
g13823.t1	g13823.t1	105	PROTEIN
g13824.t1	g13824.t1	152	PROTEIN
g13825.t1	g13825.t1	269	PROTEIN
g13826.t1	g13826.t1	109	PROTEIN
g13827.t1	g13827.t1	536	PROTEIN
g13828.t1	g13828.t1	559	PROTEIN
g13829.t1	g13829.t1	327	PROTEIN
g13830.t1	g13830.t1	511	PROTEIN
g13831.t1	g13831.t1	912	PROTEIN
g13832.t1	g13832.t1	128	PROTEIN
g13833.t2	g13833.t2	433	PROTEIN
g13834.t1	g13834.t1	1106	PROTEIN
g13835.t1	g13835.t1	244	PROTEIN
g13836.t1	g13836.t1	1330	PROTEIN
g13837.t1	g13837.t1	443	PROTEIN
g13838.t1	g13838.t1	880	PROTEIN
g13839.t1	g13839.t1	924	PROTEIN
g13840.t1	g13840.t1	206	PROTEIN
g13841.t1	g13841.t1	333	PROTEIN
g13842.t1	g13842.t1	523	PROTEIN
g13843.t1	g13843.t1	119	PROTEIN
g13844.t1	g13844.t1	191	PROTEIN
g13845.t1	g13845.t1	47	PROTEIN
g13846.t1	g13846.t1	212	PROTEIN
g13847.t1	g13847.t1	335	PROTEIN
g13848.t1	g13848.t1	166	PROTEIN
g13849.t1	g13849.t1	161	PROTEIN
g13850.t1	g13850.t1	380	PROTEIN
g13851.t1	g13851.t1	657	PROTEIN
