rank	gene_id	protein_id	protein_length_aa	gene_family	phylogenetic_group	best_hit_accession	best_hit_species	pfam_domains	interpro_domains	functional_annotation	target_class	evalue	identity_pct	query_coverage_pct	phylogenetic_evidence	Larva_TPM	Adult_TPM	Pupa_TPM	Egg_TPM	larva_expression_score	adult_expression_score	pupa_expression_score	egg_expression_score	Larva_expression	rnai_or_chemistry	justification
11	g13775	g13775.t1	258	Trypsin / Peptidase S1	Supported phylogenetic placement (UFBoot 75%; SH-aLRT 83%)	A0A4C1WGE0	Eumeta variegata	PF00089	IPR001314;IPR018114;IPR009003;IPR001254	Trypsin-like serine protease involved in larval dietary protein digestion	DIGESTION	2.1900000000000003e-163	96.104	90.0	MAFFT + trimAl + IQ-TREE; model=Q.PFAM+G4; UFBoot=75.00%; SH-aLRT=82.91%	428.587669	22.773907	0.0	0.417555	100.0	5.31	0.0	0.1	Very High	RNAi	Trypsin-like serine proteases contribute to dietary protein digestion in feeding insect larvae. RNA expression is strongly larva-biased (Larva TPM 428.6 versus Adult 22.8, Pupa 0.0, and Egg 0.4). Knockdown could reduce proteolytic capacity and limit amino-acid acquisition during feeding. This provides a plausible mechanism for impaired larval growth and development.
12	g4085	g4085.t1	336	Triacylglycerol lipase	Supported phylogenetic placement (UFBoot 74%; SH-aLRT 90%)	A0A4C1TID5	Eumeta variegata	PF00151	IPR033906;IPR000734;IPR029058;IPR013818	Lipase involved in dietary lipid hydrolysis during larval feeding	DIGESTION	0.0	85.373	96.0	MAFFT + trimAl + IQ-TREE; model=WAG+G4; UFBoot=73.62%; SH-aLRT=90.00%	227.6578185	1.891087	0.348749	0.0	100.0	0.83	0.15	0.0	Very High	RNAi	Lipases support hydrolysis of dietary lipids during larval feeding and nutrient acquisition. RNA expression is strongly larva-biased (Larva TPM 227.7 versus Adult 1.9, Pupa 0.3, and Egg 0.0). Knockdown could reduce the availability of fatty acids needed for energy production and cellular processes. This provides a plausible digestive vulnerability for RNAi-based control.
13	g2862	g2862.t1	301	Lipase	Supported phylogenetic placement (UFBoot 81%; SH-aLRT 80%)	A0ACC1CV66	Dendrolimus kikuchii	PF04083	IPR029058;IPR006693	Lipase involved in dietary lipid hydrolysis during larval feeding	DIGESTION	4.65e-145	68.166	96.0	MAFFT + trimAl + IQ-TREE; model=LG+G4; UFBoot=80.88%; SH-aLRT=79.84%	483.83602	6.323248	0.273495	0.308475	100.0	1.31	0.06	0.06	Very High	RNAi	Lipases support hydrolysis of dietary lipids during larval feeding and nutrient acquisition. RNA expression is strongly larva-biased (Larva TPM 483.8 versus Adult 6.3, Pupa 0.3, and Egg 0.3). Knockdown could reduce the availability of fatty acids needed for energy production and cellular processes. This provides a plausible digestive vulnerability for RNAi-based control.
14	g4081	g4081.t1	299	Triacylglycerol lipase	Supported phylogenetic placement (UFBoot 82%; SH-aLRT 90%)	A0A4C1TF99	Eumeta variegata	PF00151	IPR000734;IPR013818;IPR029058	Lipase involved in dietary lipid hydrolysis during larval feeding	DIGESTION	4.73e-150	68.098	100.0	MAFFT + trimAl + IQ-TREE; model=Q.PFAM+G4; UFBoot=82.50%; SH-aLRT=90.12%	190.3491075	1.282861	0.0	0.188102	100.0	0.67	0.0	0.1	Very High	RNAi	Lipases support hydrolysis of dietary lipids during larval feeding and nutrient acquisition. RNA expression is strongly larva-biased (Larva TPM 190.3 versus Adult 1.3, Pupa 0.0, and Egg 0.2). Knockdown could reduce the availability of fatty acids needed for energy production and cellular processes. This provides a plausible digestive vulnerability for RNAi-based control.
15	g15091	g15091.t1	263	Trypsin / Peptidase S1	Supported phylogenetic placement (UFBoot 79%; SH-aLRT 77%)	A0A4C1SD69	Eumeta variegata	PF00089	IPR001254;IPR033116;IPR001314;IPR018114;IPR009003	Trypsin-like serine protease involved in larval dietary protein digestion	DIGESTION	1.41e-143	79.167	100.0	MAFFT + trimAl + IQ-TREE; model=WAG+G4; UFBoot=78.62%; SH-aLRT=76.74%	126.398883	0.49106	0.0	0.294858	100.0	0.39	0.0	0.23	Very High	RNAi	Trypsin-like serine proteases contribute to dietary protein digestion in feeding insect larvae. RNA expression is strongly larva-biased (Larva TPM 126.4 versus Adult 0.5, Pupa 0.0, and Egg 0.3). Knockdown could reduce proteolytic capacity and limit amino-acid acquisition during feeding. This provides a plausible mechanism for impaired larval growth and development.
16	g19136	g19136.t1	538	Peptidase M17, leucyl aminopeptidase, C-terminal	Supported phylogenetic placement (UFBoot 93%; SH-aLRT 95%)	A0A4C1SUX7	Eumeta variegata	PF00883	IPR000819;IPR011356	Aminopeptidase W07G4.4 in insect biological processes during normal insect development	DIGESTION	0.0	81.818	100.0	MAFFT + trimAl + IQ-TREE; model=LG+F+I+G4; UFBoot=92.62%; SH-aLRT=94.95%	88.5441385	4.331768	0.0	0.068165	100.0	4.89	0.0	0.08	High	RNAi	The candidate is associated with Aminopeptidase W07G4.4 in insect biological processes during normal insect development and is predicted to contribute to digestive function. RNA expression is strongly larva-biased (Larva TPM 88.5 versus Adult 4.3, Pupa 0.0, and Egg 0.1). Knockdown could reduce the corresponding digestive activity and limit nutrient acquisition during feeding. This provides a plausible RNAi mechanism, although functional redundancy should be considered.
17	g14299	g14299.t1	263	Trypsin / Peptidase S1	Supported phylogenetic placement (UFBoot 76%; SH-aLRT 84%)	A0A4C1SD49	Eumeta variegata	PF00089	IPR018114;IPR009003;IPR001254;IPR033116;IPR001314	Trypsin-like serine protease involved in larval dietary protein digestion	DIGESTION	1.6000000000000002e-123	64.773	100.0	MAFFT + trimAl + IQ-TREE; model=WAG+G4; UFBoot=75.50%; SH-aLRT=84.29%	149.59366899999998	0.78344	0.130925	0.156991	100.0	0.52	0.09	0.1	Very High	RNAi	Trypsin-like serine proteases contribute to dietary protein digestion in feeding insect larvae. RNA expression is strongly larva-biased (Larva TPM 149.6 versus Adult 0.8, Pupa 0.1, and Egg 0.2). Knockdown could reduce proteolytic capacity and limit amino-acid acquisition during feeding. This provides a plausible mechanism for impaired larval growth and development.
18	g3686	g3686.t1	262	Trypsin / Peptidase S1	Supported phylogenetic placement (UFBoot 80%; SH-aLRT 83%)	A0A6J1WV74	Galleria mellonella	PF00089	IPR001254;IPR018114;IPR001314;IPR009003;IPR033116	Trypsin-like serine protease involved in larval dietary protein digestion	DIGESTION	2.4299999999999998e-126	69.835	92.0	MAFFT + trimAl + IQ-TREE; model=WAG+G4; UFBoot=79.62%; SH-aLRT=83.24%	127.902697	0.429669	0.093153	0.541889	100.0	0.34	0.07	0.42	Very High	RNAi	Trypsin-like serine proteases contribute to dietary protein digestion in feeding insect larvae. RNA expression is strongly larva-biased (Larva TPM 127.9 versus Adult 0.4, Pupa 0.1, and Egg 0.5). Knockdown could reduce proteolytic capacity and limit amino-acid acquisition during feeding. This provides a plausible mechanism for impaired larval growth and development.
19	g16852	g16852.t1	553	Lipase	Supported phylogenetic placement (UFBoot 93%; SH-aLRT 93%)	A0A4C1V353	Eumeta variegata	PF00135	IPR029058;IPR002018;IPR019826	Lipase involved in dietary lipid hydrolysis during larval feeding	DIGESTION	0.0	76.834	94.0	MAFFT + trimAl + IQ-TREE; model=Q.YEAST+R2; UFBoot=93.38%; SH-aLRT=93.26%	47.8857055	3.280111	0.0	0.0	100.0	6.85	0.0	0.0	High	RNAi	Lipases support hydrolysis of dietary lipids during larval feeding and nutrient acquisition. RNA expression is strongly larva-biased (Larva TPM 47.9 versus Adult 3.3, Pupa 0.0, and Egg 0.0). Knockdown could reduce the availability of fatty acids needed for energy production and cellular processes. This provides a plausible digestive vulnerability for RNAi-based control.
20	g13778	g13778.t1	258	Trypsin / Peptidase S1	Supported phylogenetic placement (UFBoot 90%; SH-aLRT 93%)	A0A4C1WGE0	Eumeta variegata	PF00089	IPR001254;IPR009003;IPR001314;IPR018114	Trypsin-like serine protease involved in larval dietary protein digestion	DIGESTION	2.68e-108	69.264	89.0	MAFFT + trimAl + IQ-TREE; model=WAG+F+G4; UFBoot=90.12%; SH-aLRT=93.00%	74.845555	3.160905	1.098412	0.83926	100.0	4.22	1.47	1.12	High	RNAi	Trypsin-like serine proteases contribute to dietary protein digestion in feeding insect larvae. RNA expression is strongly larva-biased (Larva TPM 74.8 versus Adult 3.2, Pupa 1.1, and Egg 0.8). Knockdown could reduce proteolytic capacity and limit amino-acid acquisition during feeding. This provides a plausible mechanism for impaired larval growth and development.
21	g13777	g13777.t1	258	Trypsin / Peptidase S1	Supported phylogenetic placement (UFBoot 76%; SH-aLRT 89%)	A0A4C1WGE0	Eumeta variegata	PF00089	IPR001254;IPR018114;IPR001314;IPR009003	Trypsin-like serine protease involved in larval dietary protein digestion	DIGESTION	8.030000000000001e-154	91.342	90.0	MAFFT + trimAl + IQ-TREE; model=WAG+F+G4; UFBoot=76.50%; SH-aLRT=89.28%	49.138858	0.989365	0.0	0.11858	100.0	2.01	0.0	0.24	High	RNAi	Trypsin-like serine proteases contribute to dietary protein digestion in feeding insect larvae. RNA expression is strongly larva-biased (Larva TPM 49.1 versus Adult 1.0, Pupa 0.0, and Egg 0.1). Knockdown could reduce proteolytic capacity and limit amino-acid acquisition during feeding. This provides a plausible mechanism for impaired larval growth and development.
22	g15564	g15564.t1	430	Peptidase M14, carboxypeptidase A	Supported phylogenetic placement (UFBoot 76%; SH-aLRT 88%)	A0A4C1SSS0	Eumeta variegata	PF02244;PF00246	IPR000834;IPR003146;IPR057246;IPR036990	Carboxypeptidase B in insect biological processes during normal insect development	DIGESTION	0.0	81.163	100.0	MAFFT + trimAl + IQ-TREE; model=Q.PFAM+G4; UFBoot=76.25%; SH-aLRT=87.81%	107.468892	0.343144	0.0	0.479503	100.0	0.32	0.0	0.45	Very High	RNAi	The candidate is associated with Carboxypeptidase B in insect biological processes during normal insect development and is predicted to contribute to digestive function. RNA expression is strongly larva-biased (Larva TPM 107.5 versus Adult 0.3, Pupa 0.0, and Egg 0.5). Knockdown could reduce the corresponding digestive activity and limit nutrient acquisition during feeding. This provides a plausible RNAi mechanism, although functional redundancy should be considered.
23	g13776	g13776.t1	250	Trypsin / Peptidase S1	Supported phylogenetic placement (UFBoot 79%; SH-aLRT 79%)	A0A4C1WGE0	Eumeta variegata	PF00089	IPR001254;IPR009003;IPR018114;IPR001314	Trypsin-like serine protease involved in larval dietary protein digestion	DIGESTION	2.17e-151	88.261	92.0	MAFFT + trimAl + IQ-TREE; model=Q.PFAM+G4; UFBoot=79.12%; SH-aLRT=79.04%	38.227492	0.144054	0.0	0.0	100.0	0.38	0.0	0.0	High	RNAi	Trypsin-like serine proteases contribute to dietary protein digestion in feeding insect larvae. RNA expression is strongly larva-biased (Larva TPM 38.2 versus Adult 0.1, Pupa 0.0, and Egg 0.0). Knockdown could reduce proteolytic capacity and limit amino-acid acquisition during feeding. This provides a plausible mechanism for impaired larval growth and development.
24	g3621	g3621.t1	952	Aminopeptidase N-type	Supported phylogenetic placement (UFBoot 99%; SH-aLRT 99%)	A0A4C1W5T8	Eumeta variegata	PF01433;PF17900;PF11838	IPR034016;IPR014782;IPR045357;IPR042097;IPR050344;IPR027268;IPR024571;IPR001930	Aminopeptidase in insect biological processes during normal insect development	DIGESTION	0.0	86.149	100.0	MAFFT + trimAl + IQ-TREE; model=WAG+F+I+G4; UFBoot=98.75%; SH-aLRT=99.34%	27.701888	0.951708	0.009078	0.051689	100.0	3.44	0.03	0.19	High	RNAi	The candidate is associated with Aminopeptidase in insect biological processes during normal insect development and is predicted to contribute to digestive function. RNA expression is strongly larva-biased (Larva TPM 27.7 versus Adult 1.0, Pupa 0.0, and Egg 0.1). Knockdown could reduce the corresponding digestive activity and limit nutrient acquisition during feeding. This provides a plausible RNAi mechanism, although functional redundancy should be considered.
25	g8855	g8855.t1	367	Serine protease	Supported phylogenetic placement (UFBoot 79%; SH-aLRT 83%)	A0A4C1V1Z8	Eumeta variegata	PF00079	IPR000215;IPR023796;IPR042178;IPR023795;IPR036186;IPR042185	Protease inhibitor regulating proteolytic activity within insect physiological processes	DIGESTION	0.0	69.674	100.0	MAFFT + trimAl + IQ-TREE; model=Q.YEAST+I+G4; UFBoot=78.62%; SH-aLRT=82.55%	540.9818885	20.673777	48.767898	72.453479	100.0	3.82	9.01	13.39	Very High	RNAi	The candidate is associated with Protease inhibitor regulating proteolytic activity within insect physiological processes and is predicted to contribute to digestive function. RNA expression is strongly larva-biased (Larva TPM 541.0 versus Adult 20.7, Pupa 48.8, and Egg 72.5). Knockdown could reduce the corresponding digestive activity and limit nutrient acquisition during feeding. This provides a plausible RNAi mechanism, although functional redundancy should be considered.
26	g94	g94.t1	328	Peptidase M1 family aminopeptidases	Supported phylogenetic placement (UFBoot 86%; SH-aLRT 93%)	A0A4C1W5T8	Eumeta variegata	PF11838	IPR050344;IPR024571	Aminopeptidase in insect biological processes during normal insect development	DIGESTION	0.0	85.41	100.0	MAFFT + trimAl + IQ-TREE; model=WAG+F+I; UFBoot=86.12%; SH-aLRT=92.58%	32.603824	0.450073	0.031194	0.651206	100.0	1.38	0.1	2.0	High	RNAi	The candidate is associated with Aminopeptidase in insect biological processes during normal insect development and is predicted to contribute to digestive function. RNA expression is strongly larva-biased (Larva TPM 32.6 versus Adult 0.5, Pupa 0.0, and Egg 0.7). Knockdown could reduce the corresponding digestive activity and limit nutrient acquisition during feeding. This provides a plausible RNAi mechanism, although functional redundancy should be considered.
27	g2864	g2864.t1	265	Trypsin / Peptidase S1	Supported phylogenetic placement (UFBoot 88%; SH-aLRT 90%)	A0A4C1SF71	Eumeta variegata	PF00089	IPR018114;IPR001254;IPR033116;IPR009003;IPR001314	Trypsin-like serine protease involved in larval dietary protein digestion	DIGESTION	1.18e-151	72.109	97.0	MAFFT + trimAl + IQ-TREE; model=WAG+G4; UFBoot=87.50%; SH-aLRT=90.06%	20.7818085	0.464144	0.046607	0.0	100.0	2.23	0.22	0.0	High	RNAi	Trypsin-like serine proteases contribute to dietary protein digestion in feeding insect larvae. RNA expression is strongly larva-biased (Larva TPM 20.8 versus Adult 0.5, Pupa 0.0, and Egg 0.0). Knockdown could reduce proteolytic capacity and limit amino-acid acquisition during feeding. This provides a plausible mechanism for impaired larval growth and development.
28	g17633	g17633.t1	408	Lipase	Supported phylogenetic placement (UFBoot 86%; SH-aLRT 89%)	A0A4C1YXT1	Eumeta variegata	PF04083	IPR029058;IPR025483;IPR006693	Lipase involved in dietary lipid hydrolysis during larval feeding	DIGESTION	0.0	76.633	98.0	MAFFT + trimAl + IQ-TREE; model=LG+I+G4; UFBoot=85.88%; SH-aLRT=88.81%	16.7889795	0.0	0.0	0.0	100.0	0.0	0.0	0.0	High	RNAi	Lipases support hydrolysis of dietary lipids during larval feeding and nutrient acquisition. RNA expression is strongly larva-biased (Larva TPM 16.8 versus Adult 0.0, Pupa 0.0, and Egg 0.0). Knockdown could reduce the availability of fatty acids needed for energy production and cellular processes. This provides a plausible digestive vulnerability for RNAi-based control.
29	g19140	g19140.t1	408	Lipase	Supported phylogenetic placement (UFBoot 94%; SH-aLRT 93%)	A0A4C1YXT1	Eumeta variegata	PF04083	IPR025483;IPR029058;IPR006693	Lipase involved in dietary lipid hydrolysis during larval feeding	DIGESTION	0.0	76.131	98.0	MAFFT + trimAl + IQ-TREE; model=LG+I+G4; UFBoot=94.50%; SH-aLRT=92.89%	13.8972615	0.446248	0.0	0.0	100.0	3.21	0.0	0.0	High	RNAi	Lipases support hydrolysis of dietary lipids during larval feeding and nutrient acquisition. RNA expression is strongly larva-biased (Larva TPM 13.9 versus Adult 0.4, Pupa 0.0, and Egg 0.0). Knockdown could reduce the availability of fatty acids needed for energy production and cellular processes. This provides a plausible digestive vulnerability for RNAi-based control.
30	g6193	g6193.t1	415	Peptidase M14, carboxypeptidase A	Supported phylogenetic placement (UFBoot 93%; SH-aLRT 89%)	A0A4C1ZXS9	Eumeta variegata	PF00246;PF02244	IPR000834;IPR036990;IPR003146	Zinc carboxypeptidase A 1 in insect biological processes	DIGESTION	0.0	82.169	100.0	MAFFT + trimAl + IQ-TREE; model=Q.PLANT+G4; UFBoot=93.12%; SH-aLRT=89.20%	27.101701	2.049993	0.305274	0.043864	100.0	7.56	1.13	0.16	High	RNAi	The candidate is associated with Zinc carboxypeptidase A 1 in insect biological processes and is predicted to contribute to digestive function. RNA expression is strongly larva-biased (Larva TPM 27.1 versus Adult 2.0, Pupa 0.3, and Egg 0.0). Knockdown could reduce the corresponding digestive activity and limit nutrient acquisition during feeding. This provides a plausible RNAi mechanism, although functional redundancy should be considered.
31	g13781	g13781.t1	259	Trypsin / Peptidase S1	Supported phylogenetic placement (UFBoot 80%; SH-aLRT 88%)	A0A4C1WDX3	Eumeta variegata	PF00089	IPR033116;IPR018114;IPR001314;IPR001254;IPR009003	Trypsin-like serine protease involved in larval dietary protein digestion	DIGESTION	1.02e-159	87.984	99.0	MAFFT + trimAl + IQ-TREE; model=Q.INSECT+F+G4; UFBoot=79.88%; SH-aLRT=88.10%	15.741475	0.698378	0.091884	0.327055	100.0	4.44	0.58	2.08	High	RNAi	Trypsin-like serine proteases contribute to dietary protein digestion in feeding insect larvae. RNA expression is strongly larva-biased (Larva TPM 15.7 versus Adult 0.7, Pupa 0.1, and Egg 0.3). Knockdown could reduce proteolytic capacity and limit amino-acid acquisition during feeding. This provides a plausible mechanism for impaired larval growth and development.
32	g96	g96.t1	985	Aminopeptidase N-type	Supported phylogenetic placement (UFBoot 86%; SH-aLRT 80%)	A0A4C1W529	Eumeta variegata	PF17900;PF11838;PF01433	IPR034016;IPR045357;IPR027268;IPR042097;IPR024571;IPR001930;IPR014782;IPR050344	Aminopeptidase in insect biological processes during normal insect development	DIGESTION	0.0	88.782	95.0	MAFFT + trimAl + IQ-TREE; model=LG+F+G4; UFBoot=86.25%; SH-aLRT=79.94%	39.9322705	6.900779	0.151282	0.097947	100.0	17.28	0.38	0.25	High	RNAi	The candidate is associated with Aminopeptidase in insect biological processes during normal insect development and is predicted to contribute to digestive function. RNA expression is strongly larva-biased (Larva TPM 39.9 versus Adult 6.9, Pupa 0.2, and Egg 0.1). Knockdown could reduce the corresponding digestive activity and limit nutrient acquisition during feeding. This provides a plausible RNAi mechanism, although functional redundancy should be considered.
33	g16391	g16391.t1	224	Glutathione S-transferase, C-terminal domain superfamily	Supported phylogenetic placement (UFBoot 86%; SH-aLRT 80%)	A0A4C1Z8T8	Eumeta variegata	PF13417;PF00043	IPR036282;IPR036249;IPR010987;IPR004045;IPR040079;IPR004046	Glutathione S-transferase 1 in insect biological processes		1.6599999999999998e-138	82.432	99.0	MAFFT + trimAl + IQ-TREE; model=LG+I+G4; UFBoot=85.50%; SH-aLRT=79.88%	1348.590114	68.600555	61.345255	0.894328	100.0	5.09	4.55	0.07	Very High	RNAi	The candidate is annotated as Glutathione S-transferase 1 in insect biological processes with supporting sequence and functional evidence. RNA expression is strongly larva-biased (Larva TPM 1348.6 versus Adult 68.6, Pupa 61.3, and Egg 0.9). The phylogenetic analysis provides supported phylogenetic placement (ufboot 86%; sh-alrt 80%). The biological effect of RNAi remains to be confirmed experimentally.
