gene_id	rank	final_score	decision	reason	sequence_length	best_hit_accession	best_hit_species	best_hit_taxid	best_hit_lineage	best_identity_pct	best_query_coverage_pct	best_evalue	best_bitscore	qualifying_hits	total_blast_hits	arthropod_fraction	bacterial_fraction	fungal_fraction	non_arthropod_eukaryote_fraction	other_prokaryote_fraction	taxonomy_classification	homology_score	taxonomy_score	annotation_score	interpro_score	target_class_score	functional_description	interpro_accessions	interpro_descriptions	pfam	panther	go_terms	functional_keywords	target_class	best_hit_description
g1541.t1	11	88.889	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	380	tr|A0A4C1UM74|A0A4C1UM74_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	83.646	98.0	0.0	657.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	97.964	100.0	30.0	100.0	100.0	Proteinase, regulatory CLIP domain	IPR022700; IPR018114; IPR051487; IPR001254; IPR009003; IPR033116; IPR001314; IPR038565	Proteinase, regulatory CLIP domain; Serine protease-like, trypsin family, histidine active site; Serine/Threonine Proteases with Immune and Developmental Roles; Serine proteases, trypsin domain; Peptidase S1, PA clan; Serine proteases, trypsin family, serine active site; Peptidase S1A, chymotrypsin family; Proteinase, regulatory CLIP domain superfamily	PF12032; Regulatory CLIP domain of proteinases; PF00089; Trypsin	PTHR24256; TRYPTASE-RELATED	GO:0004252(InterPro)|GO:0006508(InterPro)	enzyme; membrane; development; digestion	GROWTH_DEVELOPMENT	CLIP domain-containing serine protease OS=Eumeta variegata OX=151549 GN=Sp7 PE=3 SV=1
g13831.t1	12	88.889	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	912	tr|A0A194QAT6|A0A194QAT6_PAPXU	Papilio xuthus	66420	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	92.256	98.0	0.0	1759.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	97.964	100.0	30.0	100.0	100.0	Chitinase insertion domain superfamily	IPR029070; IPR002557; IPR011583; IPR036508; IPR050314; IPR001579; IPR001223; IPR017853	Chitinase insertion domain superfamily; Chitin binding domain; Chitinase II/V-like, catalytic domain; Chitin binding domain superfamily; Glycosyl hydrolase family 18; Glycosyl hydrolase family 18, active site; Glycoside hydrolase family 18, catalytic domain; Glycoside hydrolase superfamily	PF01607; Chitin binding Peritrophin-A domain; PF00704; Glycosyl hydrolases family 18	PTHR11177; CHITINASE	GO:0005576(InterPro)|GO:0008061(InterPro); GO:0008061(InterPro); GO:0004568(PANTHER)|GO:0005576(PANTHER)|GO:0006032(PANTHER)|GO:0008061(PANTHER); GO:0004553(InterPro)|GO:0005975(InterPro); GO:0005975(InterPro)	enzyme; digestion	CHITIN	tr|A0A194QAT6|A0A194QAT6_PAPXU Putative chitinase 3 OS=Papilio xuthus OX=66420 GN=RR46_09780 PE=3 SV=1
g16491.t1	13	88.889	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	2476	tr|A0A4C1WC48|A0A4C1WC48_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	76.644	98.0	0.0	3357.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	97.964	100.0	30.0	100.0	100.0	Chitin binding domain superfamily	IPR036508; IPR017853; IPR029070; IPR011583; IPR002557; IPR001223; IPR001579; IPR050314	Chitin binding domain superfamily; Glycoside hydrolase superfamily; Chitinase insertion domain superfamily; Chitinase II/V-like, catalytic domain; Chitin binding domain; Glycoside hydrolase family 18, catalytic domain; Glycosyl hydrolase family 18, active site; Glycosyl hydrolase family 18	PF01607; Chitin binding Peritrophin-A domain; PF00704; Glycosyl hydrolases family 18	PTHR11177; CHITINASE	GO:0008061(InterPro); GO:0005576(InterPro)|GO:0008061(InterPro); GO:0005975(InterPro); GO:0004553(InterPro)|GO:0005975(InterPro); GO:0004568(PANTHER)|GO:0005576(PANTHER)|GO:0006032(PANTHER)|GO:0008061(PANTHER)	enzyme; digestion	CHITIN	tr|A0A4C1WC48|A0A4C1WC48_EUMVA Acidic mammalian chitinase OS=Eumeta variegata OX=151549 GN=CHIA PE=3 SV=1
g2464.t1	14	88.837	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	368	tr|A0A4C1YFG7|A0A4C1YFG7_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	82.173	98.0	0.0	603.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	97.79	100.0	30.0	100.0	100.0	UDP-glucuronosyl/UDP-glucosyltransferase	IPR002213; IPR050271	UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glycosyltransferase	PF00201; UDP-glucoronosyl and UDP-glucosyl transferase	PTHR48043; EG:EG0003.4 PROTEIN-RELATED	GO:0008194(InterPro); GO:0008194(PANTHER)	enzyme	GROWTH_DEVELOPMENT	Ecdysteroid UDP-glucosyltransferase OS=Eumeta variegata OX=151549 GN=EGT PE=3 SV=1
g14161.t1	15	88.649	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	437	tr|A0A4C1V3W7|A0A4C1V3W7_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	80.822	100.0	0.0	749.0	12	12	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	99.664	100.0	30.0	100.0	95.0	Sushi/SCR/CCP superfamily	IPR035976; IPR001254; IPR001314; IPR018114; IPR009003	Sushi/SCR/CCP superfamily; Serine proteases, trypsin domain; Peptidase S1A, chymotrypsin family; Serine protease-like, trypsin family, histidine active site; Peptidase S1, PA clan	PF00089; Trypsin	PTHR24252; ACROSIN-RELATED	GO:0004252(InterPro)|GO:0006508(InterPro)	enzyme; digestion	DIGESTION	tr|A0A4C1V3W7|A0A4C1V3W7_EUMVA Modular serine protease OS=Eumeta variegata OX=151549 GN=modSP PE=4 SV=1
g16503.t1	16	88.641	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	356	tr|A0A4C1VWI1|A0A4C1VWI1_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	69.855	97.0	4.19e-174	499.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	97.137	100.0	30.0	100.0	100.0	UDP-glucuronosyl/UDP-glucosyltransferase	IPR002213; IPR050271	UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glycosyltransferase	PF00201; UDP-glucoronosyl and UDP-glucosyl transferase	PTHR48043; EG:EG0003.4 PROTEIN-RELATED	GO:0008194(InterPro); GO:0008194(PANTHER)	enzyme	GROWTH_DEVELOPMENT	tr|A0A4C1VWI1|A0A4C1VWI1_EUMVA Ecdysteroid UDP-glucosyltransferase OS=Eumeta variegata OX=151549 GN=EGT PE=3 SV=1
g19394.t1	17	88.637	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	619	tr|A0A4C1VNC3|A0A4C1VNC3_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	86.452	100.0	0.0	1128.0	12	12	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	99.624	100.0	30.0	100.0	95.0	Six-bladed beta-propeller, TolB-like	IPR011042; IPR001375; IPR045550; IPR029058	Six-bladed beta-propeller, TolB-like; Peptidase S9, prolyl oligopeptidase, catalytic domain; Acylamino-acid-releasing enzyme, N-terminal domain; Alpha/Beta hydrolase fold	PF00326; Prolyl oligopeptidase family; PF19283; Acylamino-acid-releasing enzyme, N-terminal domain	PTHR42776; SERINE PEPTIDASE S9 FAMILY MEMBER	GO:0006508(InterPro)|GO:0008236(InterPro); GO:0004252(PANTHER)	enzyme; digestion	DIGESTION	tr|A0A4C1VNC3|A0A4C1VNC3_EUMVA Acylamino-acid-releasing enzyme OS=Eumeta variegata OX=151549 GN=Apeh PE=3 SV=1
g3621.t1	18	88.637	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	952	tr|A0A4C1W5T8|A0A4C1W5T8_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	86.149	100.0	0.0	1704.0	12	12	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	99.624	100.0	30.0	100.0	95.0	Aminopeptidase N-type	IPR034016; IPR014782; IPR045357; IPR042097; IPR050344; IPR027268; IPR024571; IPR001930	Aminopeptidase N-type; Peptidase M1, membrane alanine aminopeptidase; Aminopeptidase N-like , N-terminal domain; Aminopeptidase N-like , N-terminal domain superfamliy; Peptidase M1 family aminopeptidases; Peptidase M4/M1, CTD superfamily; ERAP1-like C-terminal domain; Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase	PF01433; Peptidase family M1 domain; PF17900; Peptidase M1 N-terminal domain; PF11838; ERAP1-like C-terminal domain	PTHR11533; PROTEASE M1 ZINC METALLOPROTEASE	GO:0008237(InterPro)|GO:0008270(InterPro); GO:0005615(PANTHER)|GO:0005737(PANTHER)|GO:0006508(PANTHER)|GO:0008270(PANTHER)|GO:0016020(PANTHER)|GO:0042277(PANTHER)|GO:0043171(PANTHER)|GO:0070006(PANTHER); GO:0006508(InterPro)	enzyme; digestion	DIGESTION	Aminopeptidase OS=Eumeta variegata OX=151549 GN=EVAR_95141_1 PE=3 SV=1
g18411.t1	19	88.62	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	1897	tr|A0A4C1Y159|A0A4C1Y159_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	68.313	98.0	0.0	2593.0	20	37	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	97.068	100.0	30.0	100.0	100.0	Chitin binding domain superfamily	IPR036508; IPR002557; IPR017853; IPR051940; IPR029070; IPR001223	Chitin binding domain superfamily; Chitin binding domain; Glycoside hydrolase superfamily; Chitin-binding developmental regulator; Chitinase insertion domain superfamily; Glycoside hydrolase family 18, catalytic domain	PF01607; Chitin binding Peritrophin-A domain; PF00704; Glycosyl hydrolases family 18	PTHR23301; CHITIN BINDING PERITROPHIN-A	GO:0008061(InterPro); GO:0005576(InterPro)|GO:0008061(InterPro); GO:0005975(InterPro)	enzyme; development; digestion	CHITIN	tr|A0A4C1Y159|A0A4C1Y159_EUMVA Probable chitinase 10 OS=Eumeta variegata OX=151549 GN=Cht10 PE=3 SV=1
g6034.t3	20	88.617	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	382	tr|A0A8J9VST8|A0A8J9VST8_9NEOP	Brenthis ino	405034	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	82.902	100.0	0.0	684.0	11	11	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	99.555	100.0	30.0	100.0	95.0	Peptidase M2, peptidyl-dipeptidase A	IPR001548	Peptidase M2, peptidyl-dipeptidase A	PF01401; Angiotensin-converting enzyme	PTHR10514; ANGIOTENSIN-CONVERTING ENZYME	GO:0006508(InterPro)|GO:0008237(InterPro)|GO:0008241(InterPro)|GO:0016020(InterPro); GO:0005615(PANTHER)|GO:0005886(PANTHER)|GO:0006508(InterPro)|GO:0008237(PANTHER)|GO:0008237(InterPro)|GO:0008241(InterPro)|GO:0016020(InterPro)	enzyme; digestion	DIGESTION	Angiotensin-converting enzyme (Fragment) OS=Brenthis ino OX=405034 GN=BINO364_LOCUS14300 PE=3 SV=1
g2969.t1	21	88.617	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	306	tr|A0A9J7E8J3|A0A9J7E8J3_SPOLT	Spodoptera littoralis	7109	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	76.699	100.0	2.4e-175	506.0	11	11	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	99.555	100.0	30.0	100.0	95.0	Serine proteases, trypsin family, serine active site	IPR033116; IPR001254; IPR009003; IPR001314; IPR018114	Serine proteases, trypsin family, serine active site; Serine proteases, trypsin domain; Peptidase S1, PA clan; Peptidase S1A, chymotrypsin family; Serine protease-like, trypsin family, histidine active site	PF00089; Trypsin	PTHR24252; ACROSIN-RELATED	GO:0004252(InterPro)|GO:0006508(InterPro)	enzyme; digestion	DIGESTION	Transmembrane protease serine 9-like OS=Spodoptera litura OX=69820 GN=LOC111356314 PE=4 SV=1
g6193.t1	22	88.605	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	415	tr|A0A4C1ZXS9|A0A4C1ZXS9_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	82.169	100.0	0.0	729.0	11	12	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	99.516	100.0	30.0	100.0	95.0	Peptidase M14, carboxypeptidase A	IPR000834; IPR036990; IPR003146	Peptidase M14, carboxypeptidase A; Metallocarboxypeptidase-like, propeptide; Carboxypeptidase, activation peptide	PF00246; Zinc carboxypeptidase; PF02244; Carboxypeptidase activation peptide	PTHR11705; PROTEASE FAMILY M14 CARBOXYPEPTIDASE A,B	GO:0004181(InterPro)|GO:0006508(InterPro)|GO:0008270(InterPro); GO:0004181(PANTHER)|GO:0005615(PANTHER)|GO:0006508(PANTHER)	enzyme; digestion	DIGESTION	Zinc carboxypeptidase A 1 OS=Eumeta variegata OX=151549 GN=EVAR_70481_1 PE=3 SV=1
g2970.t1	23	88.591	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	305	tr|A0A9J7E8J3|A0A9J7E8J3_SPOLT	Mythimna loreyi	667449	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	69.903	100.0	7.08e-153	449.0	11	11	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	99.47	100.0	30.0	100.0	95.0	Peptidase S1, PA clan	IPR009003; IPR001254; IPR001314; IPR018114	Peptidase S1, PA clan; Serine proteases, trypsin domain; Peptidase S1A, chymotrypsin family; Serine protease-like, trypsin family, histidine active site	PF00089; Trypsin	PTHR24252; ACROSIN-RELATED	GO:0004252(InterPro)|GO:0006508(InterPro)	enzyme; digestion	DIGESTION	Transmembrane protease serine 9-like OS=Spodoptera litura OX=69820 GN=LOC111356314 PE=4 SV=1
