qseqid	sseqid	pident	length	qlen	slen	qcov	evalue	bitscore	stitle
g8049.t1	sp|Q96SZ6|CK5P1_HUMAN	55.533	488	484	601	97.0	0.0	546.0	Mitochondrial tRNA methylthiotransferase CDK5RAP1 OS=Homo sapiens OX=9606 GN=CDK5RAP1 PE=1 SV=2
g8049.t1	sp|Q96SZ6-6|CK5P1_HUMAN	58.37	454	484	574	93.0	0.0	546.0	Isoform 6 of Mitochondrial tRNA methylthiotransferase CDK5RAP1 OS=Homo sapiens OX=9606 GN=CDK5RAP1
g8049.t1	sp|Q2R1U4|CK5P1_ORYSJ	51.815	496	484	600	99.0	6e-178	515.0	CDK5RAP1-like protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os11g0592800 PE=2 SV=1
g8049.t1	sp|Q54KV4|CK5P1_DICDI	49.796	490	484	607	97.0	1.05e-165	484.0	CDK5RAP1-like protein OS=Dictyostelium discoideum OX=44689 GN=cdk5rap1 PE=3 SV=1
g8049.t1	sp|Q8H0V1|CK5P1_ARATH	48.049	487	484	640	97.0	8.55e-162	475.0	CDK5RAP1-like protein OS=Arabidopsis thaliana OX=3702 GN=At4g36390 PE=2 SV=1
g8052.t1	sp|Q9GT45|RS26_ANOGA	86.087	115	115	115	100.0	1.4899999999999994e-68	204.0	Small ribosomal subunit protein eS26 OS=Anopheles gambiae OX=7165 GN=RpS26 PE=3 SV=2
g8052.t1	sp|P13008|RS26_DROME	84.259	108	115	114	94.0	1.5999999999999999e-62	189.0	Small ribosomal subunit protein eS26 OS=Drosophila melanogaster OX=7227 GN=RpS26 PE=1 SV=1
g8052.t1	sp|P27085|RS26_OCTVU	74.775	111	115	127	97.0	2.41e-53	166.0	Small ribosomal subunit protein eS26 OS=Octopus vulgaris OX=6645 GN=RPS26 PE=2 SV=1
g8052.t1	sp|P62856|RS26_RAT	79.0	100	115	115	87.0	2.95e-53	165.0	Small ribosomal subunit protein eS26 OS=Rattus norvegicus OX=10116 GN=Rps26 PE=3 SV=3
g8052.t1	sp|P49171|RS26_PIG	79.0	100	115	115	87.0	2.95e-53	165.0	Small ribosomal subunit protein eS26 OS=Sus scrofa OX=9823 GN=RPS26 PE=1 SV=4
g8052.t1	sp|P62855|RS26_MOUSE	79.0	100	115	115	87.0	2.95e-53	165.0	Small ribosomal subunit protein eS26 OS=Mus musculus OX=10090 GN=Rps26 PE=1 SV=3
g8052.t1	sp|P61251|RS26_MACFA	79.0	100	115	115	87.0	2.95e-53	165.0	Small ribosomal subunit protein eS26 OS=Macaca fascicularis OX=9541 GN=RPS26 PE=1 SV=3
g8052.t1	sp|P62854|RS26_HUMAN	79.0	100	115	115	87.0	2.95e-53	165.0	Small ribosomal subunit protein eS26 OS=Homo sapiens OX=9606 GN=RPS26 PE=1 SV=3
g8052.t1	sp|Q56JV1|RS26_BOVIN	79.0	100	115	115	87.0	2.95e-53	165.0	Small ribosomal subunit protein eS26 OS=Bos taurus OX=9913 GN=RPS26 PE=1 SV=3
g8052.t1	sp|P30742|RS26_CRICR	78.0	100	115	115	87.0	5.63e-53	165.0	Small ribosomal subunit protein eS26 OS=Cricetus cricetus OX=10034 GN=RPS26 PE=3 SV=3
g8053.t1	tr|A0A4C1TVJ4|A0A4C1TVJ4_EUMVA	82.4	500	616	585	80.0	0.0	723.0	AN1-type zinc finger protein 4 OS=Eumeta variegata OX=151549 GN=Zfand4 PE=4 SV=1
g8053.t1	tr|A0AAV1JLT7|A0AAV1JLT7_9NEOP	50.912	658	616	621	100.0	2.27e-175	520.0	AN1-type zinc finger protein 4 OS=Leptosia nina OX=320188 GN=LNINA_LOCUS9563 PE=4 SV=1
g8053.t1	tr|A0ABM3MIG3|A0ABM3MIG3_GALME	52.269	639	616	556	100.0	2.05e-174	516.0	AN1-type zinc finger protein 4-like isoform X4 OS=Galleria mellonella OX=7137 GN=LOC113509071 PE=4 SV=1
g8053.t1	tr|A0ABM3MIH5|A0ABM3MIH5_GALME	52.188	640	616	557	100.0	1.9e-172	511.0	AN1-type zinc finger protein 4-like isoform X3 OS=Galleria mellonella OX=7137 GN=LOC113509071 PE=4 SV=1
g8053.t1	tr|A0ACC1CTK1|A0ACC1CTK1_9NEOP	52.833	653	616	602	100.0	2.5299999999999997e-172	512.0	Uncharacterized protein OS=Dendrolimus kikuchii OX=765133 GN=K1T71_009984 PE=4 SV=1
g8053.t1	tr|A0ABM3MIH6|A0ABM3MIH6_GALME	52.255	643	616	566	100.0	1.3999999999999999e-171	509.0	AN1-type zinc finger protein 4-like isoform X2 OS=Galleria mellonella OX=7137 GN=LOC113509071 PE=4 SV=1
g8053.t1	tr|A0ABM3MIH4|A0ABM3MIH4_GALME	52.174	644	616	567	100.0	8.949999999999999e-170	504.0	AN1-type zinc finger protein 4-like isoform X1 OS=Galleria mellonella OX=7137 GN=LOC113509071 PE=4 SV=1
g8053.t1	tr|A0A8J9YBQ9|A0A8J9YBQ9_9NEOP	51.888	609	616	520	97.0	3.7600000000000004e-166	493.0	AN1-type zinc finger protein 4 (Fragment) OS=Brenthis ino OX=405034 GN=BINO364_LOCUS6783 PE=4 SV=1
g8053.t1	tr|A0A212EUW7|A0A212EUW7_DANPL	50.315	634	616	516	100.0	7.49e-165	490.0	Uncharacterized protein OS=Danaus plexippus plexippus OX=278856 GN=KGM_213212 PE=4 SV=1
g8053.t1	tr|A0ACC2QE90|A0ACC2QE90_9NEOP	50.551	635	616	556	100.0	3.93e-163	487.0	Uncharacterized protein OS=Mythimna loreyi OX=667449 GN=PYW08_004798 PE=4 SV=1
g8055.t1	sp|P00348|HCDH_PIG	51.773	282	377	314	94.0	5.63e-105	315.0	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Sus scrofa OX=9823 GN=HADH PE=1 SV=2
g8055.t1	sp|Q16836|HCDH_HUMAN	52.837	282	377	314	74.0	2.5799999999999996e-104	313.0	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HADH PE=1 SV=3
g8055.t1	sp|P41938|HCDH2_CAEEL	51.536	293	377	309	97.0	1.48e-103	311.0	Probable 3-hydroxyacyl-CoA dehydrogenase B0272.3 OS=Caenorhabditis elegans OX=6239 GN=B0272.3 PE=3 SV=1
g8055.t1	sp|Q9WVK7|HCDH_RAT	51.049	286	377	314	94.0	2.35e-103	310.0	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Hadh PE=2 SV=1
g8055.t1	sp|Q61425-2|HCDH_MOUSE	51.049	286	377	306	94.0	1.39e-102	308.0	Isoform 2 of Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Hadh
g8055.t1	sp|Q61425|HCDH_MOUSE	51.049	286	377	314	94.0	1.58e-102	308.0	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Hadh PE=1 SV=2
g8055.t1	sp|Q16836-3|HCDH_HUMAN	49.833	299	377	331	74.0	1.03e-99	301.0	Isoform 3 of Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HADH
g8055.t1	sp|Q16836-2|HCDH_HUMAN	49.833	299	377	390	74.0	5.08e-98	299.0	Isoform 2 of Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HADH
g8055.t1	sp|P34439|HCDH1_CAEEL	49.828	291	377	298	96.0	2.5399999999999998e-95	289.0	Probable 3-hydroxyacyl-CoA dehydrogenase F54C8.1 OS=Caenorhabditis elegans OX=6239 GN=F54C8.1 PE=1 SV=1
g8055.t1	sp|P77851|HBD_THETC	46.043	278	377	281	93.0	2.12e-71	228.0	3-hydroxybutyryl-CoA dehydrogenase OS=Thermoanaerobacterium thermosaccharolyticum (strain ATCC 7956 / DSM 571 / NCIMB 9385 / NCA 3814 / NCTC 13789 / WDCM 00135 / 2032) OX=580327 GN=hbd PE=3 SV=2
g8056.t1	sp|Q61425-2|HCDH_MOUSE	61.324	287	309	306	93.0	1.48e-131	379.0	Isoform 2 of Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Hadh
g8056.t1	sp|Q61425|HCDH_MOUSE	61.324	287	309	314	93.0	1.7499999999999999e-131	379.0	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Hadh PE=1 SV=2
g8056.t1	sp|Q9WVK7|HCDH_RAT	61.324	287	309	314	93.0	3.16e-131	379.0	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Hadh PE=2 SV=1
g8056.t1	sp|P00348|HCDH_PIG	60.976	287	309	314	93.0	6.02e-131	378.0	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Sus scrofa OX=9823 GN=HADH PE=1 SV=2
g8056.t1	sp|Q16836|HCDH_HUMAN	61.324	287	309	314	93.0	6.74e-130	375.0	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HADH PE=1 SV=3
g8056.t1	sp|P41938|HCDH2_CAEEL	58.054	298	309	309	96.0	1.2900000000000002e-125	364.0	Probable 3-hydroxyacyl-CoA dehydrogenase B0272.3 OS=Caenorhabditis elegans OX=6239 GN=B0272.3 PE=3 SV=1
g8056.t1	sp|Q16836-3|HCDH_HUMAN	57.895	304	309	331	93.0	3.4500000000000004e-125	363.0	Isoform 3 of Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HADH
g8056.t1	sp|Q16836-2|HCDH_HUMAN	57.895	304	309	390	93.0	4.1800000000000006e-123	360.0	Isoform 2 of Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HADH
g8056.t1	sp|P34439|HCDH1_CAEEL	53.02	298	309	298	96.0	1.13e-117	343.0	Probable 3-hydroxyacyl-CoA dehydrogenase F54C8.1 OS=Caenorhabditis elegans OX=6239 GN=F54C8.1 PE=1 SV=1
g8056.t1	sp|P77851|HBD_THETC	47.735	287	309	281	93.0	4.6499999999999997e-82	252.0	3-hydroxybutyryl-CoA dehydrogenase OS=Thermoanaerobacterium thermosaccharolyticum (strain ATCC 7956 / DSM 571 / NCIMB 9385 / NCA 3814 / NCTC 13789 / WDCM 00135 / 2032) OX=580327 GN=hbd PE=3 SV=2
g8057.t1	sp|Q27272|TAF9_DROME	50.51	196	241	278	80.0	4.67e-61	196.0	Transcription initiation factor TFIID subunit 9 OS=Drosophila melanogaster OX=7227 GN=Taf9 PE=1 SV=1
g8057.t1	sp|Q5BKE0|TAF9_RAT	41.833	251	241	264	93.0	5.4100000000000004e-58	187.0	Transcription initiation factor TFIID subunit 9 OS=Rattus norvegicus OX=10116 GN=Taf9 PE=2 SV=1
g8057.t1	sp|Q8VI33|TAF9_MOUSE	47.03	202	241	264	81.0	7.91e-58	187.0	Transcription initiation factor TFIID subunit 9 OS=Mus musculus OX=10090 GN=Taf9 PE=1 SV=1
g8057.t1	sp|Q5R7P7|TAF9B_PONAB	42.8	250	241	251	93.0	2.5100000000000002e-57	186.0	Transcription initiation factor TFIID subunit 9B OS=Pongo abelii OX=9601 GN=TAF9B PE=2 SV=1
g8057.t1	sp|Q9HBM6|TAF9B_HUMAN	42.8	250	241	251	93.0	2.5100000000000002e-57	186.0	Transcription initiation factor TFIID subunit 9B OS=Homo sapiens OX=9606 GN=TAF9B PE=1 SV=1
g8058.t1	tr|A0ABR3I8U5|A0ABR3I8U5_LOXSC	54.36	688	684	798	95.0	0.0	724.0	TMC domain-containing protein OS=Loxostege sticticalis OX=481309 GN=ABMA27_014411 PE=3 SV=1
g8058.t1	tr|A0AAV1LL77|A0AAV1LL77_9NEOP	58.104	654	684	768	95.0	0.0	722.0	TMC domain-containing protein OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS15190 PE=3 SV=1
g8058.t1	tr|A0ACC1CZA1|A0ACC1CZA1_9NEOP	57.878	641	684	765	93.0	0.0	717.0	TMC domain-containing protein OS=Dendrolimus kikuchii OX=765133 GN=K1T71_006964 PE=3 SV=1
g8058.t1	tr|A0A8S3Y9F9|A0A8S3Y9F9_PARAO	57.187	654	684	768	95.0	0.0	714.0	(apollo) hypothetical protein OS=Parnassius apollo OX=110799 GN=PAPOLLO_LOCUS25127 PE=3 SV=1
g8058.t1	tr|A0AAD7YXQ6|A0AAD7YXQ6_MYTSE	56.037	646	684	792	93.0	0.0	711.0	TMC domain-containing protein OS=Mythimna separata OX=271217 GN=PYW07_017417 PE=3 SV=1
g8058.t1	tr|A0ACC2QWG6|A0ACC2QWG6_9NEOP	55.882	646	684	830	93.0	0.0	702.0	TMC domain-containing protein OS=Mythimna loreyi OX=667449 GN=PYW08_016243 PE=3 SV=1
g8058.t1	tr|A0A7E5VAU0|A0A7E5VAU0_TRINI	56.581	661	684	774	95.0	0.0	698.0	Transmembrane channel-like protein 3 isoform X2 OS=Trichoplusia ni OX=7111 GN=LOC113492221 PE=3 SV=1
g8058.t1	tr|A0A7E5VAT3|A0A7E5VAT3_TRINI	56.581	661	684	771	95.0	0.0	698.0	Transmembrane channel-like protein 3 isoform X3 OS=Trichoplusia ni OX=7111 GN=LOC113492221 PE=3 SV=1
g8058.t1	tr|A0A7E5VAT6|A0A7E5VAT6_TRINI	56.581	661	684	774	95.0	0.0	697.0	Transmembrane channel-like protein 3 isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113492221 PE=3 SV=1
g8058.t1	tr|A0A7E5VAT5|A0A7E5VAT5_TRINI	57.632	642	684	765	93.0	0.0	694.0	Transmembrane channel-like protein 3 isoform X4 OS=Trichoplusia ni OX=7111 GN=LOC113492221 PE=3 SV=1
g8059.t1	tr|A0A4C1ZWL9|A0A4C1ZWL9_EUMVA	82.176	432	589	846	87.0	0.0	723.0	Protein bric-a-brac 1 OS=Eumeta variegata OX=151549 GN=bab1 PE=4 SV=1
g8059.t1	tr|A0AAV1JAZ7|A0AAV1JAZ7_9NEOP	66.259	572	589	635	96.0	0.0	692.0	BTB domain-containing protein OS=Leptosia nina OX=320188 GN=LNINA_LOCUS6117 PE=4 SV=1
g8059.t1	tr|A0A0L7LET3|A0A0L7LET3_OPEBR	59.229	493	589	480	78.0	5.750000000000001e-179	523.0	Putative BTB/POZ domain-containing protein (Fragment) OS=Operophtera brumata OX=104452 GN=OBRU01_10038 PE=4 SV=1
g8059.t1	tr|A0A9J7E8D6|A0A9J7E8D6_SPOLT	66.903	423	589	551	78.0	5.72e-176	518.0	Uncharacterized protein LOC111354753 isoform X1 OS=Spodoptera litura OX=69820 GN=LOC111354753 PE=4 SV=1
g8059.t1	tr|A0A8S1B8M8|A0A8S1B8M8_ARCPL	61.607	448	589	569	81.0	2.24e-174	515.0	BTB domain-containing protein OS=Arctia plantaginis OX=874455 GN=APLA_LOCUS14556 PE=4 SV=1
g8059.t1	tr|A0A9R0DJ07|A0A9R0DJ07_SPOFR	63.877	454	589	554	82.0	1.81e-172	509.0	Uncharacterized protein LOC118280273 isoform X1 OS=Spodoptera frugiperda OX=7108 GN=LOC118280273 PE=4 SV=1
g8059.t1	tr|A0A835KXY7|A0A835KXY7_SPOEX	63.326	439	589	559	79.0	3.27e-170	504.0	BTB domain-containing protein OS=Spodoptera exigua OX=7107 GN=HW555_012387 PE=4 SV=1
g8059.t1	tr|A0A8R2C8B7|A0A8R2C8B7_BOMMO	60.356	449	589	541	84.0	1.89e-169	501.0	BTB domain-containing protein OS=Bombyx mori OX=7091 PE=4 SV=1
g8059.t1	tr|A0A6J2K1V6|A0A6J2K1V6_BOMMA	60.134	449	589	541	84.0	8.12e-169	500.0	Uncharacterized protein LOC114246584 isoform X1 OS=Bombyx mandarina OX=7092 GN=LOC114246584 PE=4 SV=1
g8059.t1	tr|A0ABQ7PVM4|A0ABQ7PVM4_PLUXY	59.692	454	589	549	83.0	2.7e-168	499.0	BTB domain-containing protein OS=Plutella xylostella OX=51655 GN=JYU34_021992 PE=4 SV=1
g8060.t1	tr|A0AAV1JDH4|A0AAV1JDH4_9NEOP	62.332	223	235	205	94.0	2.77e-80	248.0	HTH psq-type domain-containing protein OS=Leptosia nina OX=320188 GN=LNINA_LOCUS6116 PE=4 SV=1
g8060.t1	tr|A0ABR3H2A9|A0ABR3H2A9_LOXSC	63.182	220	235	222	93.0	9.71e-80	247.0	HTH psq-type domain-containing protein OS=Loxostege sticticalis OX=481309 GN=ABMA27_011367 PE=4 SV=1
g8060.t1	tr|A0ACC2Q424|A0ACC2Q424_9NEOP	60.0	225	235	201	94.0	4.17e-78	243.0	Uncharacterized protein OS=Mythimna loreyi OX=667449 GN=PYW08_011035 PE=4 SV=1
g8060.t1	tr|A0A821YAV4|A0A821YAV4_9NEOP	60.793	227	235	198	95.0	1.07e-77	241.0	HTH psq-type domain-containing protein OS=Pieris macdunnoughi OX=345717 GN=PMACD_LOCUS16337 PE=4 SV=1
g8060.t1	tr|A0A821Y7M1|A0A821Y7M1_9NEOP	59.149	235	235	304	99.0	4.35e-77	243.0	HTH psq-type domain-containing protein OS=Pieris macdunnoughi OX=345717 GN=PMACD_LOCUS16336 PE=4 SV=1
g8060.t1	tr|A0ABN8IEF3|A0ABN8IEF3_9NEOP	57.083	240	235	460	99.0	7.25e-77	248.0	HTH psq-type domain-containing protein (Fragment) OS=Iphiclides podalirius OX=110791 GN=IPOD504_LOCUS9322 PE=4 SV=1
g8060.t1	tr|A0A9P0TSL5|A0A9P0TSL5_PIEBR	58.723	235	235	304	99.0	1.2e-76	243.0	HTH psq-type domain-containing protein OS=Pieris brassicae OX=7116 GN=PIBRA_LOCUS10328 PE=4 SV=1
g8060.t1	tr|A0AAU9UUA8|A0AAU9UUA8_EUPED	59.545	220	235	199	92.0	6.57e-75	234.0	HTH psq-type domain-containing protein OS=Euphydryas editha OX=104508 GN=EEDITHA_LOCUS16376 PE=4 SV=1
g8060.t1	tr|A0A8S3W9G1|A0A8S3W9G1_PARAO	60.849	212	235	242	89.0	2.13e-73	232.0	(apollo) hypothetical protein OS=Parnassius apollo OX=110799 GN=PAPOLLO_LOCUS3796 PE=4 SV=1
g8061.t1	tr|A0AAV1LFJ7|A0AAV1LFJ7_9NEOP	73.418	948	925	963	96.0	0.0	1330.0	Ubiquitin carboxyl-terminal hydrolase OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS12695 PE=3 SV=1
g8061.t1	tr|A0A8S4G1X8|A0A8S4G1X8_PLUXY	72.915	971	925	959	99.0	0.0	1324.0	Ubiquitin carboxyl-terminal hydrolase OS=Plutella xylostella OX=51655 GN=PLXY2_LOCUS13321 PE=3 SV=1
g8061.t1	tr|A0AAU9URL6|A0AAU9URL6_EUPED	74.709	945	925	921	99.0	0.0	1318.0	Ubiquitin carboxyl-terminal hydrolase OS=Euphydryas editha OX=104508 GN=EEDITHA_LOCUS16370 PE=3 SV=1
g8061.t1	tr|A0A8S3W9G6|A0A8S3W9G6_PARAO	72.813	949	925	964	96.0	0.0	1318.0	Ubiquitin carboxyl-terminal hydrolase OS=Parnassius apollo OX=110799 GN=PAPOLLO_LOCUS3789 PE=3 SV=1
g8061.t1	tr|A0A8B8HJB9|A0A8B8HJB9_VANTA	74.156	948	925	924	99.0	0.0	1310.0	Ubiquitin carboxyl-terminal hydrolase OS=Vanessa tameamea OX=334116 GN=LOC113391663 PE=3 SV=1
g8061.t1	tr|A0ACC1DGL6|A0ACC1DGL6_9NEOP	70.968	930	925	929	97.0	0.0	1309.0	Ubiquitin carboxyl-terminal hydrolase OS=Dendrolimus kikuchii OX=765133 GN=K1T71_001008 PE=3 SV=1
g8061.t1	tr|A0A8S4HYV4|A0A8S4HYV4_9NEOP	74.605	949	925	927	99.0	0.0	1300.0	Ubiquitin carboxyl-terminal hydrolase (Fragment) OS=Brenthis ino OX=405034 GN=BINO364_LOCUS5 PE=3 SV=1
g8061.t1	tr|A0ABM3MBD8|A0ABM3MBD8_GALME	73.498	932	925	948	96.0	0.0	1291.0	Ubiquitin carboxyl-terminal hydrolase OS=Galleria mellonella OX=7137 GN=LOC113514443 PE=3 SV=1
g8061.t1	tr|A0ABN8B9R7|A0ABN8B9R7_CHISP	73.617	940	925	943	97.0	0.0	1290.0	Ubiquitin carboxyl-terminal hydrolase OS=Chilo suppressalis OX=168631 GN=CHILSU_LOCUS7723 PE=3 SV=1
g8061.t1	tr|A0ACF8LHX3|A0ACF8LHX3_9NEOP	72.135	951	925	932	99.0	0.0	1280.0	Uncharacterized protein OS=Scirpophaga incertulas OX=72366 GN=ACJJTC_011045 PE=4 SV=1
g8065.t1	tr|A0AAE1E486|A0AAE1E486_9GAST	30.841	107	112	782	96.0	7.7e-08	59.3	Uncharacterized protein OS=Elysia crispata OX=231223 GN=RRG08_066425 PE=4 SV=1
