qseqid	sseqid	pident	length	qlen	slen	qcovs	evalue	bitscore	stitle	source	source_file	classification
g10077.t1	sp|Q9VKH0|COG8_DROME	35.606	528	548	570	94	1.71e-108	338.0	Conserved oligomeric Golgi complex subunit 8 OS=Drosophila melanogaster OX=7227 GN=Cog8 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10078.t1	sp|Q9W252|RAD50_DROME	30.999	1271	1238	1318	99	3.7e-167	535.0	DNA repair protein RAD50 OS=Drosophila melanogaster OX=7227 GN=rad50 PE=1 SV=4	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10081.t1	sp|P20735|GGT1_PIG	45.614	228	227	568	99	2e-55	188.0	Glutathione hydrolase 1 proenzyme OS=Sus scrofa OX=9823 GN=GGT1 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10084.t1	sp|G4RK44|TPSP_THETK	30.376	372	448	731	81	7.08e-37	147.0	Bifunctional trehalose-6-phosphate synthase/phosphatase OS=Thermoproteus tenax (strain ATCC 35583 / DSM 2078 / JCM 9277 / NBRC 100435 / Kra 1) OX=768679 GN=tpsp PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10085.t1	sp|Q9VA02|DHTK1_DROME	33.898	118	141	919	82	4.57e-13	68.6	Probable 2-oxoadipate dehydrogenase complex component E1 homolog OS=Drosophila melanogaster OX=7227 GN=Oadh PE=2 SV=2	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10090.t1	sp|Q8R4C2|RUFY2_MOUSE	45.942	616	692	606	86	0.0	536.0	RUN and FYVE domain-containing protein 2 OS=Mus musculus OX=10090 GN=Rufy2 PE=1 SV=2	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10094.t1	sp|P13395|SPTCA_DROME	77.569	2394	2394	2415	100	0.0	3808.0	Spectrin alpha chain OS=Drosophila melanogaster OX=7227 GN=alpha-Spec PE=1 SV=2	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10106.t1	sp|Q9BH41|FAD9_ACHDO	57.219	374	374	359	99	1.01e-152	437.0	Acyl-CoA Delta-9 desaturase OS=Acheta domesticus OX=6997 PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10110.t1	sp|C0HKR2|ALLA_AGRIP	54.148	229	196	229	98	6.59e-64	200.0	Allatostatin-A OS=Agrotis ipsilon OX=56364 PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10111.t1	sp|E9Q8T7|DYH1_MOUSE	53.832	3223	3373	4250	99	0.0	3554.0	Dynein axonemal heavy chain 1 OS=Mus musculus OX=10090 GN=Dnah1 PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10114.t1	sp|Q9P2D7-8|DYH1_HUMAN	38.0	350	353	4196	99	4.370000000000001e-79	267.0	Isoform 7 of Dynein axonemal heavy chain 1 OS=Homo sapiens OX=9606 GN=DNAH1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10116.t1	sp|Q8CC88-2|VWA8_MOUSE	59.498	279	300	1038	91	6.42e-100	318.0	Isoform 2 of von Willebrand factor A domain-containing protein 8 OS=Mus musculus OX=10090 GN=Vwa8	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10118.t1	sp|B0R0T1|VWA8_DANRE	47.708	589	1112	1896	95	3.79e-159	521.0	von Willebrand factor A domain-containing protein 8 OS=Danio rerio OX=7955 GN=vwa8 PE=3 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10124.t1	sp|Q920M9|SIAH1_RAT	84.674	261	282	282	93	1.84e-170	475.0	E3 ubiquitin-protein ligase SIAH1 OS=Rattus norvegicus OX=10116 GN=Siah1 PE=1 SV=2	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10126.t1	sp|A4IHR1|IT70A_XENTR	66.513	651	662	651	98	0.0	907.0	Intraflagellar transport protein 70A OS=Xenopus tropicalis OX=8364 GN=ift70a PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10135.t1	sp|P39057|DYHC_HELCR	39.597	149	154	4466	95	1.7600000000000001e-29	116.0	Dynein beta chain, ciliary OS=Heliocidaris crassispina OX=1043166 PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10136.t1	sp|Q9VGW6|MCM5_DROME	68.161	223	225	733	99	2.94e-107	327.0	DNA replication licensing factor Mcm5 OS=Drosophila melanogaster OX=7227 GN=Mcm5 PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10143.t1	sp|O75165|DJC13_HUMAN	44.434	1078	1028	2243	100	0.0	874.0	DnaJ homolog subfamily C member 13 OS=Homo sapiens OX=9606 GN=DNAJC13 PE=1 SV=5	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10144.t1	sp|D2IYS2|TORSO_BOMMO	39.723	793	783	807	99	3.9000000000000006e-173	521.0	Tyrosine-protein kinase receptor torso OS=Bombyx mori OX=7091 GN=tor PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10147.t1	sp|Q9QXN3|TRIP4_MOUSE	41.71	573	521	581	98	1.95e-136	410.0	Activating signal cointegrator 1 OS=Mus musculus OX=10090 GN=Trip4 PE=1 SV=2	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10150.t1	sp|Q7T2A3|DDA1_DANRE	53.608	97	101	104	96	9.95e-30	105.0	DET1- and DDB1-associated protein 1 OS=Danio rerio OX=7955 GN=dda1 PE=3 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10154.t1	sp|Q5M9G0|DCTD_RAT	61.35	163	192	178	85	4.52e-75	226.0	Deoxycytidylate deaminase OS=Rattus norvegicus OX=10116 GN=Dctd PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10155.t1	sp|Q9BXJ9|NAA15_HUMAN	36.25	160	181	866	87	7.41e-20	89.7	N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA15 PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10160.t1	sp|A0A1L1SUL6|TXND6_MOUSE	34.884	86	100	329	86	1.91e-11	62.0	Thioredoxin domain-containing protein 6 OS=Mus musculus OX=10090 GN=Nme9 PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10161.t1	sp|E9PVA8|GCN1_MOUSE	47.986	2309	2350	2671	95	0.0	1975.0	Stalled ribosome sensor GCN1 OS=Mus musculus OX=10090 GN=Gcn1 PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10162.t1	sp|Q9JMJ4|PRP19_RAT	66.012	509	504	504	99	0.0	703.0	Pre-mRNA-processing factor 19 OS=Rattus norvegicus OX=10116 GN=Prpf19 PE=1 SV=2	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10165.t1	sp|P05049|SNAK_DROME	46.296	108	119	435	91	1.15e-19	86.3	Serine protease snk OS=Drosophila melanogaster OX=7227 GN=snk PE=1 SV=2	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10170.t1	sp|Q9ERH3-2|WDR7_RAT	53.271	321	316	1457	99	7.7e-107	343.0	Isoform 2 of WD repeat-containing protein 7 OS=Rattus norvegicus OX=10116 GN=Wdr7	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10174.t1	sp|Q9BXJ9|NAA15_HUMAN	37.195	164	220	866	73	2.62e-20	92.4	N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA15 PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10175.t1	sp|Q0IES8|MAB21_AEDAE	87.945	365	446	365	82	0.0	681.0	Protein mab-21 OS=Aedes aegypti OX=7159 GN=mab-21 PE=3 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10177.t1	sp|Q9W4E2-6|NBEA_DROME	93.333	75	91	3239	82	5.28e-44	154.0	Isoform R of Neurobeachin OS=Drosophila melanogaster OX=7227 GN=rg	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10178.t1	sp|Q8MKK4|TRE12_DROME	30.7	443	584	488	73	2.76e-62	216.0	Trehalose transporter 1-like protein OS=Drosophila melanogaster OX=7227 GN=Tret1l PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10179.t1	sp|P10978|POLX_TOBAC	30.168	832	873	1328	90	3.3200000000000002e-99	340.0	Retrovirus-related Pol polyprotein from transposon TNT 1-94 OS=Nicotiana tabacum OX=4097 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10182.t1	sp|Q9W4E2|NBEA_DROME	67.19	637	736	3466	82	0.0	900.0	Neurobeachin OS=Drosophila melanogaster OX=7227 GN=rg PE=1 SV=4	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10183.t1	sp|P48153|RS3_MANSE	96.735	245	245	243	100	1.12e-174	483.0	Small ribosomal subunit protein uS3 OS=Manduca sexta OX=7130 GN=RpS3 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10184.t1	sp|Q9V447|KRH2_DROME	50.0	218	274	276	80	1.07e-68	217.0	Krueppel homolog 2 OS=Drosophila melanogaster OX=7227 GN=Kr-h2 PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10185.t1	sp|Q8BGV0|SYNM_MOUSE	43.596	445	460	477	93	3.0900000000000004e-124	373.0	Asparaginyl-tRNA synthetase OS=Mus musculus OX=10090 GN=Nars2 PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10187.t1	sp|Q961J5|BALAT_DROME	33.562	292	307	604	88	8.54e-37	142.0	Beta-alanine transporter OS=Drosophila melanogaster OX=7227 GN=Balat PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10188.t1	sp|Q961J5|BALAT_DROME	31.818	572	576	604	93	3.48e-76	256.0	Beta-alanine transporter OS=Drosophila melanogaster OX=7227 GN=Balat PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10199.t1	sp|Q8INF0|GCY8E_DROME	76.786	56	78	1097	72	1.03e-25	101.0	Soluble guanylate cyclase 88E OS=Drosophila melanogaster OX=7227 GN=Gyc88E PE=1 SV=4	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10201.t1	sp|O18345|AMY2_DROAN	59.557	497	501	494	99	0.0	615.0	Alpha-amylase 2 OS=Drosophila ananassae OX=7217 GN=Amy58 PE=3 SV=2	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10202.t1	sp|P54356|TSG_DROME	45.238	210	245	249	86	7.53e-54	177.0	Protein twisted gastrulation OS=Drosophila melanogaster OX=7227 GN=tsg PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10204.t1	sp|Q66IC8|DYLT5_DANRE	31.304	115	131	173	88	2.89e-18	79.3	Dynein light chain Tctex-type 5 OS=Danio rerio OX=7955 GN=dynlt5 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10210.t1	sp|Q15746-11|MYLK_HUMAN	71.212	66	75	991	88	1.9900000000000002e-29	112.0	Isoform 9 of Myosin light chain kinase, smooth muscle OS=Homo sapiens OX=9606 GN=MYLK	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10216.t1	sp|Q17QW3|RDH14_BOVIN	42.308	312	334	336	88	2.29e-61	202.0	Retinol dehydrogenase 14 OS=Bos taurus OX=9913 GN=RDH14 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10217.t1	sp|Q17QW3|RDH14_BOVIN	42.258	310	334	336	87	9.89e-60	198.0	Retinol dehydrogenase 14 OS=Bos taurus OX=9913 GN=RDH14 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10219.t1	sp|Q5R4W9|RAB9B_PONAB	51.675	209	226	201	92	3.65e-71	218.0	Ras-related protein Rab-9B OS=Pongo abelii OX=9601 GN=RAB9B PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10223.t1	sp|Q27902|CP6B4_PAPGL	46.667	285	295	500	95	7.26e-87	271.0	Cytochrome P450 6B4 OS=Papilio glaucus OX=45779 GN=CYP6B4 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10224.t1	sp|Q27664|CP6B2_HELAM	41.176	187	272	504	99	5.0099999999999996e-42	153.0	Cytochrome P450 6B2 OS=Helicoverpa armigera OX=29058 GN=CYP6B2 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10225.t1	sp|Q27902|CP6B4_PAPGL	40.964	498	500	500	99	1.66e-136	406.0	Cytochrome P450 6B4 OS=Papilio glaucus OX=45779 GN=CYP6B4 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10226.t1	sp|P04146|COPIA_DROME	36.788	193	219	1409	80	4.1e-28	114.0	Copia protein OS=Drosophila melanogaster OX=7227 GN=GIP PE=1 SV=3	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10227.t1	sp|Q8TAM2-4|TTC8_HUMAN	41.613	310	337	515	91	4.53e-78	251.0	Isoform 4 of Tetratricopeptide repeat protein 8 OS=Homo sapiens OX=9606 GN=TTC8	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10228.t2	sp|Q7ZZ25|ATD1A_DANRE	55.914	372	373	380	99	8.14e-143	413.0	Outer mitochondrial transmembrane helix translocase OS=Danio rerio OX=7955 GN=atad1a PE=2 SV=2	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10233.t1	sp|P24540|ACYP1_PIG	46.465	99	101	101	98	2.4599999999999998e-30	106.0	Acylphosphatase-1 OS=Sus scrofa OX=9823 GN=ACYP1 PE=1 SV=2	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10234.t1	sp|H9JTG9|AK2E4_BOMMO	72.607	303	327	308	93	4.6900000000000006e-167	470.0	Aldo-keto reductase AKR2E4 OS=Bombyx mori OX=7091 GN=akr2e PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10235.t1	sp|Q9D3D0|TTPAL_MOUSE	30.0	170	210	343	80	1.2e-18	85.9	Alpha-tocopherol transfer protein-like OS=Mus musculus OX=10090 GN=Ttpal PE=1 SV=3	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10237.t1	sp|Q921I2|KLDC4_MOUSE	41.77	486	501	584	92	1.91e-113	350.0	Kelch domain-containing protein 4 OS=Mus musculus OX=10090 GN=Klhdc4 PE=2 SV=2	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10239.t1	sp|Q9R087|GPC6_MOUSE	39.597	298	554	555	75	7.31e-77	256.0	Glypican-6 OS=Mus musculus OX=10090 GN=Gpc6 PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10244.t1	sp|P12955|PEPD_HUMAN	56.688	471	476	493	97	0.0	537.0	Xaa-Pro dipeptidase OS=Homo sapiens OX=9606 GN=PEPD PE=1 SV=3	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10246.t1	sp|P12955-2|PEPD_HUMAN	50.365	137	150	452	87	1.63e-39	141.0	Isoform 2 of Xaa-Pro dipeptidase OS=Homo sapiens OX=9606 GN=PEPD	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10247.t1	sp|P10978|POLX_TOBAC	30.109	827	873	1328	90	2.83e-99	340.0	Retrovirus-related Pol polyprotein from transposon TNT 1-94 OS=Nicotiana tabacum OX=4097 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10254.t1	sp|Q05048|CSTF1_HUMAN	63.636	110	111	431	99	2.04e-47	160.0	Cleavage stimulation factor subunit 1 OS=Homo sapiens OX=9606 GN=CSTF1 PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10256.t1	sp|A2VDN6|SF3A1_BOVIN	49.487	780	727	793	99	0.0	617.0	Splicing factor 3A subunit 1 OS=Bos taurus OX=9913 GN=SF3A1 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10257.t1	sp|O75191|XYLB_HUMAN	43.726	526	486	536	98	1.16e-137	410.0	Xylulose kinase OS=Homo sapiens OX=9606 GN=XYLB PE=1 SV=3	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10260.t1	sp|H6AGY0|EO_BOMMO	39.87	617	643	668	95	2.27e-130	401.0	Ecdysone oxidase OS=Bombyx mori OX=7091 GN=EO PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10263.t1	sp|Q8IX06|GOR_HUMAN	37.082	329	405	675	79	1.9900000000000002e-59	207.0	Putative exonuclease GOR OS=Homo sapiens OX=9606 GN=REXO1L1P PE=5 SV=2	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10266.t1	sp|O18635|C12A2_MUSDO	36.04	505	509	537	94	3.31e-99	312.0	Cytochrome P450 CYP12A2 OS=Musca domestica OX=7370 GN=CYP12A2 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10267.t1	sp|Q86BS6|MET2_DROME	51.171	299	327	325	90	5.11e-107	318.0	tRNA N(3)-methylcytidine methyltransferase Mettl2 OS=Drosophila melanogaster OX=7227 GN=Mettl2 PE=1 SV=2	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10268.t1	sp|Q8VDL4-3|ADPGK_MOUSE	34.186	430	468	495	91	2.52e-65	221.0	Isoform 3 of ADP-dependent glucokinase OS=Mus musculus OX=10090 GN=Adpgk	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10270.t1	sp|Q964T2|CP9E2_BLAGE	38.961	231	264	533	83	6.63e-53	182.0	Cytochrome P450 9e2 OS=Blattella germanica OX=6973 GN=CYP9E2 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10272.t1	sp|Q1LXS2|PSMG2_DANRE	33.846	260	251	260	98	1.6599999999999998e-45	156.0	Proteasome assembly chaperone 2 OS=Danio rerio OX=7955 GN=psmg2 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10277.t1	sp|Q3UDW8-2|HGNAT_MOUSE	39.948	388	381	624	99	1.4699999999999998e-82	267.0	Isoform 2 of Heparan-alpha-glucosaminide N-acetyltransferase OS=Mus musculus OX=10090 GN=Hgsnat	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10278.t1	sp|P29747|CREBA_DROME	48.052	308	349	516	98	2.8e-56	194.0	Cyclic AMP response element-binding protein A OS=Drosophila melanogaster OX=7227 GN=CrebA PE=1 SV=2	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10283.t1	sp|Q01989-3|MYS9_DROME	66.667	318	436	1073	73	2.05e-144	442.0	Isoform I of Myosin heavy chain 95F OS=Drosophila melanogaster OX=7227 GN=jar	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10293.t1	sp|Q17DK5|CRY1_AEDAE	50.0	74	79	545	89	9.07e-19	82.0	Cryptochrome-1 OS=Aedes aegypti OX=7159 GN=cry PE=3 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10294.t1	sp|Q16H50|NUBP2_AEDAE	71.429	259	263	259	98	5.24e-139	394.0	Cytosolic Fe-S cluster assembly factor Nubp2 homolog OS=Aedes aegypti OX=7159 GN=Nubp2 PE=3 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10313.t1	sp|P28347|TEAD1_HUMAN	70.644	419	523	426	76	0.0	575.0	Transcriptional enhancer factor TEF-1 OS=Homo sapiens OX=9606 GN=TEAD1 PE=1 SV=2	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10314.t1	sp|Q2KHZ8|GBA1_BOVIN	41.884	499	524	536	94	2.65e-135	405.0	Lysosomal acid glucosylceramidase OS=Bos taurus OX=9913 GN=GBA1 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10315.t1	sp|Q2KHZ8|GBA1_BOVIN	40.237	507	544	536	91	5.21e-120	367.0	Lysosomal acid glucosylceramidase OS=Bos taurus OX=9913 GN=GBA1 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10316.t1	sp|Q96LU5|IMP1L_HUMAN	54.31	116	123	166	91	3.92e-41	137.0	Mitochondrial inner membrane protease subunit 1 OS=Homo sapiens OX=9606 GN=IMMP1L PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10317.t1	sp|P20107|ZRC1_YEAST	42.776	353	455	442	73	1.04e-87	278.0	Vacuolar zinc transporter ZRC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ZRC1 PE=1 SV=2	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10318.t1	sp|A0A1S4FD88|IR76B_AEDAE	42.802	521	542	610	92	6.49e-140	421.0	Ionotropic receptor coreceptor Ir76b OS=Aedes aegypti OX=7159 GN=Ir76b PE=3 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10319.t1	sp|Q3SWZ4|EXOS9_BOVIN	47.078	308	376	440	81	1.95e-91	284.0	Exosome complex component RRP45 OS=Bos taurus OX=9913 GN=EXOSC9 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10320.t1	sp|Q17Q39|SAP30_AEDAE	72.093	172	192	173	90	2.83e-91	267.0	Histone deacetylase complex subunit SAP30 homolog OS=Aedes aegypti OX=7159 GN=AAEL000149 PE=3 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10321.t1	sp|Q24537-3|HMG2_DROME	74.706	170	485	385	86	2.95e-95	296.0	Isoform A of High mobility group protein DSP1 OS=Drosophila melanogaster OX=7227 GN=Dsp1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10322.t1	sp|Q7K4B6|TMTC3_DROME	59.649	741	917	926	78	0.0	823.0	Protein O-mannosyl-transferase Tmtc3 OS=Drosophila melanogaster OX=7227 GN=Tmtc3 PE=2 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
g10331.t1	sp|Q7Z3F1|LYCHS_HUMAN	36.483	836	834	870	98	1.23e-153	474.0	Lysosomal cholesterol signaling protein OS=Homo sapiens OX=9606 GN=GPR155 PE=1 SV=2	Swiss-Prot	metisa_SwV_3.tsv	GOOD
g10332.t1	sp|Q9Y535|RPC8_HUMAN	57.789	199	227	204	85	3.5e-79	239.0	DNA-directed RNA polymerase III subunit RPC8 OS=Homo sapiens OX=9606 GN=POLR3H PE=1 SV=1	Swiss-Prot	metisa_SwV_3.tsv	STRONG
