qseqid	sseqid	pident	length	qlen	slen	qcovs	evalue	bitscore	stitle	source
g10001.t1	sp|Q7TQA3|RDHE2_MOUSE	41.463	287	330	309	86	5.03e-72	228.0	Epidermal retinol dehydrogenase 2 OS=Mus musculus OX=10090 GN=Sdr16c5 PE=2 SV=1	Swiss-Prot
g10001.t1	sp|Q05A13|S16C6_MOUSE	43.369	279	330	316	83	1.86e-69	222.0	Short-chain dehydrogenase/reductase family 16C member 6 OS=Mus musculus OX=10090 GN=Sdr16c6 PE=2 SV=1	Swiss-Prot
g10001.t1	sp|A5PJJ7|S16C6_BOVIN	41.343	283	330	316	85	4.91e-68	218.0	Short-chain dehydrogenase/reductase family 16C member 6 OS=Bos taurus OX=9913 GN=SDR16C6 PE=2 SV=1	Swiss-Prot
g10001.t1	sp|Q9EQ06|DHB11_MOUSE	38.596	285	330	298	86	9.48e-66	212.0	Estradiol 17-beta-dehydrogenase 11 OS=Mus musculus OX=10090 GN=Hsd17b11 PE=1 SV=1	Swiss-Prot
g10001.t1	sp|Q8NBQ5|DHB11_HUMAN	37.544	285	330	300	86	6.57e-65	210.0	Estradiol 17-beta-dehydrogenase 11 OS=Homo sapiens OX=9606 GN=HSD17B11 PE=1 SV=4	Swiss-Prot
g10001.t1	sp|Q5NVG2|DHB11_PONAB	38.889	270	330	300	82	8.070000000000001e-65	209.0	Estradiol 17-beta-dehydrogenase 11 OS=Pongo abelii OX=9601 GN=HSD17B11 PE=2 SV=1	Swiss-Prot
g10001.t1	sp|Q4JK73|DHB11_MACFA	37.193	285	330	300	86	1.08e-64	209.0	Estradiol 17-beta-dehydrogenase 11 OS=Macaca fascicularis OX=9541 GN=HSD17B11 PE=2 SV=1	Swiss-Prot
g10001.t1	sp|Q6AYS8|DHB11_RAT	37.895	285	330	298	86	1.39e-64	209.0	Estradiol 17-beta-dehydrogenase 11 OS=Rattus norvegicus OX=10116 GN=Hsd17b11 PE=2 SV=1	Swiss-Prot
g10001.t1	sp|Q7Z5P4|DHB13_HUMAN	40.152	264	330	300	80	1.71e-63	206.0	17-beta-hydroxysteroid dehydrogenase 13 OS=Homo sapiens OX=9606 GN=HSD17B13 PE=1 SV=1	Swiss-Prot
g10002.t1	sp|Q68EX9|CHID1_XENLA	41.337	404	394	393	100	3.19e-97	298.0	Chitinase domain-containing protein 1 OS=Xenopus laevis OX=8355 GN=chid1 PE=2 SV=1	Swiss-Prot
g10002.t1	sp|Q66IL0|CHID1_XENTR	41.769	407	394	394	100	7.41e-97	297.0	Chitinase domain-containing protein 1 OS=Xenopus tropicalis OX=8364 GN=chid1 PE=2 SV=1	Swiss-Prot
g10002.t1	sp|A0JPQ9|CHID1_RAT	40.547	402	394	393	99	1.78e-93	288.0	Chitinase domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Chid1 PE=2 SV=2	Swiss-Prot
g10002.t1	sp|Q922Q9|CHID1_MOUSE	40.05	402	394	393	99	3.8799999999999996e-92	285.0	Chitinase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Chid1 PE=1 SV=1	Swiss-Prot
g10002.t1	sp|Q5RFF6|CHID1_PONAB	40.247	405	394	393	100	2.09e-91	283.0	Chitinase domain-containing protein 1 OS=Pongo abelii OX=9601 GN=CHID1 PE=2 SV=1	Swiss-Prot
g10002.t1	sp|Q9BWS9|CHID1_HUMAN	39.753	405	394	393	100	3.55e-90	280.0	Chitinase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CHID1 PE=1 SV=1	Swiss-Prot
g10002.t1	sp|Q9BWS9-2|CHID1_HUMAN	40.997	361	394	418	89	6.72e-87	273.0	Isoform 2 of Chitinase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CHID1	Swiss-Prot
g10002.t1	sp|Q5EAB4|CHID1_BOVIN	37.871	404	394	393	100	1.92e-86	270.0	Chitinase domain-containing protein 1 OS=Bos taurus OX=9913 GN=CHID1 PE=2 SV=1	Swiss-Prot
g10002.t1	sp|Q7SYK0|CHID1_DANRE	38.903	383	394	391	95	1.4400000000000002e-85	268.0	Chitinase domain-containing protein 1 OS=Danio rerio OX=7955 GN=chid1 PE=2 SV=1	Swiss-Prot
g10002.t1	sp|Q9BWS9-3|CHID1_HUMAN	38.847	399	394	362	100	2.75e-85	266.0	Isoform 3 of Chitinase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CHID1	Swiss-Prot
g10003.t1	sp|H9J9M0|CDA1_BOMMO	43.595	484	525	539	90	2.52e-122	372.0	Chitin deacetylase 1 OS=Bombyx mori OX=7091 GN=CDA1 PE=1 SV=1	Swiss-Prot
g10003.t1	sp|H9JW44|CDA7_BOMMO	34.324	370	525	364	70	1.8199999999999998e-60	206.0	Chitin deacetylase 7 OS=Bombyx mori OX=7091 GN=CDA7 PE=1 SV=1	Swiss-Prot
g10003.t1	sp|H9JW43|CDA8_BOMMO	33.333	381	525	381	71	6.070000000000002e-57	197.0	Chitin deacetylase 8 OS=Bombyx mori OX=7091 GN=CDA8 PE=1 SV=2	Swiss-Prot
g10003.t1	sp|Q05793|PGBM_MOUSE	35.938	64	525	3707	19	0.000472	47.4	Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus OX=10090 GN=Hspg2 PE=1 SV=1	Swiss-Prot
g10003.t1	sp|P98160|PGBM_HUMAN	46.512	43	525	4391	8	0.000522	47.0	Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4	Swiss-Prot
g10003.t1	sp|Q04833|LRP_CAEEL	32.468	77	525	4753	27	0.002	45.1	Low-density lipoprotein receptor-related protein OS=Caenorhabditis elegans OX=6239 GN=lrp-1 PE=1 SV=1	Swiss-Prot
g10003.t1	sp|Q98930|SORL_CHICK	31.683	101	525	1592	18	0.002	45.1	Sortilin-related receptor (Fragment) OS=Gallus gallus OX=9031 GN=SORL1 PE=2 SV=1	Swiss-Prot
g10003.t1	sp|E9Q6D8-2|CO6_MOUSE	32.941	85	525	769	16	0.005	43.5	Isoform 2 of Complement component C6 OS=Mus musculus OX=10090 GN=C6	Swiss-Prot
g10003.t1	sp|P98167|SSPO_BOVIN	31.884	69	525	5146	15	0.006	43.5	SCO-spondin OS=Bos taurus OX=9913 GN=SSPO PE=2 SV=2	Swiss-Prot
g10003.t1	sp|Q95209|SORL_RABIT	33.01	103	525	2213	18	0.007	43.1	Sortilin-related receptor OS=Oryctolagus cuniculus OX=9986 GN=SORL1 PE=1 SV=1	Swiss-Prot
g10004.t1	sp|Q9UK45|LSM7_HUMAN	81.443	97	117	103	83	1.48e-54	168.0	U6 snRNA-associated Sm-like protein LSm7 OS=Homo sapiens OX=9606 GN=LSM7 PE=1 SV=1	Swiss-Prot
g10004.t1	sp|Q9CQQ8|LSM7_MOUSE	80.412	97	117	103	83	2.4499999999999998e-54	168.0	U6 snRNA-associated Sm-like protein LSm7 OS=Mus musculus OX=10090 GN=Lsm7 PE=1 SV=1	Swiss-Prot
g10004.t1	sp|A4FVI7|LSM7_DANRE	78.351	97	117	103	83	5.28e-53	164.0	U6 snRNA-associated Sm-like protein LSm7 OS=Danio rerio OX=7955 GN=lsm7 PE=2 SV=1	Swiss-Prot
g10004.t1	sp|Q9SI54|LSM7_ARATH	58.947	95	117	99	81	5.55e-38	126.0	Sm-like protein LSM7 OS=Arabidopsis thaliana OX=3702 GN=LSM7 PE=1 SV=1	Swiss-Prot
g10004.t1	sp|Q54HF6|LSM7_DICDI	61.111	90	117	97	77	1.18e-34	118.0	Probable U6 snRNA-associated Sm-like protein LSm7 OS=Dictyostelium discoideum OX=44689 GN=lsm7 PE=3 SV=1	Swiss-Prot
g10004.t1	sp|O74499|LSM7_SCHPO	56.364	110	117	113	94	3.5e-33	115.0	LSM complex subunit lsm7 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=lsm7 PE=1 SV=1	Swiss-Prot
g10004.t1	sp|P53905|LSM7_YEAST	44.944	89	117	115	74	3.62e-20	82.0	LSM complex subunit LSM7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LSM7 PE=1 SV=2	Swiss-Prot
g10004.t1	sp|Q9VXE0|RUXG_DROME	37.333	75	117	76	64	3.57e-12	60.5	Probable small nuclear ribonucleoprotein G OS=Drosophila melanogaster OX=7227 GN=SNRPG PE=1 SV=1	Swiss-Prot
g10004.t1	sp|Q54RX0|RUXG_DICDI	34.568	81	117	85	69	8.63e-12	59.7	Probable small nuclear ribonucleoprotein G OS=Dictyostelium discoideum OX=44689 GN=snrpG PE=3 SV=1	Swiss-Prot
g10004.t1	sp|Q9N4G9|RUXG_CAEEL	36.986	73	117	77	62	1.98e-11	58.5	Probable small nuclear ribonucleoprotein G OS=Caenorhabditis elegans OX=6239 GN=snr-7 PE=1 SV=1	Swiss-Prot
g10005.t1	sp|Q9VIL0|BRUN_DROME	45.874	1345	1887	1320	69	0.0	1117.0	Protein brunelleschi OS=Drosophila melanogaster OX=7227 GN=brun PE=1 SV=2	Swiss-Prot
g10005.t1	sp|Q0R4F1|PIF1_XENLA	50.669	523	1887	635	27	4.35e-159	505.0	ATP-dependent DNA helicase PIF1 OS=Xenopus laevis OX=8355 GN=pif1 PE=2 SV=1	Swiss-Prot
g10005.t1	sp|Q7ZV90|PIF1_DANRE	51.44	521	1887	639	26	7.82e-158	502.0	ATP-dependent DNA helicase PIF1 OS=Danio rerio OX=7955 GN=pif1 PE=2 SV=1	Swiss-Prot
g10005.t1	sp|Q9H611|PIF1_HUMAN	51.23	488	1887	641	25	1.7400000000000002e-148	477.0	ATP-dependent DNA helicase PIF1 OS=Homo sapiens OX=9606 GN=PIF1 PE=1 SV=2	Swiss-Prot
g10005.t1	sp|Q9H611-3|PIF1_HUMAN	51.23	488	1887	707	25	5.37e-147	475.0	Isoform 3 of ATP-dependent DNA helicase PIF1 OS=Homo sapiens OX=9606 GN=PIF1	Swiss-Prot
g10005.t1	sp|Q9H611-4|PIF1_HUMAN	51.029	486	1887	588	25	1.56e-144	464.0	Isoform 4 of ATP-dependent DNA helicase PIF1 OS=Homo sapiens OX=9606 GN=PIF1	Swiss-Prot
g10005.t1	sp|Q1HG60|PIF1_RAT	50.92	489	1887	637	25	3.67e-143	462.0	ATP-dependent DNA helicase PIF1 OS=Rattus norvegicus OX=10116 GN=Pif1 PE=2 SV=1	Swiss-Prot
g10005.t1	sp|Q80SX8|PIF1_MOUSE	50.307	489	1887	650	25	1.52e-141	458.0	ATP-dependent DNA helicase PIF1 OS=Mus musculus OX=10090 GN=Pif1 PE=1 SV=2	Swiss-Prot
g10005.t1	sp|Q80SX8-3|PIF1_MOUSE	50.511	489	1887	584	25	5.27e-139	448.0	Isoform 3 of ATP-dependent DNA helicase PIF1 OS=Mus musculus OX=10090 GN=Pif1	Swiss-Prot
g10005.t1	sp|Q3U0M1-3|TPPC9_MOUSE	33.099	855	1887	960	49	4.61e-131	439.0	Isoform 3 of Trafficking protein particle complex subunit 9 OS=Mus musculus OX=10090 GN=Trappc9	Swiss-Prot
g10006.t1	tr|A0A4C1VPC3|A0A4C1VPC3_EUMVA	84.496	129	224	129	58	3.47e-72	224.0	Uncharacterized protein OS=Eumeta variegata OX=151549 GN=EVAR_19136_1 PE=4 SV=1	TrEMBL
g10006.t1	tr|A0A8S4E8N5|A0A8S4E8N5_PLUXY	47.788	226	224	223	100	8.93e-69	219.0	(diamondback moth) hypothetical protein OS=Plutella xylostella OX=51655 GN=PLXY2_LOCUS4804 PE=4 SV=1	TrEMBL
g10006.t1	tr|A0ABQ7R4G3|A0ABQ7R4G3_PLUXY	47.788	226	224	223	100	8.93e-69	219.0	THAP-type domain-containing protein OS=Plutella xylostella OX=51655 GN=JYU34_001626 PE=4 SV=1	TrEMBL
g10006.t1	tr|A0A8J2QK67|A0A8J2QK67_9NEOP	47.297	222	224	222	99	3.65e-64	207.0	(African queen) hypothetical protein OS=Danaus chrysippus OX=151541 GN=DCHRY22_LOCUS5618 PE=4 SV=1	TrEMBL
g10006.t1	tr|A0ACC0KTB6|A0ACC0KTB6_CHOFU	45.455	231	224	228	99	1.33e-63	206.0	THAP-type domain-containing protein OS=Choristoneura fumiferana OX=7141 GN=MSG28_013274 PE=3 SV=1	TrEMBL
g10006.t1	tr|A0ACC0KSM1|A0ACC0KSM1_CHOFU	45.455	231	224	228	99	1.33e-63	206.0	THAP-type domain-containing protein OS=Choristoneura fumiferana OX=7141 GN=MSG28_013272 PE=3 SV=1	TrEMBL
g10006.t1	tr|A0A6J1WUZ7|A0A6J1WUZ7_GALME	48.0	225	224	225	99	2.4e-63	205.0	THAP domain-containing protein 1-like OS=Galleria mellonella OX=7137 GN=LOC113516093 PE=4 SV=2	TrEMBL
g10006.t1	tr|A0AAV1KWH9|A0AAV1KWH9_9NEOP	45.133	226	224	223	99	5.56e-63	204.0	THAP-type domain-containing protein OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS7916 PE=3 SV=1	TrEMBL
g10006.t1	tr|A0A8S3WFJ0|A0A8S3WFJ0_PARAO	43.805	226	224	273	99	1.26e-62	205.0	(apollo) hypothetical protein OS=Parnassius apollo OX=110799 GN=PAPOLLO_LOCUS5569 PE=3 SV=1	TrEMBL
g10006.t1	tr|A0A8B8IJ40|A0A8B8IJ40_VANTA	46.256	227	224	224	99	2.29e-62	203.0	Uncharacterized protein LOC113400614 OS=Vanessa tameamea OX=334116 GN=LOC113400614 PE=4 SV=2	TrEMBL
g10007.t1	tr|A0A239Q2U9|A0A239Q2U9_9RHOB	38.71	62	102	309	59	0.67	38.9	Cell division coordinator CpoB OS=Paracoccus seriniphilus OX=184748 GN=cpoB PE=3 SV=1	TrEMBL
g10007.t1	tr|A0AAW2D9M2|A0AAW2D9M2_9ROSI	33.333	63	102	1847	62	1.0	38.5	Reverse transcriptase domain-containing protein OS=Lithocarpus litseifolius OX=425828 GN=SO802_008461 PE=4 SV=1	TrEMBL
g10007.t1	sp|P58483|Y2857_YERPE	29.091	55	102	154	54	2.5	30.0	Uncharacterized protein YPO2857/y1376/YP_2723 OS=Yersinia pestis OX=632 GN=YPO2857 PE=3 SV=1	Swiss-Prot
g10007.t1	tr|A0A6L6HUC8|A0A6L6HUC8_9RHOB	32.836	67	102	300	64	8.9	35.8	Cell division coordinator CpoB OS=Paracoccus lichenicola OX=2665644 GN=cpoB PE=3 SV=1	TrEMBL
g10008.t1	sp|P35464|DIHR_MANSE	81.266	395	447	395	88	0.0	629.0	Diuretic hormone receptor OS=Manduca sexta OX=7130 PE=2 SV=1	Swiss-Prot
g10008.t1	sp|Q16983|DIHR_ACHDO	52.48	383	447	441	84	3.46e-137	404.0	Diuretic hormone receptor OS=Acheta domesticus OX=6997 PE=2 SV=1	Swiss-Prot
g10008.t1	sp|O62772|CRHR1_SHEEP	35.825	388	447	415	85	7.499999999999999e-69	228.0	Corticotropin-releasing hormone receptor 1 OS=Ovis aries OX=9940 GN=CRHR1 PE=2 SV=1	Swiss-Prot
g10008.t1	sp|P35347|CRHR1_MOUSE	35.052	388	447	415	85	1.15e-68	227.0	Corticotropin-releasing hormone receptor 1 OS=Mus musculus OX=10090 GN=Crhr1 PE=1 SV=1	Swiss-Prot
g10008.t1	sp|Q76LL8|CRHR1_MACMU	35.052	388	447	415	85	1.15e-68	227.0	Corticotropin-releasing hormone receptor 1 OS=Macaca mulatta OX=9544 GN=CRHR1 PE=2 SV=1	Swiss-Prot
g10008.t1	sp|P34998|CRHR1_HUMAN	35.052	388	447	415	85	1.1799999999999996e-68	227.0	Corticotropin-releasing hormone receptor 1 OS=Homo sapiens OX=9606 GN=CRHR1 PE=1 SV=2	Swiss-Prot
g10008.t1	sp|P47866|CRHR2_RAT	35.833	360	447	411	79	4.07e-68	226.0	Corticotropin-releasing hormone receptor 2 OS=Rattus norvegicus OX=10116 GN=Crhr2 PE=1 SV=2	Swiss-Prot
g10008.t1	sp|P47866-2|CRHR2_RAT	35.833	360	447	431	79	5.2899999999999986e-68	226.0	Isoform CRF2-beta of Corticotropin-releasing hormone receptor 2 OS=Rattus norvegicus OX=10116 GN=Crhr2	Swiss-Prot
g10008.t1	sp|Q60748|CRHR2_MOUSE	35.556	360	447	411	79	5.5399999999999984e-68	225.0	Corticotropin-releasing hormone receptor 2 OS=Mus musculus OX=10090 GN=Crhr2 PE=1 SV=2	Swiss-Prot
g10008.t1	sp|Q60748-2|CRHR2_MOUSE	35.092	379	447	431	82	6.209999999999999e-68	226.0	Isoform 2 of Corticotropin-releasing hormone receptor 2 OS=Mus musculus OX=10090 GN=Crhr2	Swiss-Prot
g10009.t1	tr|A0A4C1TF30|A0A4C1TF30_EUMVA	73.333	45	76	528	59	1.93e-12	70.5	Uncharacterized protein OS=Eumeta variegata OX=151549 GN=EVAR_93081_1 PE=4 SV=1	TrEMBL
g10009.t1	tr|A0ABD1HRF7|A0ABD1HRF7_SALDI	31.579	76	76	568	96	0.26	38.9	MLO-like protein OS=Salvia divinorum OX=28513 GN=MLO6 PE=3 SV=1	TrEMBL
g10009.t1	tr|A0A4D6N643|A0A4D6N643_VIGUN	32.143	56	76	565	74	0.44	38.5	MLO-like protein OS=Vigna unguiculata OX=3917 GN=MLO PE=3 SV=1	TrEMBL
g10009.t1	tr|I1LD23|I1LD23_SOYBN	32.143	56	76	536	74	0.51	38.1	MLO-like protein OS=Glycine max OX=3847 GN=MLO PE=3 SV=1	TrEMBL
g10009.t1	tr|A0A445IQK1|A0A445IQK1_GLYSO	32.143	56	76	563	74	0.89	37.7	MLO-like protein OS=Glycine soja OX=3848 GN=MLO PE=3 SV=1	TrEMBL
g10009.t1	tr|I1NHE8|I1NHE8_SOYBN	34.694	49	76	559	63	1.2	37.4	MLO-like protein OS=Glycine max OX=3847 GN=LOC100816112 PE=3 SV=1	TrEMBL
g10009.t1	tr|A0A810QDU0|A0A810QDU0_9FIRM	28.358	67	76	700	83	1.3	37.0	Chemotaxis protein CheA OS=Pusillibacter faecalis OX=2714358 GN=cheA PE=4 SV=1	TrEMBL
g10009.t1	tr|A0A445F6R5|A0A445F6R5_GLYSO	34.694	49	76	563	63	1.3	37.0	MLO-like protein OS=Glycine soja OX=3848 GN=MLO PE=3 SV=1	TrEMBL
g10009.t1	tr|A0AAN9R3U5|A0AAN9R3U5_PHACN	32.143	56	76	554	74	1.6	37.0	MLO-like protein OS=Phaseolus coccineus OX=3886 GN=MLO PE=3 SV=1	TrEMBL
g10009.t1	tr|A0AAN9P264|A0AAN9P264_PSOTE	33.333	45	76	552	59	3.3	35.8	MLO-like protein OS=Psophocarpus tetragonolobus OX=3891 GN=MLO PE=3 SV=1	TrEMBL
g10010.t1	sp|Q04205|TENS1_CHICK	33.333	45	89	1744	51	4.5	29.3	Tensin-1 OS=Gallus gallus OX=9031 GN=TNS1 PE=1 SV=3	Swiss-Prot
g10010.t1	sp|Q9HBL0|TENS1_HUMAN	34.884	43	89	1839	48	4.6	29.3	Tensin-1 OS=Homo sapiens OX=9606 GN=TNS1 PE=1 SV=3	Swiss-Prot
g10010.t1	sp|Q9HBL0-1|TENS1_HUMAN	34.884	43	89	1735	48	4.6	29.3	Isoform 2 of Tensin-1 OS=Homo sapiens OX=9606 GN=TNS1	Swiss-Prot
g10010.t1	sp|Q9GLM4-2|TENS1_BOVIN	34.884	43	89	1716	48	4.8	29.3	Isoform 2 of Tensin-1 OS=Bos taurus OX=9913 GN=TNS1	Swiss-Prot
g10010.t1	tr|A0A671U6J9|A0A671U6J9_SPAAU	34.545	55	89	1976	62	5.1	36.2	Nucleoporin 205 OS=Sparus aurata OX=8175 GN=nup205 PE=3 SV=1	TrEMBL
g10010.t1	sp|Q9GLM4|TENS1_BOVIN	34.884	43	89	1883	48	5.1	29.3	Tensin-1 OS=Bos taurus OX=9913 GN=TNS1 PE=2 SV=2	Swiss-Prot
g10010.t1	sp|Q68CZ2-2|TENS3_HUMAN	32.558	43	89	1205	48	5.2	29.3	Isoform 2 of Tensin-3 OS=Homo sapiens OX=9606 GN=TNS3	Swiss-Prot
g10010.t1	tr|A0A671U854|A0A671U854_SPAAU	34.545	55	89	1914	62	5.3	36.2	Nucleoporin 205 OS=Sparus aurata OX=8175 GN=nup205 PE=3 SV=1	TrEMBL
g10010.t1	tr|A0A671U6I7|A0A671U6I7_SPAAU	34.545	55	89	1965	62	5.4	35.8	Nucleoporin 205 OS=Sparus aurata OX=8175 GN=nup205 PE=3 SV=1	TrEMBL
g10010.t1	tr|A0A671UBH3|A0A671UBH3_SPAAU	34.545	55	89	1964	62	5.4	35.8	Nucleoporin 205 OS=Sparus aurata OX=8175 GN=nup205 PE=3 SV=1	TrEMBL
g10011.t1	sp|Q9W266|WDP_DROME	34.599	237	711	677	61	3.9e-34	142.0	Protein windpipe OS=Drosophila melanogaster OX=7227 GN=wdp PE=1 SV=1	Swiss-Prot
g10011.t1	sp|Q24020|FLII_DROME	41.905	105	711	1256	17	2.79e-09	64.7	Protein flightless-1 OS=Drosophila melanogaster OX=7227 GN=fliI PE=2 SV=1	Swiss-Prot
g10011.t1	sp|Q810C0|SLIK2_MOUSE	24.627	268	711	846	30	3.33e-08	60.8	SLIT and NTRK-like protein 2 OS=Mus musculus OX=10090 GN=Slitrk2 PE=1 SV=1	Swiss-Prot
g10011.t1	sp|P58682|TLR8_MOUSE	34.783	161	711	1032	22	3.95e-08	60.8	Toll-like receptor 8 OS=Mus musculus OX=10090 GN=Tlr8 PE=1 SV=2	Swiss-Prot
g10011.t1	sp|Q9H156|SLIK2_HUMAN	24.627	268	711	845	30	4.45e-08	60.5	SLIT and NTRK-like protein 2 OS=Homo sapiens OX=9606 GN=SLITRK2 PE=1 SV=1	Swiss-Prot
g10011.t1	sp|P49606|CYAA_MYCMD	30.342	234	711	2493	31	4.94e-08	60.8	Adenylate cyclase OS=Mycosarcoma maydis OX=5270 GN=UAC1 PE=3 SV=1	Swiss-Prot
g10011.t1	sp|Q9H156-2|SLIK2_HUMAN	24.627	268	711	733	30	1.09e-07	59.3	Isoform 2 of SLIT and NTRK-like protein 2 OS=Homo sapiens OX=9606 GN=SLITRK2	Swiss-Prot
g10011.t1	sp|O88520|SHOC2_MOUSE	33.962	159	711	582	22	1.54e-07	58.5	Leucine-rich repeat protein SHOC-2 OS=Mus musculus OX=10090 GN=Shoc2 PE=1 SV=2	Swiss-Prot
g10011.t1	sp|Q9UQ13-2|SHOC2_HUMAN	33.962	159	711	536	22	1.55e-07	58.5	Isoform 2 of Leucine-rich repeat protein SHOC-2 OS=Homo sapiens OX=9606 GN=SHOC2	Swiss-Prot
g10011.t1	sp|Q6AYI5|SHOC2_RAT	33.962	159	711	582	22	1.95e-07	58.2	Leucine-rich repeat protein SHOC-2 OS=Rattus norvegicus OX=10116 GN=Shoc2 PE=2 SV=1	Swiss-Prot
g10012.t1	tr|A0A4C1TF09|A0A4C1TF09_EUMVA	88.727	754	754	754	100	0.0	1345.0	Insulin-like growth factor-binding protein complex acid labile subunit OS=Eumeta variegata OX=151549 GN=Igfals PE=4 SV=1	TrEMBL
g10012.t1	tr|A0A9P0N4H5|A0A9P0N4H5_SPOLI	56.51	768	754	753	99	0.0	857.0	LRRNT domain-containing protein OS=Spodoptera littoralis OX=7109 GN=SPLIT_LOCUS4920 PE=4 SV=1	TrEMBL
g10012.t1	tr|A0A9J7E3U7|A0A9J7E3U7_SPOLT	58.457	739	754	1259	96	0.0	856.0	Uncharacterized protein LOC111352888 OS=Spodoptera litura OX=69820 GN=LOC111352888 PE=4 SV=1	TrEMBL
g10012.t1	tr|A0A835GRU7|A0A835GRU7_SPOEX	58.051	739	754	1299	96	0.0	850.0	LRRNT domain-containing protein OS=Spodoptera exigua OX=7107 GN=HW555_001349 PE=4 SV=1	TrEMBL
g10012.t1	tr|A0A0L7LFH5|A0A0L7LFH5_OPEBR	57.745	736	754	1234	96	0.0	838.0	Leucine-rich transmembrane protein OS=Operophtera brumata OX=104452 GN=OBRU01_09470 PE=4 SV=1	TrEMBL
g10012.t1	tr|A0A6J2JSQ2|A0A6J2JSQ2_BOMMA	57.75	729	754	753	96	0.0	837.0	Insulin-like growth factor-binding protein complex acid labile subunit OS=Bombyx mandarina OX=7092 GN=LOC114244862 PE=4 SV=1	TrEMBL
g10012.t1	tr|A0A7E5VUR4|A0A7E5VUR4_TRINI	57.859	738	754	755	96	0.0	834.0	Insulin-like growth factor-binding protein complex acid labile subunit OS=Trichoplusia ni OX=7111 GN=LOC113496893 PE=4 SV=1	TrEMBL
g10012.t1	tr|A0A821NJN3|A0A821NJN3_9NEOP	57.851	726	754	743	96	0.0	834.0	LRRNT domain-containing protein OS=Pieris macdunnoughi OX=345717 GN=PMACD_LOCUS2810 PE=4 SV=1	TrEMBL
g10012.t1	tr|A0A8R2QV95|A0A8R2QV95_BOMMO	57.75	729	754	1252	96	0.0	834.0	Chaoptin OS=Bombyx mori OX=7091 PE=4 SV=1	TrEMBL
g10012.t1	tr|A0AAV1J598|A0AAV1J598_9NEOP	58.127	726	754	744	96	0.0	832.0	Uncharacterized protein OS=Leptosia nina OX=320188 GN=LNINA_LOCUS4281 PE=4 SV=1	TrEMBL
