gene_id	protein_id	top_hit_sseqid	top_hit_accession	top_hit_identity_pct	top_hit_query_coverage_pct	top_hit_evalue	top_hit_bitscore	top_hit_description	interpro_evidence	phylo_success	phylo_sequence_count	alignment_length	trimmed_alignment_length	iqtree_model	ufboot_mean_pct	ufboot_min_pct	ufboot_max_pct	ufboot_nodes	sh_alrt_mean_pct	sh_alrt_min_pct	sh_alrt_max_pct	sh_alrt_nodes	phylo_error
g1470.t1	g1470.t1	tr|A0A4C1ZKB9|A0A4C1ZKB9_EUMVA	A0A4C1ZKB9	62.115	97	0.0	1295.0	Probable chitinase 10 OS=Eumeta variegata OX=151549 GN=Cht10 PE=4 SV=1	PS50940: Chitin-binding type-2 domain profile.; InterPro=IPR002557; PTHR23301: CHITIN BINDING PERITROPHIN-A; InterPro=IPR051940; SSF57625: Invertebrate chitin-binding proteins; InterPro=IPR036508; G3DSA:2.170.140.10: Chitin binding domain; mobidb-lite: consensus disorder prediction; PF01607: Chitin binding Peritrophin-A domain; SM00494: chi_10	True	11	3380	681	WAG+F+G4	89.57142857142857	44.0	100.0	7	83.25714285714285	0.0	100.0	7	
g6035.t1	g6035.t1	tr|A0A4C1TW98|A0A4C1TW98_EUMVA	A0A4C1TW98	87.963	92	0.0	1164.0	Angiotensin-converting enzyme OS=Eumeta variegata OX=151549 GN=Ance PE=3 SV=1	"SSF55486: Metalloproteases (""zincins""), catalytic domain; PS52011: Peptidase family M2 domain profile.; InterPro=IPR001548; PF01401: Angiotensin-converting enzyme; cd06461: M2_ACE; PTHR10514: ANGIOTENSIN-CONVERTING ENZYME; PR00791: Peptidyl-dipeptidase A (M2) metalloprotease family signature; G3DSA:1.10.1370.30:FF:000004: Angiotensin-converting enzyme"	True	11	757	662	LG+G4	87.625	45.0	100.0	8	83.475	1.5	100.0	8	
g3431.t1	g3431.t1	tr|A0A4C1Y2D1|A0A4C1Y2D1_EUMVA	A0A4C1Y2D1	77.507	99	0.0	1154.0	Xaa-Pro aminopeptidase 1 OS=Eumeta variegata OX=151549 GN=XPNPEP1 PE=3 SV=1	PF16188: C-terminal region of peptidase_M24; InterPro=IPR032416; PTHR43763: XAA-PRO AMINOPEPTIDASE 1; InterPro=IPR050422; SSF55920: Creatinase/aminopeptidase; InterPro=IPR036005; G3DSA:3.40.350.10: -; InterPro=IPR029149; PF00557: Metallopeptidase family M24; InterPro=IPR000994; cd01085: APP; InterPro=IPR033740; SSF53092: Creatinase/prolidase N-terminal domain; G3DSA:3.90.230.10: Creatinase/methionine aminopeptidase superfamily; PF01321: Creatinase/Prolidase N-terminal domain; InterPro=IPR000587; PF16189: Creatinase/Prolidase N-terminal domain; G3DSA:3.90.230.10:FF:000007: Xaa-Pro aminopeptidase P	True	11	1073	690	Q.PFAM+G4	86.625	51.0	100.0	8	82.6125	14.8	100.0	8	
g9091.t1	g9091.t1	sp|O01639|E75_CHOFU	O01639	85.399	100	0.0	1149.0	Ecdysone-inducible protein E75 OS=Choristoneura fumiferana OX=7141 GN=E75 PE=2 SV=1	G3DSA:3.30.50.10: -; InterPro=IPR013088; mobidb-lite: consensus disorder prediction; PF00104: Ligand-binding domain of nuclear hormone receptor; InterPro=IPR000536; PR00546: Thyroid hormone receptor (1D nuclear receptor) signature; InterPro=IPR001728; cd07166: NR_DBD_REV_ERB; PS51843: Nuclear receptor (NR) ligand-binding (LBD) domain profile.; PR00047: C4-type steroid receptor zinc finger signature; InterPro=IPR001628; G3DSA:3.30.50.10:FF:000013: Nuclear receptor subfamily 1 group D member 2; PS00031: Nuclear hormones receptors DNA-binding region signature.; SSF48508: Nuclear receptor ligand-binding domain; InterPro=IPR035500; G3DSA:1.10.565.10:FF:000029: Ecdysone-induced protein 75B, isoform B; PF00105: Double treble clef zinc finger, C4 type; SM00399: c4gold; PTHR24082: NUCLEAR HORMONE RECEPTOR; InterPro=IPR050234; SM00430: holi; SSF57716: Glucocorticoid receptor-like (DNA-binding domain); G3DSA:1.10.565.10: Retinoid X Receptor; PR00398: Steroid hormone receptor signature; InterPro=IPR001723; PS51030: Nuclear hormone receptors DNA-binding domain profile.	True	11	1511	677	JTT+I+R2	83.375	48.0	100.0	8	77.475	12.7	100.0	8	
g18787.t1	g18787.t1	tr|A0A4C1SRI5|A0A4C1SRI5_EUMVA	A0A4C1SRI5	95.602	94	0.0	1051.0	tr|A0A4C1SRI5|A0A4C1SRI5_EUMVA Chitinase A OS=Eumeta variegata OX=151549 GN=chiA PE=3 SV=1	PS01095: Glycosyl hydrolases family 18 (GH18) active site signature.; InterPro=IPR001579; cd02848: E_set_Chitinase_N; G3DSA:3.10.50.10: -; InterPro=IPR029070; cd06548: GH18_chitinase; PTHR11177: CHITINASE; InterPro=IPR050314; PF00704: Glycosyl hydrolases family 18; InterPro=IPR001223; SSF81296: E set domains; InterPro=IPR014756; G3DSA:3.20.20.80: Glycosidases; SM00636: 2g34; InterPro=IPR011583; SSF51445: (Trans)glycosidases; InterPro=IPR017853; PS51910: Glycosyl hydrolases family 18 (GH18) domain profile.; SSF54556: Chitinase insertion domain; G3DSA:2.60.40.10: Immunoglobulins; InterPro=IPR013783; PF08329: Chitinase A, N-terminal domain; InterPro=IPR013540	True	11	680	554	WAG+G4	90.75	61.0	100.0	8	85.7375	26.6	100.0	8	
g1101.t2	g1101.t2	tr|A0A4C1X6I1|A0A4C1X6I1_EUMVA	A0A4C1X6I1	91.771	99	0.0	1044.0	Pyruvate kinase (Fragment) OS=Eumeta variegata OX=151549 GN=PyK PE=3 SV=1	PF02887: Pyruvate kinase, alpha/beta domain; InterPro=IPR015795; SSF52935: PK C-terminal domain-like; InterPro=IPR036918; SSF50800: PK beta-barrel domain-like; InterPro=IPR011037; cd00288: Pyruvate_Kinase; InterPro=IPR001697; PR01050: Pyruvate kinase family signature; G3DSA:2.40.33.10:FF:000023: Pyruvate kinase PKM; PTHR11817: PYRUVATE KINASE; G3DSA:2.40.33.10: -; InterPro=IPR015806; G3DSA:3.40.1380.20:FF:000001: Pyruvate kinase; TIGR01064: pyruvate kinase; NF004491: pyruvate kinase; G3DSA:3.20.20.60: -; InterPro=IPR040442; SSF51621: Phosphoenolpyruvate/pyruvate domain; InterPro=IPR015813; PS00110: Pyruvate kinase active site signature.; InterPro=IPR018209; NF004978: pyruvate kinase; PF00224: Pyruvate kinase, barrel domain; InterPro=IPR015793; G3DSA:3.20.20.60:FF:000025: Pyruvate kinase; G3DSA:3.40.1380.20: -	True	11	694	590	JTTDCMUT+G4	72.125	26.0	100.0	8	77.5	13.1	100.0	8	
g15833.t1	g15833.t1	tr|A0A4C1X464|A0A4C1X464_EUMVA	A0A4C1X464	83.967	100	0.0	1037.0	tr|A0A4C1X464|A0A4C1X464_EUMVA Toll-like receptor 6 OS=Eumeta variegata OX=151549 GN=TLR6 PE=3 SV=1	SM00255: till_3; InterPro=IPR000157; SM00369: LRR_typ_2; InterPro=IPR003591; G3DSA:3.80.10.10: Ribonuclease Inhibitor; InterPro=IPR032675; PF13855: Leucine rich repeat; InterPro=IPR001611; PR01537: Interleukin-1 receptor type I family signature; PS50104: TIR domain profile.; G3DSA:3.40.50.10140:FF:000001: Toll-like receptor 2; PTHR24365: TOLL-LIKE RECEPTOR; PF01582: TIR domain; SSF52200: Toll/Interleukin receptor TIR domain; InterPro=IPR035897; G3DSA:3.40.50.10140: -; SSF52058: L domain-like	True	11	790	727	Q.INSECT+I+G4	89.625	50.0	100.0	8	85.35	10.8	100.0	8	
g2734.t1	g2734.t1	tr|A0A4C1TFN7|A0A4C1TFN7_EUMVA	A0A4C1TFN7	97.65	100	0.0	964.0	Mitochondrial-processing peptidase subunit beta OS=Eumeta variegata OX=151549 GN=PMPCB PE=3 SV=1	SSF63411: LuxS/MPP-like metallohydrolase; InterPro=IPR011249; G3DSA:3.30.830.10: -; PF00675: Insulinase (Peptidase family M16); InterPro=IPR011765; PS00143: Insulinase family, zinc-binding region signature.; InterPro=IPR001431; G3DSA:3.30.830.10:FF:000001: Mitochondrial-processing peptidase subunit beta, mitochondrial; G3DSA:3.30.830.10:FF:000002: Mitochondrial-processing peptidase subunit beta; PTHR11851: METALLOPROTEASE; InterPro=IPR050361; PF05193: Peptidase M16 inactive domain; InterPro=IPR007863	True	11	468	466	LG+G4	81.625	58.0	100.0	8	75.7375	34.7	100.0	8	
g5153.t1	g5153.t1	tr|A0A4C1SWU5|A0A4C1SWU5_EUMVA	A0A4C1SWU5	87.016	95	0.0	930.0	Aminopeptidase W07G4.4 OS=Eumeta variegata OX=151549 GN=lap-2 PE=3 SV=1	SSF53187: Zn-dependent exopeptidases; PTHR11963: LEUCINE AMINOPEPTIDASE-RELATED; InterPro=IPR011356; PF00883: Cytosol aminopeptidase family, catalytic domain; InterPro=IPR000819; G3DSA:3.40.630.10: Zn peptidases; PR00481: Cytosol aminopeptidase signature	True	11	1369	507	LG+F+G4	93.25	65.0	100.0	8	93.0125	60.6	100.0	8	
g19136.t1	g19136.t1	tr|A0A4C1SUX7|A0A4C1SUX7_EUMVA	A0A4C1SUX7	81.818	100	0.0	925.0	tr|A0A4C1SUX7|A0A4C1SUX7_EUMVA Aminopeptidase W07G4.4 OS=Eumeta variegata OX=151549 GN=lap-2 PE=3 SV=1	PF00883: Cytosol aminopeptidase family, catalytic domain; InterPro=IPR000819; PTHR11963: LEUCINE AMINOPEPTIDASE-RELATED; InterPro=IPR011356; G3DSA:3.40.630.10: Zn peptidases; SSF53187: Zn-dependent exopeptidases; PR00481: Cytosol aminopeptidase signature	True	11	1324	507	LG+F+I+G4	92.625	68.0	100.0	8	94.95	70.6	100.0	8	
g16852.t1	g16852.t1	tr|A0A4C1V353|A0A4C1V353_EUMVA	A0A4C1V353	76.834	94	0.0	840.0	tr|A0A4C1V353|A0A4C1V353_EUMVA Bile salt-activated lipase OS=Eumeta variegata OX=151549 GN=Cel PE=3 SV=1	SSF53474: alpha/beta-Hydrolases; InterPro=IPR029058; G3DSA:3.40.50.1820: alpha/beta hydrolase; PF00135: Carboxylesterase family; InterPro=IPR002018; PS00122: Carboxylesterases type-B serine active site.; InterPro=IPR019826; PTHR43142: CARBOXYLIC ESTER HYDROLASE	True	11	814	537	Q.YEAST+R2	93.375	68.0	100.0	8	93.2625	57.9	100.0	8	
g15563.t1	g15563.t1	tr|A0A4C1SUH7|A0A4C1SUH7_EUMVA	A0A4C1SUH7	88.372	100	0.0	804.0	tr|A0A4C1SUH7|A0A4C1SUH7_EUMVA Carboxypeptidase B OS=Eumeta variegata OX=151549 GN=EVAR_3353_1 PE=3 SV=1	SSF54897: Protease propeptides/inhibitors; G3DSA:3.40.630.10: Zn peptidases; SM00631: zn_carb; InterPro=IPR000834; G3DSA:3.30.70.340: -; InterPro=IPR036990; PTHR11705: PROTEASE FAMILY M14 CARBOXYPEPTIDASE A,B; PF02244: Carboxypeptidase activation peptide; InterPro=IPR003146; PR00765: Carboxypeptidase A metalloprotease (M14) family signature; SSF53187: Zn-dependent exopeptidases; PS00132: Zinc carboxypeptidases, zinc-binding region 1 signature.; InterPro=IPR057246; cd06248: M14_CP_insect; G3DSA:3.40.630.10:FF:000084: Carboxypeptidase B2; PS52035: Peptidase family M14 domain profile.; PF00246: Zinc carboxypeptidase	True	11	466	429	Q.PFAM+G4	72.75	17.0	100.0	8	77.7625	3.9	100.0	8	
g14934.t1	g14934.t1	tr|A0A0L7LBW4|A0A0L7LBW4_OPEBR	A0A0L7LBW4	95.337	100	0.0	767.0	tr|A0A0L7LBW4|A0A0L7LBW4_OPEBR ADIPOR-like receptor OS=Operophtera brumata OX=104452 GN=OBRU01_11935 PE=3 SV=1	mobidb-lite: consensus disorder prediction; PF03006: Haemolysin-III related; InterPro=IPR004254; PTHR20855: ADIPOR/PROGESTIN RECEPTOR-RELATED; Coil: Coil	True	11	386	386	Q.PLANT+I	57.833333333333336	31.0	72.0	6	57.85	0.0	93.0	6	
g10898.t1	g10898.t1	tr|A0A4C1U2C6|A0A4C1U2C6_EUMVA	A0A4C1U2C6	85.242	100	0.0	762.0	Retinoid-inducible serine carboxypeptidase OS=Eumeta variegata OX=151549 GN=Scpep1 PE=3 SV=1	PTHR11802: SERINE PROTEASE FAMILY S10 SERINE CARBOXYPEPTIDASE; InterPro=IPR001563; G3DSA:3.40.50.1820: alpha/beta hydrolase; InterPro=IPR029058; PR00724: Carboxypeptidase C serine protease (S10) family signature; SSF53474: alpha/beta-Hydrolases; PF00450: Serine carboxypeptidase	True	11	485	446	CPREV+I+G4	80.625	52.0	100.0	8	86.5625	53.2	100.0	8	
g16796.t1	g16796.t1	tr|A0ABR3HCD7|A0ABR3HCD7_LOXSC	A0ABR3HCD7	76.674	98	0.0	751.0	tr|A0ABR3HCD7|A0ABR3HCD7_LOXSC Carboxypeptidase OS=Loxostege sticticalis OX=481309 GN=ABMA27_008727 PE=3 SV=1	PTHR11802: SERINE PROTEASE FAMILY S10 SERINE CARBOXYPEPTIDASE; InterPro=IPR001563; G3DSA:3.40.50.1820:FF:000096: Carboxypeptidase vitellogenic-like; SSF53474: alpha/beta-Hydrolases; InterPro=IPR029058; PF00450: Serine carboxypeptidase; PS00131: Serine carboxypeptidases, serine active site.; InterPro=IPR018202; PR00724: Carboxypeptidase C serine protease (S10) family signature; G3DSA:3.40.50.1820: alpha/beta hydrolase; PS00560: Serine carboxypeptidases, histidine active site.; InterPro=IPR033124	True	11	495	473	CPREV+I+R2	90.125	65.0	100.0	8	94.1	79.9	100.0	8	
g14161.t1	g14161.t1	tr|A0A4C1V3W7|A0A4C1V3W7_EUMVA	A0A4C1V3W7	80.822	100	0.0	749.0	tr|A0A4C1V3W7|A0A4C1V3W7_EUMVA Modular serine protease OS=Eumeta variegata OX=151549 GN=modSP PE=4 SV=1	SSF57535: Complement control module/SCR domain; InterPro=IPR035976; G3DSA:2.40.10.10: -; PS50240: Serine proteases, trypsin domain profile.; InterPro=IPR001254; G3DSA:2.10.70.10: Complement Module, domain 1; PR00722: Chymotrypsin serine protease family (S1) signature; InterPro=IPR001314; SM00020: trypsin_2; PF00089: Trypsin; PS00134: Serine proteases, trypsin family, histidine active site.; InterPro=IPR018114; PTHR24252: ACROSIN-RELATED; cd00190: Tryp_SPc; SSF50494: Trypsin-like serine proteases; InterPro=IPR009003	True	11	1073	659	WAG+R3	94.875	59.0	100.0	8	93.2875	48.2	100.0	8	
g6193.t1	g6193.t1	tr|A0A4C1ZXS9|A0A4C1ZXS9_EUMVA	A0A4C1ZXS9	82.169	100	0.0	729.0	Zinc carboxypeptidase A 1 OS=Eumeta variegata OX=151549 GN=EVAR_70481_1 PE=3 SV=1	SM00631: zn_carb; InterPro=IPR000834; G3DSA:3.40.630.10:FF:000084: Carboxypeptidase B2; PF00246: Zinc carboxypeptidase; G3DSA:3.30.70.340: -; InterPro=IPR036990; SSF54897: Protease propeptides/inhibitors; PS52035: Peptidase family M14 domain profile.; G3DSA:3.30.70.340:FF:000002: Carboxypeptidase A; G3DSA:3.40.630.10: Zn peptidases; SSF53187: Zn-dependent exopeptidases; PTHR11705: PROTEASE FAMILY M14 CARBOXYPEPTIDASE A,B; PF02244: Carboxypeptidase activation peptide; InterPro=IPR003146	True	11	696	413	Q.PLANT+G4	93.125	49.0	100.0	8	89.2	17.8	100.0	8	
