Gene_ID,Length,GC(%),N_Count,Invalid_Characters
g10359,672,58.18,0,
g1036,26638,36.35,0,
g10360,252,51.19,0,
g10361,11143,34.35,0,
g10362,21766,36.35,0,
g10363,510,38.63,0,
g10364,843,35.82,0,
g10365,10980,34.53,0,
g10366,34204,36.44,0,
g10367,1615,69.78,0,
g10368,2774,32.84,0,
g10369,2172,38.49,0,
g1037,324,60.8,0,
g10370,7864,42.14,0,
g10371,7202,33.8,0,
g10372,549,41.35,0,
g10373,1723,33.43,0,
g10374,2216,33.89,0,
g10375,2768,31.58,0,
g10376,2541,32.7,0,
g10377,4521,34.02,0,
g10378,4498,34.97,0,
g10379,11874,36.06,0,
g1038,5316,44.36,0,
g10380,989,41.86,0,
g10381,6203,31.24,0,
g10382,49180,35.45,0,
g10383,14046,38.27,0,
g10384,17186,42.42,0,
g10385,6247,35.04,0,
g10386,5070,37.28,0,
g10387,392,34.69,0,
g10388,5208,30.88,0,
g10389,3302,32.62,0,
g1039,32733,39.1,0,
g10390,900,38.11,0,
g10391,1398,61.3,0,
g10392,267,52.06,0,
g10393,5832,31.98,0,
g10394,1490,31.81,0,
g10395,4148,29.8,0,
g10396,9784,36.08,0,
g10397,9198,35.24,0,
g10398,10148,33.58,0,
g10399,1110,54.95,0,
g104,9163,35.76,0,
g1040,14247,38.37,0,
g10400,2648,40.52,0,
g10401,3798,42.58,0,
g10402,18497,36.18,0,
g10403,22091,34.11,0,
g10404,2045,39.36,0,
g10405,33997,36.83,0,
g10406,678,38.64,0,
g10407,34249,36.15,0,
g10408,34528,33.81,0,
g10409,7307,49.27,0,
g1041,7921,37.89,0,
g10410,13161,37.12,0,
g10411,721,51.18,0,
g10412,6373,52.06,0,
g10413,627,43.7,0,
g10414,246,66.67,0,
g10415,363,63.64,0,
g10416,4997,43.97,0,
g10417,264,54.92,0,
g10418,417,69.06,0,
g10419,2895,33.78,0,
g1042,11603,36.59,0,
g10420,18408,35.27,0,
g10421,15598,34.63,0,
g10422,33364,35.48,0,
g10423,5279,36.28,0,
g10424,1626,38.68,0,
g10425,9417,40.76,0,
g10426,3817,38.72,0,
g10427,2204,42.11,0,
g10428,578,44.81,0,
g10429,1807,31.54,0,
g1043,225,55.11,0,
g10430,12874,39.86,0,
g10431,21273,37.53,0,
g10432,23081,34.32,0,
g10433,14558,33.35,0,
g10434,3128,32.96,0,
g10435,1719,38.86,0,
g10436,468,66.03,0,
g10437,13951,35.74,0,
g10438,15211,37.27,0,
g10439,4608,35.79,0,
g1044,22016,37.64,0,
g10440,939,36.32,0,
g10441,1116,36.74,0,
g10442,26497,37.97,0,
g10443,7026,36.09,0,
g10444,4397,35.3,0,
g10445,2375,40.13,0,
g10446,48130,35.81,0,
g10447,3614,37.74,0,
g10448,2952,34.45,0,
g10449,570,43.51,0,
g1045,22223,36.24,0,
g10450,567,40.92,0,
g10451,51118,36.98,0,
g10452,14378,38.94,0,
g10453,10245,35.74,0,
g10454,2910,30.1,0,
g10455,8059,33.09,0,
g10456,249,38.15,0,
g10457,18683,34.77,0,
g10458,1780,35.45,0,
g10459,2248,30.96,0,
g1046,15536,39.69,0,
g10460,39855,34.78,0,
g10461,11546,33.05,0,
g10462,4210,33.97,0,
g10463,3622,30.76,0,
g10464,5765,30.46,0,
g10465,288,44.79,0,
g10466,4340,31.77,0,
g10467,2555,47.28,0,
g10468,7955,37.16,0,
g10469,2755,35.21,0,
g1047,618,34.14,0,
g10470,1078,39.8,0,
g10471,252,50.4,0,
g10472,510,69.02,0,
g10473,288,51.04,0,
g10474,288,65.62,0,
g10475,1441,40.8,0,
g10476,6744,34.12,0,
g10477,1945,40.41,0,
g10478,4321,34.44,0,
g10479,6849,35.07,0,
g1048,29723,40.39,0,
g10480,3699,38.09,0,
g10481,27694,35.94,0,
g10482,14146,43.49,0,
g10483,19389,37.13,0,
g10484,15945,38.3,0,
g10485,7976,36.31,0,
g10486,1459,38.38,0,
g10487,3371,43.37,0,
g10488,14788,38.26,0,
g10489,765,42.61,0,
g1049,1653,38.23,0,
g10490,8981,36.47,0,
g10491,3323,40.84,0,
g10492,14633,36.65,0,
g10493,1309,36.97,0,
g10494,8263,31.62,0,
g10495,28099,37.4,0,
g10496,14603,37.38,0,
g10497,8410,38.41,0,
g10498,309,40.13,0,
g10499,3386,27.97,0,
g105,17255,37.01,0,
g1050,447,40.04,0,
g10500,30045,35.31,0,
g10501,24528,35.58,0,
g10502,237,54.85,0,
g10503,8469,36.05,0,
g10504,255,45.49,0,
g10505,1742,38.06,0,
g10506,228,54.82,0,
g10507,2048,33.01,0,
g10508,17975,38.55,0,
g10509,2868,33.05,0,
g1051,459,38.13,0,
g10510,6831,40.93,0,
g10511,3267,36.46,0,
g10512,2625,39.12,0,
g10513,288,55.9,0,
g10514,698,48.28,0,
g10515,9304,38.01,0,
g10516,1347,31.48,0,
g10517,36207,36.51,0,
g10518,327,64.83,0,
g10519,10896,37.91,0,
g1052,1775,36.06,0,
g10520,11010,35.44,0,
g10521,15968,38.07,0,
g10522,67774,35.67,0,
g10523,20163,36.51,0,
g10524,5012,33.92,0,
g10525,57049,36.26,0,
g10526,12535,41.48,0,
g10527,264,64.77,0,
g10528,258,52.33,0,
g10529,55814,36.97,0,
g1053,3120,37.85,0,
g10530,669,38.57,0,
g10531,6809,36.53,0,
g10532,6550,36.93,0,
g10533,2899,32.56,0,
g10534,354,66.1,0,
g10535,18402,37.2,0,
g10536,6529,29.73,0,
g10537,1663,34.22,0,
g10538,19690,38.12,0,
g10539,1627,31.35,0,
g1054,22565,35.5,0,
g10540,2662,37.11,0,
g10541,3152,40.23,0,
g10542,2118,38.34,0,
g10543,249,56.63,0,
g10544,246,69.11,0,
g10545,291,40.55,0,
g10546,5823,38.33,0,
g10547,387,66.93,0,
g10548,155879,39.61,0,
g10549,291,54.98,0,
g1055,765,37.12,0,
g10550,300,57.33,0,
g10551,642,75.86,0,
g10552,26196,42.87,0,
g10553,9752,35.11,0,
g10554,5792,32.68,0,
g10555,4045,42.32,0,
g10556,513,58.87,0,
g10557,1163,34.57,0,
g10558,4068,35.15,0,
g10559,468,40.81,0,
g1056,32827,35.88,0,
g10560,21572,35.27,0,
g10561,621,64.25,0,
g10562,303,54.79,0,
g10563,1069,39.57,0,
g10564,602,31.56,0,
g10565,3095,35.51,0,
g10566,273,59.34,0,
g10567,11246,33.87,0,
g10568,768,41.54,0,
g10569,354,38.42,0,
g1057,975,60.92,0,
g10570,7331,35.81,0,
g10571,4263,37.06,0,
g10572,6512,37.96,0,
g10573,2198,45.54,0,
g10574,28654,35.55,0,
g10575,48945,36.33,0,
g10576,6498,36.69,0,
g10577,17011,34.18,0,
g10578,5939,32.87,0,
g10579,8687,35.75,0,
g1058,1239,43.74,0,
g10580,8526,35.68,0,
g10581,663,42.84,0,
g10582,13608,36.06,0,
g10583,7667,35.14,0,
g10584,11300,33.46,0,
g10585,1495,39.93,0,
g10586,14038,35.74,0,
g10587,4408,40.93,0,
g10588,31035,35.27,0,
g10589,312,57.69,0,
g1059,240,58.33,0,
g10590,11769,35.3,0,
g10591,14211,38.38,0,
g10592,51184,36.21,0,
g10593,23683,41.48,0,
g10594,18089,40.47,0,
g10595,29963,37.37,0,
g10596,20311,35.04,0,
g10597,306,52.94,0,
g10598,10597,38.64,0,
g10599,2342,35.06,0,
g106,5264,39.25,0,
g1060,11669,32.21,0,
g10600,492,67.68,0,
g10601,32922,38.99,0,
g10602,36692,35.12,0,
g10603,219,58.9,0,
g10604,222,60.36,0,
g10605,60876,35.55,0,
g10606,12175,37.74,0,
g10607,5637,39.49,0,
g10608,204,35.29,0,
g10609,38918,39.07,0,
g1061,30094,37.24,0,
g10610,2851,34.9,0,
g10611,12529,41.73,0,
g10612,79439,38.45,0,
g10613,342,61.4,0,
g10614,12790,40.38,0,
g10615,13655,35.7,0,
g10616,18929,43.95,0,
g10617,303,58.75,0,
g10618,954,45.91,0,
g10619,444,68.24,0,
g1062,549,42.99,0,
g10620,303,60.07,0,
g10621,3600,45.06,0,
g10622,7006,37.74,0,
g10623,15825,39.49,0,
g10624,22952,42.24,0,
g10625,7860,32.37,0,
g10626,6181,33.05,0,
g10627,258,53.88,0,
g10628,642,47.51,0,
g10629,593,49.24,0,
g1063,4544,38.6,0,
g10630,3079,44.85,0,
g10631,7252,37.6,0,
g10632,437,63.62,0,
g10633,2981,31.8,0,
g10634,5715,29.78,0,
g10635,13283,41.87,0,
g10636,33913,41.38,0,
g10637,28878,37.12,0,
g10638,2180,33.49,0,
g10639,50574,37.03,0,
g1064,5037,37.74,0,
g10640,2620,41.83,0,
g10641,1995,33.13,0,
g10642,543,67.77,0,
g10643,2365,58.27,0,
g10644,331,48.04,0,
g10645,459,74.29,0,
g10646,3396,49.23,0,
g10647,3653,42.08,0,
g10648,7403,38.08,0,
g10649,568,60.39,0,
g1065,4364,36.16,0,
g10650,8618,45.35,0,
g10651,497,50.91,0,
g10652,5623,42.68,0,
g10653,6077,39.44,0,
g10654,7519,33.9,0,
g10655,14869,38.03,0,
g10656,52884,38.19,0,
g10657,1629,42.85,0,
g10658,2590,42.39,0,
g10659,1392,48.92,0,
g1066,3427,32.27,0,
g10660,261,56.7,0,
g10661,327,50.46,0,
g10662,252,59.92,0,
g10663,73230,36.38,0,
g10664,7935,37.43,0,
g10665,243,55.97,0,
g10666,5370,34.8,0,
g10667,30083,34.29,0,
g10668,2219,32.94,0,
g10669,11497,36.24,0,
g1067,170952,34.92,0,
g10670,1525,36.26,0,
g10671,28388,34.54,0,
g10672,52987,35.89,0,
g10673,2808,40.17,0,
g10674,16001,34.12,0,
g10675,3165,32.1,0,
g10676,8386,32.96,0,
g10677,919,33.73,0,
g10678,11597,35.87,0,
g10679,22957,35.5,0,
g1068,42771,35.72,0,
g10680,6345,36.12,0,
g10681,10470,36.41,0,
g10682,3747,36.94,0,
g10683,10465,35.82,0,
g10684,33435,36.64,0,
g10685,2690,40.45,0,
g10686,3491,40.42,0,
g10687,3977,36.18,0,
g10688,35062,35.89,0,
g10689,69735,35.31,0,
g1069,4263,32.91,0,
g10690,3797,37.16,0,
g10691,351,42.45,0,
g10692,639,48.83,0,
g10693,624,45.99,0,
g10694,956,31.69,0,
g10695,4372,41.06,0,
g10696,48770,37.16,0,
g10697,3757,30.24,0,
g10698,10172,38.77,0,
g10699,17830,37.15,0,
g107,6824,39.51,0,
g1070,13870,34.55,0,
g10700,31184,38.43,0,
g10701,21295,38.08,0,
g10702,36219,37.01,0,
g10703,990,44.14,0,
g10704,15709,37.26,0,
g10705,405,45.68,0,
g10706,252,55.95,0,
g10707,387,55.56,0,
g10708,324,58.64,0,
g10709,9352,37.08,0,
g1071,1119,32.44,0,
g10710,3399,39.28,0,
g10711,19911,35.62,0,
g10712,14953,37.23,0,
g10713,10313,33.12,0,
g10714,10479,45.75,0,
g10715,6918,34.39,0,
g10716,26998,33.9,0,
g10717,28246,34.84,0,
g10718,8131,31.45,0,
g10719,1089,35.63,0,
g1072,2990,33.41,0,
g10720,18584,35.49,0,
g10721,1107,31.17,0,
g10722,321,56.07,0,
g10723,13187,42.48,0,
g10724,12875,37.89,0,
g10725,6155,35.95,0,
g10726,551,45.55,0,
g10727,893,48.38,0,
g10728,3177,38.37,0,
g10729,318,54.72,0,
g1073,32110,36.56,0,
g10730,7255,35.62,0,
g10731,6344,35.89,0,
g10732,6111,34.1,0,
g10733,14909,37.54,0,
g10734,543,46.78,0,
g10735,5500,35.42,0,
g10736,8146,37.45,0,
g10737,28511,35.46,0,
g10738,303,36.63,0,
g10739,3723,41.71,0,
g1074,336,64.29,0,
g10740,6775,45.23,0,
g10741,4203,45.63,0,
g10742,1165,51.33,0,
g10743,312,63.46,0,
g10744,324,66.05,0,
g10745,12425,34.39,0,
g10746,4845,32.47,0,
g10747,11402,32.54,0,
g10748,10642,31.37,0,
g10749,17047,39.4,0,
g1075,6868,37.09,0,
g10750,14774,37.4,0,
g10751,2574,40.37,0,
g10752,40131,32.85,0,
g10753,37900,36.66,0,
g10754,40766,36.51,0,
g10755,19135,36.94,0,
g10756,40748,36.87,0,
g10757,300,54.33,0,
g10758,13333,35.06,0,
g10759,9825,36.17,0,
g1076,8857,31.46,0,
g10760,5915,38.11,0,
g10761,20322,34.44,0,
g10762,28214,39.14,0,
g10763,1824,39.14,0,
g10764,672,42.26,0,
g10765,9355,36.61,0,
g10766,3398,33.14,0,
g10767,318,61.01,0,
g10768,3993,35.41,0,
g10769,22969,35.77,0,
g1077,7471,35.04,0,
g10770,3207,37.57,0,
g10771,5446,32.79,0,
g10772,7745,33.71,0,
g10773,3267,32.63,0,
g10774,2622,31.66,0,
g10775,5345,39.25,0,
g10776,1439,39.68,0,
g10777,2834,39.91,0,
g10778,12888,43.82,0,
g10779,399,38.35,0,
g1078,14212,35.03,0,
g10780,13379,37.57,0,
g10781,1473,47.25,0,
g10782,1213,43.53,0,
g10783,10758,36.71,0,
g10784,831,37.42,0,
g10785,5224,32.87,0,
g10786,2049,44.07,0,
g10787,16282,39.09,0,
g10788,7879,37.92,0,
g10789,6458,36.78,0,
g1079,7574,39.5,0,
g10790,282,73.4,0,
g10791,543,59.3,0,
g10792,550,58.36,0,
g10793,21858,40.53,0,
g10794,8137,32.96,0,
g10795,6981,31.89,0,
g10796,21126,34.27,0,
g10797,19007,34.61,0,
g10798,91579,36.92,0,
g10799,216,57.87,0,
g108,4103,38.14,0,
g1080,12948,34.06,0,
g10800,297,57.24,0,
g10801,13915,34.73,0,
g10802,342,41.23,0,
g10803,1360,31.4,0,
g10804,2511,33.33,0,
g10805,2903,31.62,0,
g10806,1168,30.65,0,
g10807,10763,36.91,0,
g10808,2370,32.36,0,
g10809,12486,34.06,0,
g1081,246,58.94,0,
g10810,228,63.6,0,
g10811,15971,35.36,0,
g10812,2889,37.24,0,
g10813,1065,66.76,0,
g10814,12172,37.79,0,
g10815,10852,38.03,0,
g10816,8477,34.13,0,
g10817,21448,37.64,0,
g10818,5542,41.28,0,
g10819,288,62.5,0,
g1082,8261,32.53,0,
g10820,7516,42.04,0,
g10821,1683,30.96,0,
g10822,5815,35.65,0,
g10823,3325,32.63,0,
g10824,6026,30.65,0,
g10825,14297,40.39,0,
g10826,864,55.21,0,
g10827,1692,48.29,0,
g10828,22974,38.27,0,
g10829,37548,38.46,0,
g1083,5497,31.13,0,
g10830,1495,42.61,0,
g10831,327,29.97,0,
g10832,7560,39.7,0,
g10833,8725,36.57,0,
g10834,777,60.88,0,
g10835,1340,38.81,0,
g10836,324,39.2,0,
g10837,5912,36.28,0,
g10838,4020,42.36,0,
g10839,447,44.52,0,
g1084,9688,34.75,0,
g10840,408,42.16,0,
g10841,10118,36.9,0,
g10842,11850,37.52,0,
g10843,1886,35.37,0,
g10844,22262,42.6,0,
g10845,267,39.33,0,
g10846,1785,46.83,0,
g10847,24252,34.69,0,
g10848,10462,36.54,0,
g10849,60727,36.09,0,
g1085,10743,32.91,0,
g10850,1771,32.69,0,
g10851,7166,39.39,0,
g10852,1745,40.86,0,
g10853,5929,34.14,0,
g10854,9501,38.73,0,
g10855,27221,35.99,0,
g10856,2937,45.22,0,
g10857,20035,36.91,0,
g10858,3437,31.45,0,
g10859,12529,36.18,0,
g1086,29680,35.74,0,
g10860,3693,34.04,0,
g10861,5966,32.6,0,
g10862,55679,34.43,0,
g10863,4457,34.33,0,
g10864,294,65.65,0,
g10865,2608,36.5,0,
g10866,5012,29.23,0,
g10867,8802,32.62,0,
g10868,27471,39.07,0,
g10869,3986,33.04,0,
g1087,1825,51.29,0,
g10870,5632,36.86,0,
g10871,8668,31.67,0,
g10872,57800,36.26,0,
g10873,264,63.26,0,
g10874,26315,37.07,0,
g10875,906,37.86,0,
g10876,16992,34.53,0,
g10877,4250,34.59,0,
g10878,483,71.01,0,
g10879,240,57.5,0,
g1088,4030,36.58,0,
g10880,6156,38.89,0,
g10881,252,65.87,0,
g10882,234,67.95,0,
g10883,300,63.33,0,
g10884,246,63.82,0,
g10885,348,56.32,0,
g10886,643,43.7,0,
g10887,5435,33.74,0,
g10888,1373,37.07,0,
g10889,325,39.69,0,
g1089,1622,35.64,0,
g10890,3307,37.77,0,
g10891,9408,34.74,0,
g10892,694,43.8,0,
g10893,703,37.7,0,
g10894,10397,36.58,0,
g10895,8339,35.62,0,
g10896,16180,36.14,0,
g10897,228,50.88,0,
g10898,21733,36.73,0,
g10899,656,41.31,0,
g109,5556,42.37,0,
g1090,341,38.12,0,
g10900,2875,33.11,0,
g10901,14969,40.75,0,
g10902,7601,33.64,0,
g10903,1216,41.53,0,
g10904,4707,32.63,0,
g10905,16891,35.06,0,
g10906,7711,35.08,0,
g10907,16267,35.73,0,
g10908,10189,36.53,0,
