qseqid	sseqid	pident	length	qlen	slen	qcovs	evalue	bitscore	stitle
g19875.t1	sp|Q8VCK5|KLH20_MOUSE	35.596	545	628	604	88	1.37e-107	343	sp|Q8VCK5|KLH20_MOUSE Kelch-like protein 20 OS=Mus musculus OX=10090 GN=Klhl20 PE=2 SV=2
g19875.t1	sp|Q8VCK5|KLH20_MOUSE	35.602	191	628	604	88	1.21e-26	122	sp|Q8VCK5|KLH20_MOUSE Kelch-like protein 20 OS=Mus musculus OX=10090 GN=Klhl20 PE=2 SV=2
g19875.t1	sp|Q8VCK5|KLH20_MOUSE	34.375	192	628	604	88	3.87e-25	118	sp|Q8VCK5|KLH20_MOUSE Kelch-like protein 20 OS=Mus musculus OX=10090 GN=Klhl20 PE=2 SV=2
g19875.t1	sp|Q8VCK5|KLH20_MOUSE	30.986	142	628	604	88	2.27e-15	87.8	sp|Q8VCK5|KLH20_MOUSE Kelch-like protein 20 OS=Mus musculus OX=10090 GN=Klhl20 PE=2 SV=2
g19875.t1	sp|D3Z8N4|KLH20_RAT	35.596	545	628	609	88	1.78e-107	343	sp|D3Z8N4|KLH20_RAT Kelch-like protein 20 OS=Rattus norvegicus OX=10116 GN=Klhl20 PE=3 SV=1
g19875.t1	sp|D3Z8N4|KLH20_RAT	35.602	191	628	609	88	1.32e-26	122	sp|D3Z8N4|KLH20_RAT Kelch-like protein 20 OS=Rattus norvegicus OX=10116 GN=Klhl20 PE=3 SV=1
g19875.t1	sp|D3Z8N4|KLH20_RAT	34.375	192	628	609	88	4.54e-25	117	sp|D3Z8N4|KLH20_RAT Kelch-like protein 20 OS=Rattus norvegicus OX=10116 GN=Klhl20 PE=3 SV=1
g19875.t1	sp|D3Z8N4|KLH20_RAT	30.986	142	628	609	88	2.46e-15	87.4	sp|D3Z8N4|KLH20_RAT Kelch-like protein 20 OS=Rattus norvegicus OX=10116 GN=Klhl20 PE=3 SV=1
g19876.t1	sp|Q5UAS1|RL18_BOMMO	91.803	183	183	183	100	6.31e-122	348	sp|Q5UAS1|RL18_BOMMO Large ribosomal subunit protein eL18 OS=Bombyx mori OX=7091 GN=RpL18 PE=2 SV=1
g19876.t1	sp|Q6F442|RL18_PLUXY	91.257	183	183	183	100	1.01e-120	345	sp|Q6F442|RL18_PLUXY Large ribosomal subunit protein eL18 OS=Plutella xylostella OX=51655 GN=RpL18 PE=2 SV=1
g19876.t1	sp|Q962Y8|RL18_SPOFR	92.350	183	183	183	100	1.75e-120	344	sp|Q962Y8|RL18_SPOFR Large ribosomal subunit protein eL18 OS=Spodoptera frugiperda OX=7108 GN=RpL18 PE=2 SV=1
g19876.t1	sp|Q4GXG7|RL18_TIMBA	75.956	183	183	188	99	4.62e-95	280	sp|Q4GXG7|RL18_TIMBA Large ribosomal subunit protein eL18 OS=Timarcha balearica OX=79517 GN=RpL18 PE=2 SV=1
g19876.t1	sp|Q56FG8|RL18_LYSTE	73.770	183	183	188	99	5.85e-92	272	sp|Q56FG8|RL18_LYSTE Large ribosomal subunit protein eL18 OS=Lysiphlebus testaceipes OX=77504 GN=RpL18 PE=2 SV=1
g19877.t1	sp|Q8NFG4|FLCN_HUMAN	24.373	558	430	579	99	7.05e-34	140	sp|Q8NFG4|FLCN_HUMAN Folliculin OS=Homo sapiens OX=9606 GN=FLCN PE=1 SV=1
g19877.t1	sp|Q8QZS3|FLCN_MOUSE	23.878	557	430	579	99	7.64e-33	137	sp|Q8QZS3|FLCN_MOUSE Folliculin OS=Mus musculus OX=10090 GN=Flcn PE=1 SV=1
g19877.t1	sp|Q5M7Q1|FLCN_XENTR	22.302	556	430	579	99	2.91e-29	127	sp|Q5M7Q1|FLCN_XENTR Folliculin OS=Xenopus tropicalis OX=8364 GN=flcn PE=2 SV=1
g19877.t1	sp|Q76JQ2|FLCN_RAT	23.571	560	430	579	99	8.93e-29	126	sp|Q76JQ2|FLCN_RAT Folliculin OS=Rattus norvegicus OX=10116 GN=Flcn PE=1 SV=1
g19877.t1	sp|Q3B7L5|FLCN_BOVIN	30.798	263	430	579	50	1.89e-27	122	sp|Q3B7L5|FLCN_BOVIN Folliculin OS=Bos taurus OX=9913 GN=FLCN PE=2 SV=1
g19878.t1	sp|Q6RVD7|SX21B_DANRE	70.435	115	398	245	28	1.80e-49	174	sp|Q6RVD7|SX21B_DANRE Transcription factor Sox-21-B OS=Danio rerio OX=7955 GN=sox21b PE=2 SV=1
g19878.t1	sp|Q811W0|SOX21_MOUSE	83.871	93	398	276	23	3.61e-49	174	sp|Q811W0|SOX21_MOUSE Transcription factor SOX-21 OS=Mus musculus OX=10090 GN=Sox21 PE=2 SV=1
g19878.t1	sp|Q9Y651|SOX21_HUMAN	83.871	93	398	276	23	3.97e-49	174	sp|Q9Y651|SOX21_HUMAN Transcription factor SOX-21 OS=Homo sapiens OX=9606 GN=SOX21 PE=1 SV=1
g19878.t1	sp|B0ZTE1|SOX21_XENLA	82.796	93	398	262	23	3.05e-48	171	sp|B0ZTE1|SOX21_XENLA Transcription factor Sox-21 OS=Xenopus laevis OX=8355 GN=sox21 PE=2 SV=1
g19878.t1	sp|B0ZTE2|SOX14_XENLA	68.966	116	398	239	29	1.06e-47	169	sp|B0ZTE2|SOX14_XENLA Transcription factor Sox-14 OS=Xenopus laevis OX=8355 GN=sox14 PE=2 SV=1
g19879.t1	sp|Q8N328|PGBD3_HUMAN	33.628	226	239	593	92	1.01e-24	109	sp|Q8N328|PGBD3_HUMAN PiggyBac transposable element-derived protein 3 OS=Homo sapiens OX=9606 GN=PGBD3 PE=1 SV=3
g19879.t1	sp|P0DP91|ERPG3_HUMAN	34.211	228	239	1061	92	1.54e-24	109	sp|P0DP91|ERPG3_HUMAN Chimeric ERCC6-PGBD3 protein OS=Homo sapiens OX=9606 GN=ERCC6 PE=1 SV=1
g19879.t1	sp|Q6P3X8|PGBD2_HUMAN	31.884	207	239	592	84	1.00e-15	83.2	sp|Q6P3X8|PGBD2_HUMAN PiggyBac transposable element-derived protein 2 OS=Homo sapiens OX=9606 GN=PGBD2 PE=1 SV=1
g19879.t1	sp|Q96JS3|PGBD1_HUMAN	26.230	183	239	809	73	9.83e-08	60.1	sp|Q96JS3|PGBD1_HUMAN PiggyBac transposable element-derived protein 1 OS=Homo sapiens OX=9606 GN=PGBD1 PE=1 SV=1
g19884.t1	sp|P82119|CUO6_BLACR	31.746	126	327	139	35	1.89e-06	54.3	sp|P82119|CUO6_BLACR Cuticle protein 6 OS=Blaberus craniifer OX=6982 PE=1 SV=1
g19888.t1	sp|P45844|ABCG1_HUMAN	40.034	592	631	678	92	6.62e-122	383	sp|P45844|ABCG1_HUMAN ATP-binding cassette sub-family G member 1 OS=Homo sapiens OX=9606 GN=ABCG1 PE=1 SV=3
g19888.t1	sp|Q64343|ABCG1_MOUSE	38.693	597	631	666	92	6.86e-120	377	sp|Q64343|ABCG1_MOUSE ATP-binding cassette sub-family G member 1 OS=Mus musculus OX=10090 GN=Abcg1 PE=1 SV=1
g19888.t1	sp|Q91WA9|ABCG4_MOUSE	38.185	584	631	646	92	2.20e-119	375	sp|Q91WA9|ABCG4_MOUSE ATP-binding cassette subfamily G member 4 OS=Mus musculus OX=10090 GN=Abcg4 PE=1 SV=2
g19888.t1	sp|D3ZCM3|ABCG4_RAT	37.245	588	631	650	92	1.46e-113	360	sp|D3ZCM3|ABCG4_RAT ATP-binding cassette subfamily G member 4 OS=Rattus norvegicus OX=10116 GN=Abcg4 PE=2 SV=1
g19888.t1	sp|Q9H172|ABCG4_HUMAN	36.851	616	631	646	96	4.35e-112	357	sp|Q9H172|ABCG4_HUMAN ATP-binding cassette sub-family G member 4 OS=Homo sapiens OX=9606 GN=ABCG4 PE=1 SV=2
g19889.t1	sp|P45844|ABCG1_HUMAN	45.122	82	82	678	98	2.24e-14	73.6	sp|P45844|ABCG1_HUMAN ATP-binding cassette sub-family G member 1 OS=Homo sapiens OX=9606 GN=ABCG1 PE=1 SV=3
g19889.t1	sp|Q64343|ABCG1_MOUSE	55.738	61	82	666	72	2.70e-14	73.2	sp|Q64343|ABCG1_MOUSE ATP-binding cassette sub-family G member 1 OS=Mus musculus OX=10090 GN=Abcg1 PE=1 SV=1
g19889.t1	sp|Q9H172|ABCG4_HUMAN	40.244	82	82	646	98	1.42e-11	65.5	sp|Q9H172|ABCG4_HUMAN ATP-binding cassette sub-family G member 4 OS=Homo sapiens OX=9606 GN=ABCG4 PE=1 SV=2
g19889.t1	sp|D3ZCM3|ABCG4_RAT	51.613	62	82	650	73	3.56e-11	64.3	sp|D3ZCM3|ABCG4_RAT ATP-binding cassette subfamily G member 4 OS=Rattus norvegicus OX=10116 GN=Abcg4 PE=2 SV=1
g19889.t1	sp|Q91WA9|ABCG4_MOUSE	51.613	62	82	646	73	4.28e-11	64.3	sp|Q91WA9|ABCG4_MOUSE ATP-binding cassette subfamily G member 4 OS=Mus musculus OX=10090 GN=Abcg4 PE=1 SV=2
g19890.t1	sp|O13067|CND2_XENLA	30.919	359	392	699	85	5.15e-32	135	sp|O13067|CND2_XENLA Condensin complex subunit 2 OS=Xenopus laevis OX=8355 GN=ncaph PE=1 SV=1
g19890.t1	sp|Q8C156|CND2_MOUSE	29.379	354	392	731	85	1.06e-26	119	sp|Q8C156|CND2_MOUSE Condensin complex subunit 2 OS=Mus musculus OX=10090 GN=Ncaph PE=1 SV=1
g19890.t1	sp|Q15003|CND2_HUMAN	29.157	415	392	741	97	1.16e-26	119	sp|Q15003|CND2_HUMAN Condensin complex subunit 2 OS=Homo sapiens OX=9606 GN=NCAPH PE=1 SV=3
g19890.t1	tr|A0A075AWC9|A0A075AWC9_ROZAC	27.143	350	392	707	86	7.36e-19	96.3	tr|A0A075AWC9|A0A075AWC9_ROZAC Condensin complex subunit 2 OS=Rozella allomycis (strain CSF55) OX=988480 GN=O9G_003840 PE=3 SV=1
g19890.t1	sp|Q564K3|CND2_ARATH	25.333	375	392	671	86	3.23e-15	85.1	sp|Q564K3|CND2_ARATH Condensin complex subunit 2 OS=Arabidopsis thaliana OX=3702 GN=CAPH PE=1 SV=1
g19891.t2	sp|Q566L7|LS14B_XENTR	46.746	169	568	382	50	7.24e-29	125	sp|Q566L7|LS14B_XENTR Protein LSM14 homolog B OS=Xenopus tropicalis OX=8364 GN=lsm14b PE=2 SV=1
g19891.t2	sp|Q566L7|LS14B_XENTR	48.000	125	568	382	50	4.01e-16	88.2	sp|Q566L7|LS14B_XENTR Protein LSM14 homolog B OS=Xenopus tropicalis OX=8364 GN=lsm14b PE=2 SV=1
g19891.t2	sp|Q498K9|L14BB_XENLA	46.746	169	568	380	50	4.32e-28	123	sp|Q498K9|L14BB_XENLA Protein LSM14 homolog B-B OS=Xenopus laevis OX=8355 GN=lsm14b-b PE=1 SV=1
g19891.t2	sp|Q498K9|L14BB_XENLA	48.000	125	568	380	50	1.37e-18	95.5	sp|Q498K9|L14BB_XENLA Protein LSM14 homolog B-B OS=Xenopus laevis OX=8355 GN=lsm14b-b PE=1 SV=1
g19891.t2	sp|Q9BX40|LS14B_HUMAN	47.953	171	568	385	50	1.55e-27	122	sp|Q9BX40|LS14B_HUMAN Protein LSM14 homolog B OS=Homo sapiens OX=9606 GN=LSM14B PE=1 SV=1
g19891.t2	sp|Q9BX40|LS14B_HUMAN	46.825	126	568	385	50	5.44e-17	90.9	sp|Q9BX40|LS14B_HUMAN Protein LSM14 homolog B OS=Homo sapiens OX=9606 GN=LSM14B PE=1 SV=1
g19891.t2	sp|Q68FI1|L14BA_XENLA	61.224	98	568	422	38	2.72e-27	122	sp|Q68FI1|L14BA_XENLA Protein LSM14 homolog B-A OS=Xenopus laevis OX=8355 GN=lsm14b-a PE=1 SV=1
g19891.t2	sp|Q68FI1|L14BA_XENLA	49.600	125	568	422	38	1.43e-16	90.1	sp|Q68FI1|L14BA_XENLA Protein LSM14 homolog B-A OS=Xenopus laevis OX=8355 GN=lsm14b-a PE=1 SV=1
g19891.t2	sp|Q8CGC4|LS14B_MOUSE	51.493	134	568	385	44	3.82e-27	120	sp|Q8CGC4|LS14B_MOUSE Protein LSM14 homolog B OS=Mus musculus OX=10090 GN=Lsm14b PE=1 SV=3
g19891.t2	sp|Q8CGC4|LS14B_MOUSE	46.457	127	568	385	44	7.01e-16	87.4	sp|Q8CGC4|LS14B_MOUSE Protein LSM14 homolog B OS=Mus musculus OX=10090 GN=Lsm14b PE=1 SV=3
g19892.t1	sp|Q70UP5|ADH2_CERCO	36.250	160	176	258	91	7.80e-27	108	sp|Q70UP5|ADH2_CERCO Alcohol dehydrogenase 2 OS=Ceratitis cosyra OX=194917 GN=ADH2 PE=3 SV=1
g19892.t1	sp|P48815|ADH2_CERCA	36.250	160	176	258	91	7.80e-27	108	sp|P48815|ADH2_CERCA Alcohol dehydrogenase 2 OS=Ceratitis capitata OX=7213 GN=ADH2 PE=3 SV=1
g19892.t1	sp|P48814|ADH1_CERCA	36.646	161	176	257	91	1.16e-25	105	sp|P48814|ADH1_CERCA Alcohol dehydrogenase 1 OS=Ceratitis capitata OX=7213 GN=ADH1 PE=3 SV=1
g19892.t1	sp|Q70UP6|ADH2_CERRO	35.625	160	176	258	91	1.58e-25	105	sp|Q70UP6|ADH2_CERRO Alcohol dehydrogenase 2 OS=Ceratitis rosa OX=56958 GN=ADH2 PE=3 SV=1
g19892.t1	sp|Q9NAR7|ADH_BACOL	35.000	160	176	258	91	4.32e-25	103	sp|Q9NAR7|ADH_BACOL Alcohol dehydrogenase OS=Bactrocera oleae OX=104688 GN=ADH PE=2 SV=1
g19894.t1	sp|B0JFB8|FPI1_ANTMY	78.667	75	113	105	66	4.65e-36	125	sp|B0JFB8|FPI1_ANTMY Fungal protease inhibitor-1 OS=Antheraea mylitta OX=34739 GN=fpi-1 PE=1 SV=1
g19897.t1	sp|Q9VSH4|CPSF6_DROME	51.648	182	175	652	100	4.86e-46	166	sp|Q9VSH4|CPSF6_DROME Cleavage and polyadenylation specificity factor subunit 6 OS=Drosophila melanogaster OX=7227 GN=Cpsf6 PE=1 SV=2
g19897.t1	sp|Q6NVF9|CPSF6_MOUSE	46.286	175	175	551	99	2.57e-35	136	sp|Q6NVF9|CPSF6_MOUSE Cleavage and polyadenylation specificity factor subunit 6 OS=Mus musculus OX=10090 GN=Cpsf6 PE=1 SV=1
g19897.t1	sp|Q16630|CPSF6_HUMAN	46.286	175	175	551	99	3.63e-35	135	sp|Q16630|CPSF6_HUMAN Cleavage and polyadenylation specificity factor subunit 6 OS=Homo sapiens OX=9606 GN=CPSF6 PE=1 SV=2
g19897.t1	sp|Q0P5D2|CPSF6_BOVIN	46.286	175	175	551	99	3.63e-35	135	sp|Q0P5D2|CPSF6_BOVIN Cleavage and polyadenylation specificity factor subunit 6 OS=Bos taurus OX=9913 GN=CPSF6 PE=2 SV=1
g19897.t1	sp|Q5ZL34|CPSF6_CHICK	44.571	175	175	551	99	7.62e-35	134	sp|Q5ZL34|CPSF6_CHICK Cleavage and polyadenylation specificity factor subunit 6 OS=Gallus gallus OX=9031 GN=CPSF6 PE=2 SV=1
g19901.t1	sp|Q5HZY0|UBXN4_RAT	33.513	558	532	506	100	4.88e-63	221	sp|Q5HZY0|UBXN4_RAT UBX domain-containing protein 4 OS=Rattus norvegicus OX=10116 GN=Ubxn4 PE=1 SV=1
g19901.t1	sp|Q8VCH8|UBXN4_MOUSE	32.977	561	532	506	100	9.33e-59	209	sp|Q8VCH8|UBXN4_MOUSE UBX domain-containing protein 4 OS=Mus musculus OX=10090 GN=Ubxn4 PE=1 SV=1
g19901.t1	sp|Q5R4I3|UBXN4_PONAB	31.738	564	532	508	100	1.96e-57	206	sp|Q5R4I3|UBXN4_PONAB UBX domain-containing protein 4 OS=Pongo abelii OX=9601 GN=UBXN4 PE=2 SV=1
g19901.t1	sp|Q92575|UBXN4_HUMAN	31.560	564	532	508	100	5.87e-57	205	sp|Q92575|UBXN4_HUMAN UBX domain-containing protein 4 OS=Homo sapiens OX=9606 GN=UBXN4 PE=1 SV=2
g19901.t1	sp|Q3ZBU9|UBXN4_BOVIN	31.972	563	532	508	100	2.17e-55	201	sp|Q3ZBU9|UBXN4_BOVIN UBX domain-containing protein 4 OS=Bos taurus OX=9913 GN=UBXN4 PE=2 SV=2
g19902.t1	sp|Q8TD57|DYH3_HUMAN	56.149	2960	3059	4116	96	0.0	3332	sp|Q8TD57|DYH3_HUMAN Dynein axonemal heavy chain 3 OS=Homo sapiens OX=9606 GN=DNAH3 PE=1 SV=1
g19902.t1	sp|Q8BW94|DYH3_MOUSE	55.912	2960	3059	4083	96	0.0	3306	sp|Q8BW94|DYH3_MOUSE Dynein axonemal heavy chain 3 OS=Mus musculus OX=10090 GN=Dnah3 PE=1 SV=2
g19902.t1	tr|A0A0L0H778|A0A0L0H778_SPIPD	52.027	2960	3059	4099	96	0.0	3127	tr|A0A0L0H778|A0A0L0H778_SPIPD Dynein axonemal heavy chain 7 OS=Spizellomyces punctatus (strain DAOM BR117) OX=645134 GN=SPPG_07663 PE=3 SV=1
g19902.t1	tr|A0A507E7Q4|A0A507E7Q4_9FUNG	51.267	2959	3059	4105	96	0.0	3095	tr|A0A507E7Q4|A0A507E7Q4_9FUNG Dynein axonemal heavy chain 7 OS=Powellomyces hirtus OX=109895 GN=PhCBS80983_g02164 PE=3 SV=1
g19902.t1	tr|A0AAD5S8N4|A0AAD5S8N4_9FUNG	51.655	2960	3059	4104	96	0.0	3082	tr|A0AAD5S8N4|A0AAD5S8N4_9FUNG Dynein axonemal heavy chain 7 OS=Rhizophlyctis rosea OX=64517 GN=DNAH7_3 PE=3 SV=1
g19904.t1	sp|Q27607|DPOG1_DROME	57.090	268	267	1145	99	2.13e-95	310	sp|Q27607|DPOG1_DROME DNA polymerase subunit gamma-1, mitochondrial OS=Drosophila melanogaster OX=7227 GN=PolG1 PE=1 SV=2
g19904.t1	sp|Q92076|DPOG1_CHICK	47.601	271	267	647	97	7.30e-75	246	sp|Q92076|DPOG1_CHICK DNA polymerase subunit gamma-1 (Fragment) OS=Gallus gallus OX=9031 GN=POLG PE=2 SV=1
g19904.t1	sp|Q91684|DPOG1_XENLA	49.630	270	267	1200	97	1.90e-74	253	sp|Q91684|DPOG1_XENLA DNA polymerase subunit gamma-1 OS=Xenopus laevis OX=8355 GN=polg PE=2 SV=1
g19904.t1	sp|P54099|DPOG1_MOUSE	50.183	273	267	1218	97	3.56e-72	246	sp|P54099|DPOG1_MOUSE DNA polymerase subunit gamma-1 OS=Mus musculus OX=10090 GN=Polg PE=1 SV=3
g19904.t1	sp|Q9QYV8|DPOG1_RAT	49.446	271	267	1216	97	5.15e-72	246	sp|Q9QYV8|DPOG1_RAT DNA polymerase subunit gamma-1 OS=Rattus norvegicus OX=10116 GN=Polg PE=2 SV=1
g19905.t1	sp|O54692|ZW10_MOUSE	23.559	399	671	779	55	9.04e-19	99.0	sp|O54692|ZW10_MOUSE Centromere/kinetochore protein zw10 homolog OS=Mus musculus OX=10090 GN=Zw10 PE=1 SV=3
g19905.t1	sp|Q4V8C2|ZW10_RAT	22.864	398	671	777	55	1.89e-18	98.2	sp|Q4V8C2|ZW10_RAT Centromere/kinetochore protein zw10 homolog OS=Rattus norvegicus OX=10116 GN=Zw10 PE=2 SV=3
g19905.t1	sp|O43264|ZW10_HUMAN	23.515	404	671	779	55	6.03e-17	93.2	sp|O43264|ZW10_HUMAN Centromere/kinetochore protein zw10 homolog OS=Homo sapiens OX=9606 GN=ZW10 PE=1 SV=3
g19905.t1	sp|Q5RFM4|ZW10_PONAB	23.515	404	671	779	55	6.47e-17	93.2	sp|Q5RFM4|ZW10_PONAB Centromere/kinetochore protein zw10 homolog OS=Pongo abelii OX=9601 GN=ZW10 PE=2 SV=3
g19905.t1	tr|A0A9N8ZCB3|A0A9N8ZCB3_9GLOM	23.345	287	671	735	40	2.16e-12	78.6	tr|A0A9N8ZCB3|A0A9N8ZCB3_9GLOM 6252_t:CDS:1 OS=Paraglomus occultum OX=144539 GN=POCULU_LOCUS1491 PE=4 SV=1
g19908.t1	tr|A0A015J5I9|A0A015J5I9_RHIIW	54.651	86	147	1303	94	1.95e-25	108	tr|A0A015J5I9|A0A015J5I9_RHIIW Gag-pol fusion protein OS=Rhizophagus irregularis (strain DAOM 197198w) OX=1432141 GN=RirG_273610 PE=4 SV=1
g19908.t1	tr|A0A015J5I9|A0A015J5I9_RHIIW	50.000	52	147	1303	94	4.84e-10	63.9	tr|A0A015J5I9|A0A015J5I9_RHIIW Gag-pol fusion protein OS=Rhizophagus irregularis (strain DAOM 197198w) OX=1432141 GN=RirG_273610 PE=4 SV=1
g19908.t1	tr|A0A4Y9Y4W2|A0A4Y9Y4W2_9AGAM	54.023	87	147	1510	59	8.65e-25	106	tr|A0A4Y9Y4W2|A0A4Y9Y4W2_9AGAM Integrase catalytic domain-containing protein OS=Dentipellis fragilis OX=205917 GN=EVG20_g8648 PE=4 SV=1
g19908.t1	tr|A0AAD5YBZ2|A0AAD5YBZ2_9APHY	56.579	76	147	1331	52	1.96e-20	94.0	tr|A0AAD5YBZ2|A0AAD5YBZ2_9APHY Polyprotein OS=Meripilus lineatus OX=2056292 GN=NLI96_g12893 PE=4 SV=1
g19908.t1	sp|P10978|POLX_TOBAC	49.367	79	147	1328	54	1.19e-19	91.7	sp|P10978|POLX_TOBAC Retrovirus-related Pol polyprotein from transposon TNT 1-94 OS=Nicotiana tabacum OX=4097 PE=2 SV=1
g19908.t1	tr|K5WUP8|K5WUP8_AGABU	50.000	76	147	124	52	1.29e-19	85.5	tr|K5WUP8|K5WUP8_AGABU Integrase catalytic domain-containing protein OS=Agaricus bisporus var. burnettii (strain JB137-S8 / ATCC MYA-4627 / FGSC 10392) OX=597362 GN=AGABI1DRAFT_48263 PE=4 SV=1
g19911.t1	tr|A0A015J5I9|A0A015J5I9_RHIIW	55.556	306	402	1303	74	6.42e-99	327	tr|A0A015J5I9|A0A015J5I9_RHIIW Gag-pol fusion protein OS=Rhizophagus irregularis (strain DAOM 197198w) OX=1432141 GN=RirG_273610 PE=4 SV=1
g19911.t1	sp|P10978|POLX_TOBAC	44.409	313	402	1328	78	2.08e-75	262	sp|P10978|POLX_TOBAC Retrovirus-related Pol polyprotein from transposon TNT 1-94 OS=Nicotiana tabacum OX=4097 PE=2 SV=1
g19911.t1	tr|A0A0C3AUA9|A0A0C3AUA9_SERVB	39.785	279	402	302	69	1.75e-69	228	tr|A0A0C3AUA9|A0A0C3AUA9_SERVB Reverse transcriptase Ty1/copia-type domain-containing protein (Fragment) OS=Serendipita vermifera MAFF 305830 OX=933852 GN=M408DRAFT_32180 PE=4 SV=1
g19911.t1	tr|A0A1M2VT27|A0A1M2VT27_TRAPU	43.103	290	402	443	72	9.29e-69	230	tr|A0A1M2VT27|A0A1M2VT27_TRAPU Retrovirus-related Pol polyprotein from transposon TNT 1-94 (Fragment) OS=Trametes pubescens OX=154538 GN=TRAPUB_12736 PE=4 SV=1
g19911.t1	tr|A0A075B126|A0A075B126_ROZAC	40.203	296	402	329	73	1.56e-68	226	tr|A0A075B126|A0A075B126_ROZAC Reverse transcriptase Ty1/copia-type domain-containing protein (Fragment) OS=Rozella allomycis (strain CSF55) OX=988480 GN=O9G_005735 PE=4 SV=1
g19912.t1	tr|A0A0L0SNT7|A0A0L0SNT7_ALLM3	35.329	167	351	413	47	1.28e-14	82.0	tr|A0A0L0SNT7|A0A0L0SNT7_ALLM3 Uncharacterized protein OS=Allomyces macrogynus (strain ATCC 38327) OX=578462 GN=AMAG_09206 PE=4 SV=1
g19912.t1	tr|A0AAD5S526|A0AAD5S526_9FUNG	30.435	184	351	379	52	1.55e-13	78.6	tr|A0AAD5S526|A0AAD5S526_9FUNG Spermatogenesis-associated protein 17 OS=Rhizophlyctis rosea OX=64517 GN=SPATA17 PE=4 SV=1
g19912.t1	tr|A0A0L0HSD1|A0A0L0HSD1_SPIPD	33.140	172	351	414	48	4.06e-13	77.4	tr|A0A0L0HSD1|A0A0L0HSD1_SPIPD Spermatogenesis-associated protein 17 OS=Spizellomyces punctatus (strain DAOM BR117) OX=645134 GN=SPPG_01435 PE=4 SV=1
g19912.t1	sp|Q96L03|SPT17_HUMAN	30.000	210	351	361	59	1.75e-12	75.5	sp|Q96L03|SPT17_HUMAN Spermatogenesis-associated protein 17 OS=Homo sapiens OX=9606 GN=SPATA17 PE=1 SV=1
g19912.t1	sp|Q4R7Z7|SPT17_MACFA	29.048	210	351	361	59	8.69e-12	73.2	sp|Q4R7Z7|SPT17_MACFA Spermatogenesis-associated protein 17 OS=Macaca fascicularis OX=9541 GN=SPATA17 PE=2 SV=1
