gene_id,best_hit_accession,best_hit_species,identity_pct,query_coverage_pct,evalue,bitscore,classification,qc_decision,total_blast_hits,qualifying_hits,best_hit_description
g19872.t1,sp|P83863|H2B_PENVA,Penaeus vannamei,96.154,98.0,3.61e-30,107.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|P83863|H2B_PENVA Histone H2B (Fragments) OS=Penaeus vannamei OX=6689 PE=1 SV=2
g19979.t1,sp|Q9NRA2|S17A5_HUMAN,Homo sapiens,36.898,73.0,1.1300000000000001e-26,114.0,Other non-arthropod,FLAG_REVIEW,2,2,sp|Q9NRA2|S17A5_HUMAN Sialin OS=Homo sapiens OX=9606 GN=SLC17A5 PE=1 SV=2
g19989.t1,sp|O95622|ADCY5_HUMAN,Homo sapiens,43.478,90.0,5.22e-146,462.0,Other non-arthropod,FLAG_REVIEW,10,10,sp|O95622|ADCY5_HUMAN Adenylate cyclase type 5 OS=Homo sapiens OX=9606 GN=ADCY5 PE=1 SV=3
g19993.t1,sp|Q7SXS7|SETD3_DANRE,Danio rerio,37.643,100.0,1.43e-42,159.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q7SXS7|SETD3_DANRE Actin-histidine N-methyltransferase OS=Danio rerio OX=7955 GN=setd3 PE=2 SV=1
g20000.t1,sp|A4IH88|K2013_XENTR,Xenopus tropicalis,30.843,82.0,2.3e-76,261.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|A4IH88|K2013_XENTR Uncharacterized protein KIAA2013 homolog OS=Xenopus tropicalis OX=8364 PE=2 SV=1
g20004.t1,sp|A2AGA4|RHBL2_MOUSE,Mus musculus,44.304,76.0,3.68e-55,187.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|A2AGA4|RHBL2_MOUSE Rhomboid-related protein 2 OS=Mus musculus OX=10090 GN=Rhbdl2 PE=1 SV=1
g20008.t1,tr|A8N7Q4|A8N7Q4_COPC7,Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003),53.676,100.0,5.85e-22,94.7,Other non-arthropod,FLAG_REVIEW,19,19,tr|A8N7Q4|A8N7Q4_COPC7 Uncharacterized protein OS=Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003) OX=240176 GN=CC1G_02311 PE=4 SV=1
g20010.t1,sp|P35670|ATP7B_HUMAN,Homo sapiens,44.009,98.0,0.0,716.0,Other non-arthropod,FLAG_REVIEW,8,8,sp|P35670|ATP7B_HUMAN Copper-transporting ATPase 2 OS=Homo sapiens OX=9606 GN=ATP7B PE=1 SV=4
g20012.t1,sp|P52162|MAX_CHICK,Gallus gallus,59.864,85.0,2.1199999999999998e-45,153.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|P52162|MAX_CHICK Protein max OS=Gallus gallus OX=9031 GN=MAX PE=3 SV=1
g20014.t1,sp|O54863|TSSK2_MOUSE,Mus musculus,41.056,96.0,3.63e-83,263.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|O54863|TSSK2_MOUSE Testis-specific serine/threonine-protein kinase 2 OS=Mus musculus OX=10090 GN=Tssk2 PE=1 SV=2
g20020.t1,sp|Q8IZ13|F200C_HUMAN,Homo sapiens,46.414,99.0,5.5e-70,231.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q8IZ13|F200C_HUMAN Protein FAM200C OS=Homo sapiens OX=9606 GN=FAM200C PE=1 SV=1
g20021.t1,sp|Q8IZ13|F200C_HUMAN,Homo sapiens,44.765,99.0,8.07e-77,251.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q8IZ13|F200C_HUMAN Protein FAM200C OS=Homo sapiens OX=9606 GN=FAM200C PE=1 SV=1
g20040.t1,sp|Q96G03|PGM2_HUMAN,Homo sapiens,50.321,98.0,2.28e-150,448.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q96G03|PGM2_HUMAN Phosphopentomutase OS=Homo sapiens OX=9606 GN=PGM2 PE=1 SV=4
g20041.t1,sp|Q7TN73|CASD1_MOUSE,Mus musculus,38.542,98.0,3.1e-33,132.0,Other non-arthropod,FLAG_REVIEW,3,3,sp|Q7TN73|CASD1_MOUSE N-acetylneuraminate (7)9-O-acetyltransferase OS=Mus musculus OX=10090 GN=Casd1 PE=2 SV=1
g20042.t1,sp|P26305|LPSBP_PERAM,Periplaneta americana,35.385,89.0,3.57e-18,84.7,Other non-arthropod,FLAG_REVIEW,1,1,sp|P26305|LPSBP_PERAM Hemolymph lipopolysaccharide-binding protein OS=Periplaneta americana OX=6978 PE=1 SV=1
g20043.t1,sp|P26305|LPSBP_PERAM,Periplaneta americana,37.008,77.0,1.55e-19,93.2,Other non-arthropod,FLAG_REVIEW,1,1,sp|P26305|LPSBP_PERAM Hemolymph lipopolysaccharide-binding protein OS=Periplaneta americana OX=6978 PE=1 SV=1
g20044.t1,sp|P55042|RAD_HUMAN,Homo sapiens,36.898,85.0,7.78e-27,110.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|P55042|RAD_HUMAN GTP-binding protein RAD OS=Homo sapiens OX=9606 GN=RRAD PE=1 SV=2
g20055.t1,sp|Q5NCX5|NEUL4_MOUSE,Mus musculus,38.217,75.0,0.0,784.0,Other non-arthropod,FLAG_REVIEW,6,6,sp|Q5NCX5|NEUL4_MOUSE Neuralized-like protein 4 OS=Mus musculus OX=10090 GN=Neurl4 PE=1 SV=1
g20057.t1,sp|Q5PQL2|CNOT9_RAT,Rattus norvegicus,85.926,95.0,7.03e-172,483.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q5PQL2|CNOT9_RAT CCR4-NOT transcription complex subunit 9 OS=Rattus norvegicus OX=10116 GN=Cnot9 PE=1 SV=1
g20058.t1,tr|A0A4V1AEK1|A0A4V1AEK1_9ASCO,Metschnikowia aff. pulcherrima,36.726,70.0,1.1400000000000001e-33,138.0,Other non-arthropod,FLAG_REVIEW,6,6,tr|A0A4V1AEK1|A0A4V1AEK1_9ASCO Zn-finger OS=Metschnikowia aff. pulcherrima OX=2163413 GN=MPUL0D05680 PE=3 SV=1
g20059.t2,sp|Q9C0G6|DYH6_HUMAN,Homo sapiens,50.967,93.0,0.0,2714.0,Other non-arthropod,FLAG_REVIEW,7,7,sp|Q9C0G6|DYH6_HUMAN Dynein axonemal heavy chain 6 OS=Homo sapiens OX=9606 GN=DNAH6 PE=1 SV=3
g20071.t1,sp|Q9D9B4|LRMDA_MOUSE,Mus musculus,46.725,96.0,3.47e-62,201.0,Other non-arthropod,FLAG_REVIEW,2,2,sp|Q9D9B4|LRMDA_MOUSE Leucine-rich melanocyte differentiation-associated protein OS=Mus musculus OX=10090 GN=Lrmda PE=1 SV=1
g20075.t1,sp|A0JPA6|LYRM7_XENTR,Xenopus tropicalis,42.268,80.0,1.87e-13,68.2,Other non-arthropod,FLAG_REVIEW,1,1,sp|A0JPA6|LYRM7_XENTR Complex III assembly factor LYRM7 OS=Xenopus tropicalis OX=8364 GN=lyrm7 PE=3 SV=1
g20077.t1,sp|P30427|PLEC_RAT,Rattus norvegicus,30.293,78.0,1.4999999999999999e-146,504.0,Other non-arthropod,FLAG_REVIEW,3,3,sp|P30427|PLEC_RAT Plectin OS=Rattus norvegicus OX=10116 GN=Plec PE=1 SV=2
g20080.t1,sp|P49696|SYVC_TAKRU,Takifugu rubripes,36.364,100.0,4.18e-38,147.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|P49696|SYVC_TAKRU Valine--tRNA ligase OS=Takifugu rubripes OX=31033 GN=vars1 PE=3 SV=1
g20084.t1,sp|O31712|YKNZ_BACSU,Bacillus subtilis (strain 168),38.435,78.0,1.6e-39,151.0,Bacterial,FLAG_POSSIBLE_CONTAMINATION,5,5,sp|O31712|YKNZ_BACSU Uncharacterized ABC transporter permease YknZ OS=Bacillus subtilis (strain 168) OX=224308 GN=yknZ PE=1 SV=1
g20087.t1,sp|Q06581|PILT_NEIGO,Neisseria gonorrhoeae,50.164,97.0,3.62e-97,298.0,Other non-arthropod,FLAG_REVIEW,4,4,sp|Q06581|PILT_NEIGO Twitching motility protein OS=Neisseria gonorrhoeae OX=485 GN=pilT PE=3 SV=1
g20093.t1,sp|P49938|FHUC_BACSU,Bacillus subtilis (strain 168),62.088,99.0,1.04e-81,249.0,Bacterial,FLAG_POSSIBLE_CONTAMINATION,5,5,sp|P49938|FHUC_BACSU Iron(3+)-hydroxamate import ATP-binding protein FhuC OS=Bacillus subtilis (strain 168) OX=224308 GN=fhuC PE=3 SV=1
g20094.t1,sp|P37580|FHUD_BACSU,Bacillus subtilis (strain 168),32.292,93.0,7.6e-41,150.0,Bacterial,FLAG_POSSIBLE_CONTAMINATION,2,2,sp|P37580|FHUD_BACSU Iron(3+)-hydroxamate-binding protein FhuD OS=Bacillus subtilis (strain 168) OX=224308 GN=fhuD PE=1 SV=1
g20095.t1,sp|Q5L9Q6|DAPDH_BACFN,Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / CCUG 4856 / JCM 11019 / LMG 10263 / NCTC 9343 / Onslow / VPI 2553 / EN-2),62.542,100.0,5.46e-138,398.0,Bacterial,FLAG_POSSIBLE_CONTAMINATION,5,5,sp|Q5L9Q6|DAPDH_BACFN Meso-diaminopimelate D-dehydrogenase OS=Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / CCUG 4856 / JCM 11019 / LMG 10263 / NCTC 9343 / Onslow / VPI 2553 / EN-2) OX=272559 GN=ddh PE=1 SV=1
g20098.t1,sp|Q0TNZ8|PBPA_CLOP1,Clostridium perfringens (strain ATCC 13124 / DSM 756 / JCM 1290 / NCIMB 6125 / NCTC 8237 / Type A),33.151,81.0,2.1200000000000002e-99,335.0,Bacterial,FLAG_POSSIBLE_CONTAMINATION,5,5,sp|Q0TNZ8|PBPA_CLOP1 Penicillin-binding protein 1A OS=Clostridium perfringens (strain ATCC 13124 / DSM 756 / JCM 1290 / NCIMB 6125 / NCTC 8237 / Type A) OX=195103 GN=pbpA PE=3 SV=1
g20100.t1,tr|A0ACC2ZR40|A0ACC2ZR40_9EURO,Neophaeococcomyces mojaviensis,31.231,79.0,9.6e-44,169.0,Other non-arthropod,FLAG_REVIEW,3,3,tr|A0ACC2ZR40|A0ACC2ZR40_9EURO Uncharacterized protein (Fragment) OS=Neophaeococcomyces mojaviensis OX=3383035 GN=H2198_010814 PE=3 SV=1
g20109.t1,tr|A0ACC2ZR40|A0ACC2ZR40_9EURO,Neophaeococcomyces mojaviensis,31.231,79.0,9.6e-44,169.0,Other non-arthropod,FLAG_REVIEW,3,3,tr|A0ACC2ZR40|A0ACC2ZR40_9EURO Uncharacterized protein (Fragment) OS=Neophaeococcomyces mojaviensis OX=3383035 GN=H2198_010814 PE=3 SV=1
g20123.t1,sp|A3QJU3|COQ8B_DANRE,Danio rerio,50.0,78.0,2.2499999999999997e-172,509.0,Other non-arthropod,FLAG_REVIEW,5,5,"sp|A3QJU3|COQ8B_DANRE Atypical kinase COQ8B, mitochondrial OS=Danio rerio OX=7955 GN=coq8b PE=3 SV=2"
g20124.t1,sp|P85971|6PGL_RAT,Rattus norvegicus,51.724,96.0,1.87e-75,235.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|P85971|6PGL_RAT 6-phosphogluconolactonase OS=Rattus norvegicus OX=10116 GN=Pgls PE=1 SV=1
g20130.t1,sp|Q9CPW7|ZMAT2_MOUSE,Mus musculus,60.406,99.0,1.58e-72,224.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q9CPW7|ZMAT2_MOUSE Zinc finger matrin-type protein 2 OS=Mus musculus OX=10090 GN=Zmat2 PE=2 SV=1
g20140.t1,sp|Q8R367|RERG_MOUSE,Mus musculus,40.31,92.0,3.32e-19,85.9,Other non-arthropod,FLAG_REVIEW,4,4,sp|Q8R367|RERG_MOUSE Ras-related and estrogen-regulated growth inhibitor OS=Mus musculus OX=10090 GN=Rerg PE=2 SV=1
g20145.t1,sp|P27487|DPP4_HUMAN,Homo sapiens,37.555,97.0,6.88e-37,144.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|P27487|DPP4_HUMAN Dipeptidyl peptidase 4 OS=Homo sapiens OX=9606 GN=DPP4 PE=1 SV=2
g20147.t1,sp|Q9D1M0|SEC13_MOUSE,Mus musculus,65.696,97.0,2.2e-143,413.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q9D1M0|SEC13_MOUSE Protein SEC13 homolog OS=Mus musculus OX=10090 GN=Sec13 PE=1 SV=3
g20148.t1,sp|Q9WVF7|DPOE1_MOUSE,Mus musculus,40.385,94.0,1.54e-50,185.0,Other non-arthropod,FLAG_REVIEW,4,4,sp|Q9WVF7|DPOE1_MOUSE DNA polymerase epsilon catalytic subunit A OS=Mus musculus OX=10090 GN=Pole PE=1 SV=3
g20151.t1,sp|P29981|CP4C1_BLADI,Blaberus discoidalis,34.055,72.0,1.39e-93,306.0,Other non-arthropod,FLAG_REVIEW,1,1,sp|P29981|CP4C1_BLADI Cytochrome P450 4C1 OS=Blaberus discoidalis OX=6981 GN=CYP4C1 PE=2 SV=1
g20167.t1,sp|P48545|KCNJ5_MOUSE,Mus musculus,37.534,89.0,5.42e-83,266.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|P48545|KCNJ5_MOUSE G protein-activated inward rectifier potassium channel 4 OS=Mus musculus OX=10090 GN=Kcnj5 PE=1 SV=3
g20168.t1,tr|A0A9N9U8Q8|A0A9N9U8Q8_9HYPO,Clonostachys byssicola,43.354,95.0,2.82e-76,243.0,Other non-arthropod,FLAG_REVIEW,5,5,tr|A0A9N9U8Q8|A0A9N9U8Q8_9HYPO Tryptophan synthase beta chain-like PALP domain-containing protein OS=Clonostachys byssicola OX=160290 GN=CBYS24578_00012168 PE=4 SV=1
g20169.t1,tr|A0ABY6U9S1|A0ABY6U9S1_BIOOC,Bionectria ochroleuca,42.357,94.0,9.73e-78,247.0,Other non-arthropod,FLAG_REVIEW,5,5,tr|A0ABY6U9S1|A0ABY6U9S1_BIOOC Tryptophan synthase beta chain-like PALP domain-containing protein OS=Bionectria ochroleuca OX=29856 GN=CLO192961_LOCUS221685 PE=4 SV=1
g20192.t1,sp|Q5RB35|MKLN1_PONAB,Pongo abelii,44.749,95.0,3.14e-66,224.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q5RB35|MKLN1_PONAB Muskelin OS=Pongo abelii OX=9601 GN=MKLN1 PE=2 SV=1
g20198.t1,sp|Q9UIC8|LCMT1_HUMAN,Homo sapiens,47.02,94.0,1.47e-87,272.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q9UIC8|LCMT1_HUMAN Leucine carboxyl methyltransferase 1 OS=Homo sapiens OX=9606 GN=LCMT1 PE=1 SV=2
g20204.t1,sp|Q91ZH7|ABHD3_MOUSE,Mus musculus,35.673,93.0,1.28e-62,211.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q91ZH7|ABHD3_MOUSE Phospholipase ABHD3 OS=Mus musculus OX=10090 GN=Abhd3 PE=1 SV=1
g20215.t1,sp|O00628|PEX7_HUMAN,Homo sapiens,45.955,93.0,5.02e-88,273.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|O00628|PEX7_HUMAN Peroxisomal targeting signal 2 receptor OS=Homo sapiens OX=9606 GN=PEX7 PE=1 SV=1
g20216.t1,tr|A0A8H3VT11|A0A8H3VT11_9PEZI,Colletotrichum asianum,73.956,100.0,0.0,658.0,Other non-arthropod,FLAG_REVIEW,5,5,tr|A0A8H3VT11|A0A8H3VT11_9PEZI Arrestin C-terminal-like domain-containing protein OS=Colletotrichum asianum OX=702518 GN=GQ607_017965 PE=3 SV=1
g20223.t1,sp|Q8VEM8|S25A3_MOUSE,Mus musculus,58.966,94.0,9.76e-125,367.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q8VEM8|S25A3_MOUSE Solute carrier family 25 member 3 OS=Mus musculus OX=10090 GN=Slc25a3 PE=1 SV=1
g20225.t1,sp|Q5FWU8|ZMY10_XENLA,Xenopus laevis,33.465,98.0,1.7800000000000001e-43,159.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q5FWU8|ZMY10_XENLA Zinc finger MYND domain-containing protein 10 OS=Xenopus laevis OX=8355 GN=zmynd10 PE=2 SV=1
g20231.t1,tr|A0A8H7RV42|A0A8H7RV42_9FUNG,Circinella minor,31.266,96.0,3.53e-41,158.0,Other non-arthropod,FLAG_REVIEW,5,5,tr|A0A8H7RV42|A0A8H7RV42_9FUNG PiggyBac transposable element-derived protein domain-containing protein OS=Circinella minor OX=1195481 GN=INT45_003049 PE=4 SV=1
g20254.t1,sp|Q9H9H4|VP37B_HUMAN,Homo sapiens,32.663,93.0,1.0699999999999998e-23,102.0,Other non-arthropod,FLAG_REVIEW,5,5,sp|Q9H9H4|VP37B_HUMAN Vacuolar protein sorting-associated protein 37B OS=Homo sapiens OX=9606 GN=VPS37B PE=1 SV=1
