Protein_ID	Header	Length_aa	Contains_X	Contains_internal_stop
g54.t1	g54.t1	87	No	No
g55.t1	g55.t1	420	Yes	No
g56.t1	g56.t1	110	No	No
g57.t1	g57.t1	119	No	No
g58.t1	g58.t1	211	No	No
g59.t1	g59.t1	180	No	No
g60.t1	g60.t1	73	No	No
g61.t1	g61.t1	296	No	No
g62.t1	g62.t1	92	No	No
g63.t1	g63.t1	196	No	No
g64.t1	g64.t1	678	No	No
g65.t1	g65.t1	369	No	No
g66.t1	g66.t1	81	No	No
g67.t1	g67.t1	55	Yes	No
g68.t1	g68.t1	119	No	No
g69.t1	g69.t1	244	No	No
g70.t1	g70.t1	278	No	No
g71.t2	g71.t2	260	No	No
g72.t1	g72.t1	241	No	No
g73.t1	g73.t1	265	No	No
g74.t1	g74.t1	735	No	No
g75.t1	g75.t1	253	No	No
g76.t1	g76.t1	125	No	No
g77.t1	g77.t1	148	No	No
g78.t1	g78.t1	274	No	No
g79.t1	g79.t1	152	No	No
g80.t1	g80.t1	720	No	No
g81.t1	g81.t1	92	No	No
g82.t1	g82.t1	178	No	No
g83.t1	g83.t1	93	No	No
g84.t1	g84.t1	96	No	No
g85.t1	g85.t1	72	No	No
g86.t1	g86.t1	526	No	No
g87.t1	g87.t1	261	No	No
g88.t1	g88.t1	352	No	No
g89.t1	g89.t1	161	No	No
g90.t1	g90.t1	102	Yes	No
g91.t1	g91.t1	58	Yes	No
g92.t1	g92.t1	149	Yes	No
g93.t1	g93.t1	485	No	No
g94.t1	g94.t1	328	No	No
g95.t1	g95.t1	1014	No	No
g96.t1	g96.t1	985	No	No
g97.t1	g97.t1	739	No	No
g98.t1	g98.t1	1373	No	No
g99.t1	g99.t1	160	No	No
g100.t1	g100.t1	990	No	No
g101.t1	g101.t1	266	No	No
g102.t1	g102.t1	460	No	No
g103.t1	g103.t1	232	No	No
g104.t1	g104.t1	711	No	No
g105.t1	g105.t1	312	No	No
g106.t1	g106.t1	102	No	No
g107.t1	g107.t1	446	No	No
g108.t1	g108.t1	151	No	No
g109.t1	g109.t1	226	No	No
g110.t1	g110.t1	218	Yes	No
g111.t1	g111.t1	170	No	No
g112.t1	g112.t1	290	No	No
g113.t1	g113.t1	561	No	No
g114.t1	g114.t1	302	No	No
g115.t1	g115.t1	748	No	No
g116.t1	g116.t1	481	No	No
g117.t1	g117.t1	303	Yes	No
g118.t1	g118.t1	84	No	No
g119.t1	g119.t1	1020	No	No
g120.t1	g120.t1	179	No	No
g121.t1	g121.t1	225	No	No
g122.t1	g122.t1	511	No	No
g123.t1	g123.t1	224	No	No
g124.t1	g124.t1	118	No	No
g125.t1	g125.t1	137	No	No
g126.t1	g126.t1	101	No	No
g127.t1	g127.t1	541	No	No
g128.t1	g128.t1	123	No	No
g129.t1	g129.t1	79	No	No
g130.t1	g130.t1	136	No	No
g131.t1	g131.t1	429	No	No
g132.t1	g132.t1	347	No	No
g133.t1	g133.t1	373	No	No
g134.t1	g134.t1	360	No	No
g135.t1	g135.t1	76	No	No
g136.t1	g136.t1	213	Yes	No
g137.t1	g137.t1	361	No	No
g138.t1	g138.t1	579	No	No
g139.t1	g139.t1	123	No	No
g140.t1	g140.t1	250	No	No
g141.t1	g141.t1	837	No	No
g142.t1	g142.t1	521	No	No
g143.t1	g143.t1	87	No	No
g144.t1	g144.t1	1357	No	No
g145.t1	g145.t1	87	No	No
g146.t1	g146.t1	87	No	No
g147.t1	g147.t1	128	No	No
g148.t1	g148.t1	1523	No	No
g149.t1	g149.t1	310	No	No
g150.t1	g150.t1	265	No	No
g151.t1	g151.t1	657	No	No
g152.t1	g152.t1	256	No	No
g153.t1	g153.t1	565	No	No
g154.t1	g154.t1	1077	No	No
g155.t1	g155.t1	169	Yes	No
g156.t1	g156.t1	1334	Yes	No
g157.t1	g157.t1	477	No	No
g158.t1	g158.t1	182	No	No
g159.t1	g159.t1	135	No	No
g160.t1	g160.t1	242	No	No
g161.t1	g161.t1	202	Yes	No
g162.t1	g162.t1	246	No	No
g163.t2	g163.t2	637	No	No
g164.t1	g164.t1	262	No	No
g165.t1	g165.t1	373	Yes	No
g166.t1	g166.t1	71	Yes	No
g167.t1	g167.t1	56	No	No
g168.t1	g168.t1	141	Yes	No
g169.t1	g169.t1	221	No	No
g170.t1	g170.t1	411	No	No
g171.t1	g171.t1	519	No	No
g172.t1	g172.t1	141	No	No
g173.t1	g173.t1	28	Yes	No
g174.t1	g174.t1	74	No	No
g175.t1	g175.t1	49	Yes	No
g176.t1	g176.t1	93	No	No
g177.t1	g177.t1	99	No	No
g178.t1	g178.t1	172	No	No
g179.t1	g179.t1	2550	No	No
g180.t1	g180.t1	138	No	No
g181.t1	g181.t1	506	No	No
g182.t1	g182.t1	343	No	No
g183.t1	g183.t1	47	Yes	No
g184.t1	g184.t1	120	No	No
g185.t1	g185.t1	456	Yes	No
g186.t1	g186.t1	793	No	No
g187.t1	g187.t1	565	No	No
g188.t1	g188.t1	536	No	No
g189.t1	g189.t1	271	No	No
g190.t1	g190.t1	418	No	No
g191.t1	g191.t1	88	No	No
g192.t1	g192.t1	43	No	No
g193.t1	g193.t1	296	No	No
g194.t1	g194.t1	81	No	No
g195.t1	g195.t1	126	Yes	No
g196.t1	g196.t1	252	No	No
g197.t1	g197.t1	147	No	No
g198.t1	g198.t1	249	No	No
g199.t1	g199.t1	189	No	No
g200.t1	g200.t1	798	No	No
g201.t1	g201.t1	91	No	No
g202.t1	g202.t1	447	No	No
g203.t1	g203.t1	127	No	No
g204.t1	g204.t1	571	No	No
g205.t1	g205.t1	90	No	No
g206.t1	g206.t1	119	No	No
g207.t1	g207.t1	205	No	No
g208.t1	g208.t1	680	No	No
g209.t1	g209.t1	363	No	No
g210.t1	g210.t1	859	No	No
g211.t1	g211.t1	128	Yes	No
g212.t1	g212.t1	154	Yes	No
g213.t1	g213.t1	137	No	No
g214.t1	g214.t1	68	No	No
g215.t1	g215.t1	211	No	No
g216.t1	g216.t1	621	No	No
g217.t1	g217.t1	99	No	No
g218.t1	g218.t1	352	No	No
g219.t1	g219.t1	194	No	No
g220.t1	g220.t1	42	Yes	No
g221.t1	g221.t1	98	No	No
g222.t1	g222.t1	354	Yes	No
g223.t1	g223.t1	188	No	No
g224.t1	g224.t1	193	No	No
g225.t1	g225.t1	607	No	No
g226.t1	g226.t1	68	No	No
g227.t1	g227.t1	1103	No	No
g228.t1	g228.t1	1046	Yes	No
g229.t1	g229.t1	367	No	No
g230.t1	g230.t1	96	No	No
g231.t1	g231.t1	284	No	No
g232.t1	g232.t1	743	No	No
g233.t1	g233.t1	208	No	No
g234.t1	g234.t1	365	No	No
g235.t2	g235.t2	302	No	No
g236.t1	g236.t1	1307	No	No
g237.t1	g237.t1	158	No	No
g238.t1	g238.t1	94	No	No
g239.t1	g239.t1	209	No	No
g240.t1	g240.t1	497	No	No
g241.t1	g241.t1	124	No	No
g242.t1	g242.t1	836	Yes	No
g243.t1	g243.t1	354	No	No
g244.t1	g244.t1	426	No	No
g245.t1	g245.t1	234	No	No
g246.t1	g246.t1	431	No	No
g247.t1	g247.t1	303	No	No
g248.t1	g248.t1	299	No	No
g249.t1	g249.t1	558	No	No
g250.t1	g250.t1	371	Yes	No
g251.t1	g251.t1	179	No	No
g252.t1	g252.t1	692	No	No
g253.t1	g253.t1	121	No	No
g254.t1	g254.t1	266	No	No
g255.t1	g255.t1	340	No	No
g256.t1	g256.t1	375	No	No
g257.t1	g257.t1	90	No	No
g258.t1	g258.t1	379	No	No
g259.t1	g259.t1	71	No	No
g260.t1	g260.t1	162	No	No
g261.t1	g261.t1	354	No	No
g262.t1	g262.t1	199	Yes	No
g263.t1	g263.t1	405	No	No
g264.t1	g264.t1	336	No	No
g265.t1	g265.t1	1835	No	No
g266.t1	g266.t1	230	No	No
g267.t1	g267.t1	140	No	No
g268.t1	g268.t1	117	No	No
g269.t1	g269.t1	190	No	No
g270.t1	g270.t1	146	No	No
g271.t1	g271.t1	348	No	No
g272.t1	g272.t1	90	No	No
g273.t1	g273.t1	116	No	No
g274.t1	g274.t1	3020	No	No
g275.t1	g275.t1	307	No	No
g276.t1	g276.t1	428	No	No
g277.t1	g277.t1	425	No	No
g278.t1	g278.t1	540	No	No
g279.t1	g279.t1	152	No	No
g280.t1	g280.t1	753	No	No
g281.t1	g281.t1	341	No	No
g282.t1	g282.t1	476	No	No
g283.t1	g283.t1	346	No	No
g284.t1	g284.t1	1182	No	No
g285.t1	g285.t1	290	No	No
g286.t1	g286.t1	92	No	No
g287.t1	g287.t1	92	No	No
g288.t1	g288.t1	219	No	No
g289.t1	g289.t1	166	No	No
g290.t1	g290.t1	168	No	No
g291.t1	g291.t1	97	No	No
g292.t1	g292.t1	240	No	No
g293.t1	g293.t1	502	No	No
g294.t1	g294.t1	192	No	No
g295.t1	g295.t1	123	No	No
g296.t1	g296.t1	180	No	No
g297.t1	g297.t1	122	No	No
g298.t1	g298.t1	136	No	No
g299.t1	g299.t1	169	No	No
g300.t1	g300.t1	884	No	No
g301.t1	g301.t1	153	No	No
g302.t1	g302.t1	179	No	No
g303.t1	g303.t1	174	No	No
g304.t1	g304.t1	185	No	No
g305.t1	g305.t1	155	No	No
g306.t1	g306.t1	335	No	No
g307.t1	g307.t1	170	No	No
g308.t1	g308.t1	163	No	No
g309.t1	g309.t1	136	No	No
g310.t1	g310.t1	71	No	No
g311.t1	g311.t1	78	No	No
g312.t1	g312.t1	657	No	No
g313.t1	g313.t1	100	No	No
g314.t1	g314.t1	363	No	No
g315.t1	g315.t1	365	No	No
g316.t1	g316.t1	313	No	No
g317.t1	g317.t1	727	No	No
g318.t1	g318.t1	263	No	No
g319.t1	g319.t1	113	Yes	No
g320.t1	g320.t1	169	No	No
g321.t1	g321.t1	181	No	No
g322.t1	g322.t1	120	No	No
g323.t1	g323.t1	151	Yes	No
g324.t1	g324.t1	77	No	No
g325.t1	g325.t1	127	No	No
g326.t1	g326.t1	391	No	No
g327.t1	g327.t1	74	No	No
g328.t1	g328.t1	159	No	No
g329.t1	g329.t1	433	No	No
g330.t1	g330.t1	523	No	No
g331.t1	g331.t1	404	No	No
g332.t1	g332.t1	1625	No	No
g333.t1	g333.t1	260	No	No
g334.t1	g334.t1	526	No	No
g335.t1	g335.t1	498	No	No
g336.t1	g336.t1	497	No	No
g337.t1	g337.t1	316	No	No
g338.t1	g338.t1	385	No	No
g339.t1	g339.t1	500	No	No
g340.t1	g340.t1	97	No	No
g341.t1	g341.t1	292	No	No
g342.t1	g342.t1	463	No	No
g343.t1	g343.t1	69	No	No
g344.t1	g344.t1	441	No	No
g345.t1	g345.t1	364	No	No
g346.t1	g346.t1	96	No	No
g347.t1	g347.t1	561	No	No
g348.t1	g348.t1	543	No	No
g349.t1	g349.t1	534	No	No
g350.t1	g350.t1	861	No	No
g351.t1	g351.t1	144	No	No
g352.t1	g352.t1	558	No	No
g353.t1	g353.t1	386	No	No
g354.t1	g354.t1	117	No	No
g355.t1	g355.t1	205	No	No
g356.t1	g356.t1	456	No	No
g357.t1	g357.t1	102	No	No
g358.t1	g358.t1	520	No	No
g359.t1	g359.t1	72	No	No
g360.t2	g360.t2	559	No	No
g361.t1	g361.t1	103	No	No
g362.t1	g362.t1	104	No	No
g363.t1	g363.t1	257	No	No
g364.t1	g364.t1	338	No	No
g365.t1	g365.t1	332	No	No
g366.t1	g366.t1	933	No	No
g367.t1	g367.t1	656	No	No
g368.t2	g368.t2	659	No	No
g369.t1	g369.t1	184	No	No
g370.t1	g370.t1	276	No	No
g371.t1	g371.t1	324	No	No
g372.t1	g372.t1	206	No	No
g373.t1	g373.t1	315	No	No
g374.t1	g374.t1	86	No	No
g375.t1	g375.t1	313	No	No
g376.t1	g376.t1	58	Yes	No
g377.t1	g377.t1	147	No	No
g378.t1	g378.t1	115	No	No
g379.t1	g379.t1	689	No	No
g380.t1	g380.t1	120	No	No
g381.t1	g381.t1	52	Yes	No
g382.t1	g382.t1	578	No	No
g383.t1	g383.t1	437	No	No
g384.t1	g384.t1	90	No	No
g385.t1	g385.t1	469	No	No
g386.t1	g386.t1	496	No	No
g387.t1	g387.t1	504	No	No
g388.t1	g388.t1	239	No	No
g389.t1	g389.t1	483	No	No
g390.t1	g390.t1	458	No	No
g391.t1	g391.t1	108	No	No
g392.t1	g392.t1	568	No	No
g393.t2	g393.t2	375	No	No
g394.t2	g394.t2	197	No	No
g395.t1	g395.t1	396	No	No
g396.t1	g396.t1	236	No	No
g397.t1	g397.t1	128	No	No
g398.t1	g398.t1	395	No	No
g399.t1	g399.t1	121	No	No
g400.t1	g400.t1	110	No	No
g401.t1	g401.t1	337	No	No
g402.t1	g402.t1	1287	No	No
g403.t1	g403.t1	293	No	No
g404.t1	g404.t1	73	No	No
g405.t1	g405.t1	471	No	No
g406.t1	g406.t1	368	No	No
g407.t1	g407.t1	105	No	No
g408.t1	g408.t1	286	Yes	No
g409.t1	g409.t1	177	No	No
g410.t1	g410.t1	459	No	No
g411.t1	g411.t1	320	No	No
g412.t1	g412.t1	718	No	No
g413.t1	g413.t1	232	Yes	No
g414.t1	g414.t1	206	No	No
g415.t1	g415.t1	3447	No	No
g416.t1	g416.t1	440	No	No
g417.t1	g417.t1	131	No	No
g418.t1	g418.t1	111	No	No
g419.t1	g419.t1	166	No	No
g420.t1	g420.t1	192	No	No
g421.t1	g421.t1	139	No	No
g422.t1	g422.t1	71	No	No
g423.t1	g423.t1	149	No	No
g424.t1	g424.t1	75	No	No
g425.t1	g425.t1	76	No	No
g426.t1	g426.t1	129	No	No
g427.t1	g427.t1	85	No	No
g428.t1	g428.t1	175	No	No
g429.t1	g429.t1	73	No	No
g430.t1	g430.t1	172	No	No
g431.t1	g431.t1	326	No	No
g432.t1	g432.t1	1054	No	No
g433.t1	g433.t1	85	No	No
g434.t1	g434.t1	68	No	No
g435.t1	g435.t1	101	No	No
g436.t1	g436.t1	139	No	No
g437.t1	g437.t1	406	No	No
g438.t1	g438.t1	145	No	No
g439.t1	g439.t1	203	No	No
g440.t1	g440.t1	80	Yes	No
g441.t1	g441.t1	205	No	No
g442.t1	g442.t1	394	No	No
g443.t1	g443.t1	160	No	No
g444.t1	g444.t1	106	No	No
g445.t1	g445.t1	233	No	No
g446.t1	g446.t1	74	No	No
g447.t1	g447.t1	102	Yes	No
g448.t1	g448.t1	361	No	No
g449.t1	g449.t1	82	No	No
g450.t1	g450.t1	549	No	No
g451.t1	g451.t1	305	No	No
g452.t1	g452.t1	155	No	No
g453.t1	g453.t1	191	No	No
g454.t1	g454.t1	319	No	No
g455.t1	g455.t1	316	No	No
g456.t1	g456.t1	345	No	No
g457.t1	g457.t1	215	No	No
g458.t1	g458.t1	755	No	No
g459.t1	g459.t1	287	No	No
g460.t1	g460.t1	123	No	No
g461.t1	g461.t1	56	Yes	No
g462.t1	g462.t1	329	Yes	No
g463.t1	g463.t1	174	No	No
g464.t1	g464.t1	1047	No	No
g465.t1	g465.t1	155	No	No
g466.t1	g466.t1	300	No	No
g467.t1	g467.t1	526	No	No
g468.t1	g468.t1	903	No	No
g469.t1	g469.t1	674	No	No
g470.t1	g470.t1	141	No	No
g471.t1	g471.t1	85	No	No
g472.t1	g472.t1	119	No	No
g473.t1	g473.t1	110	No	No
g474.t1	g474.t1	87	No	No
g475.t1	g475.t1	154	No	No
g476.t1	g476.t1	117	No	No
g477.t1	g477.t1	140	No	No
g478.t1	g478.t1	191	No	No
g479.t1	g479.t1	156	No	No
g480.t1	g480.t1	68	No	No
g481.t1	g481.t1	105	No	No
g482.t1	g482.t1	121	No	No
g483.t1	g483.t1	330	No	No
g484.t1	g484.t1	380	No	No
g485.t1	g485.t1	521	No	No
g486.t1	g486.t1	1097	No	No
g487.t1	g487.t1	68	No	No
g488.t1	g488.t1	74	No	No
g489.t1	g489.t1	245	No	No
g490.t1	g490.t1	76	No	No
g491.t1	g491.t1	90	No	No
g492.t1	g492.t1	194	No	No
g493.t1	g493.t1	108	No	No
g494.t1	g494.t1	612	No	No
g495.t1	g495.t1	133	No	No
g496.t1	g496.t1	254	No	No
g497.t1	g497.t1	746	No	No
g498.t1	g498.t1	270	No	No
g499.t1	g499.t1	331	No	No
g500.t1	g500.t1	160	No	No
g501.t1	g501.t1	76	No	No
g502.t1	g502.t1	105	No	No
g503.t1	g503.t1	103	No	No
g504.t1	g504.t1	471	No	No
g505.t1	g505.t1	183	No	No
g506.t1	g506.t1	125	No	No
g507.t1	g507.t1	1017	Yes	No
g508.t1	g508.t1	123	Yes	No
g509.t1	g509.t1	114	No	No
g510.t1	g510.t1	484	No	No
g511.t1	g511.t1	582	Yes	No
g512.t1	g512.t1	793	No	No
g513.t1	g513.t1	515	No	No
g514.t1	g514.t1	300	No	No
g515.t1	g515.t1	203	No	No
g516.t1	g516.t1	352	No	No
g517.t1	g517.t1	245	No	No
g518.t1	g518.t1	71	No	No
g519.t1	g519.t1	144	No	No
g520.t1	g520.t1	86	No	No
g521.t1	g521.t1	101	No	No
g522.t1	g522.t1	170	No	No
g523.t1	g523.t1	114	No	No
g524.t1	g524.t1	169	No	No
g525.t1	g525.t1	135	Yes	No
g526.t1	g526.t1	177	No	No
g527.t1	g527.t1	108	No	No
g528.t1	g528.t1	121	No	No
g529.t1	g529.t1	168	No	No
g530.t1	g530.t1	75	No	No
g531.t1	g531.t1	120	No	No
g532.t1	g532.t1	102	No	No
g533.t1	g533.t1	568	No	No
g534.t1	g534.t1	90	No	No
g535.t1	g535.t1	194	No	No
g536.t1	g536.t1	232	No	No
g537.t1	g537.t1	879	No	No
g538.t1	g538.t1	438	No	No
g539.t1	g539.t1	375	No	No
g540.t1	g540.t1	479	No	No
g541.t1	g541.t1	114	No	No
g542.t1	g542.t1	196	No	No
g543.t1	g543.t1	768	No	No
g544.t2	g544.t2	496	No	No
g545.t1	g545.t1	481	No	No
g546.t1	g546.t1	646	No	No
g547.t1	g547.t1	468	No	No
g548.t2	g548.t2	465	No	No
g549.t1	g549.t1	113	No	No
g550.t1	g550.t1	4423	No	No
g551.t1	g551.t1	147	No	No
g552.t1	g552.t1	153	No	No
g553.t1	g553.t1	976	No	No
g554.t1	g554.t1	151	No	No
g555.t1	g555.t1	564	No	No
g556.t1	g556.t1	482	No	No
g557.t1	g557.t1	233	No	No
g558.t1	g558.t1	85	No	No
g559.t1	g559.t1	166	No	No
g560.t1	g560.t1	359	No	No
g561.t1	g561.t1	190	No	No
g562.t1	g562.t1	48	No	No
g563.t1	g563.t1	414	No	No
g564.t1	g564.t1	267	No	No
g565.t1	g565.t1	678	No	No
g566.t1	g566.t1	403	No	No
g567.t1	g567.t1	279	No	No
g568.t1	g568.t1	320	No	No
g569.t1	g569.t1	548	No	No
g570.t1	g570.t1	1152	Yes	No
g571.t1	g571.t1	447	No	No
g572.t1	g572.t1	231	No	No
g573.t1	g573.t1	394	No	No
g574.t1	g574.t1	461	No	No
g575.t1	g575.t1	785	No	No
g576.t1	g576.t1	605	No	No
g577.t1	g577.t1	186	No	No
g578.t2	g578.t2	945	No	No
g579.t1	g579.t1	353	No	No
g580.t1	g580.t1	112	No	No
g581.t1	g581.t1	79	No	No
g582.t1	g582.t1	289	No	No
g583.t1	g583.t1	667	No	No
g584.t1	g584.t1	125	No	No
g585.t1	g585.t1	270	No	No
g586.t1	g586.t1	162	No	No
g587.t1	g587.t1	99	No	No
g588.t1	g588.t1	244	No	No
g589.t1	g589.t1	269	No	No
g590.t1	g590.t1	110	No	No
g591.t1	g591.t1	236	No	No
g592.t1	g592.t1	82	No	No
g593.t1	g593.t1	154	No	No
g594.t1	g594.t1	52	Yes	No
g595.t1	g595.t1	1205	No	No
g596.t1	g596.t1	325	No	No
g597.t1	g597.t1	465	No	No
g598.t1	g598.t1	440	No	No
g599.t1	g599.t1	1205	No	No
g600.t1	g600.t1	346	No	No
g601.t1	g601.t1	144	No	No
g602.t1	g602.t1	247	No	No
g603.t1	g603.t1	331	No	No
g604.t1	g604.t1	257	No	No
g605.t1	g605.t1	198	Yes	No
g606.t1	g606.t1	202	Yes	No
g607.t1	g607.t1	154	No	No
g608.t1	g608.t1	304	No	No
g609.t1	g609.t1	819	No	No
g610.t1	g610.t1	574	No	No
g611.t1	g611.t1	294	No	No
g612.t2	g612.t2	564	No	No
g613.t1	g613.t1	343	No	No
g614.t1	g614.t1	1106	No	No
g615.t1	g615.t1	83	No	No
g616.t1	g616.t1	294	No	No
g617.t1	g617.t1	483	No	No
g618.t1	g618.t1	840	No	No
g619.t1	g619.t1	33	Yes	No
g620.t1	g620.t1	392	Yes	No
g621.t1	g621.t1	292	No	No
g622.t1	g622.t1	325	No	No
g623.t1	g623.t1	243	No	No
g624.t1	g624.t1	316	No	No
g625.t1	g625.t1	150	No	No
g626.t1	g626.t1	135	No	No
g627.t1	g627.t1	216	No	No
g628.t1	g628.t1	829	No	No
g629.t1	g629.t1	342	No	No
g630.t1	g630.t1	161	No	No
g631.t1	g631.t1	382	No	No
g632.t1	g632.t1	193	No	No
g633.t1	g633.t1	2220	No	No
g634.t1	g634.t1	436	No	No
g635.t1	g635.t1	372	No	No
g636.t1	g636.t1	99	No	No
g637.t1	g637.t1	342	No	No
g638.t1	g638.t1	137	No	No
g639.t1	g639.t1	202	No	No
g640.t1	g640.t1	373	No	No
g641.t1	g641.t1	614	No	No
g642.t1	g642.t1	738	No	No
g643.t1	g643.t1	954	No	No
g644.t1	g644.t1	114	No	No
g645.t1	g645.t1	303	No	No
g646.t1	g646.t1	173	No	No
g647.t1	g647.t1	157	No	No
g648.t1	g648.t1	155	No	No
g649.t1	g649.t1	115	No	No
g650.t1	g650.t1	358	No	No
g651.t1	g651.t1	1899	No	No
g652.t1	g652.t1	123	No	No
g653.t1	g653.t1	85	No	No
g654.t1	g654.t1	619	Yes	No
g655.t1	g655.t1	130	No	No
g656.t1	g656.t1	228	No	No
g657.t1	g657.t1	70	No	No
g658.t1	g658.t1	138	No	No
g659.t1	g659.t1	126	No	No
g660.t1	g660.t1	971	No	No
g661.t1	g661.t1	458	No	No
g662.t1	g662.t1	469	No	No
g663.t1	g663.t1	168	No	No
g664.t1	g664.t1	183	No	No
g665.t1	g665.t1	110	Yes	No
g666.t1	g666.t1	83	No	No
g667.t1	g667.t1	451	No	No
g668.t1	g668.t1	574	No	No
g669.t1	g669.t1	638	No	No
g670.t1	g670.t1	160	No	No
g671.t1	g671.t1	119	No	No
g672.t1	g672.t1	362	No	No
g673.t1	g673.t1	269	No	No
g674.t1	g674.t1	75	No	No
g675.t1	g675.t1	109	No	No
g676.t1	g676.t1	228	No	No
g677.t1	g677.t1	1335	No	No
g678.t2	g678.t2	863	No	No
g679.t1	g679.t1	967	No	No
g680.t1	g680.t1	147	No	No
g681.t1	g681.t1	101	No	No
g682.t1	g682.t1	1342	No	No
g683.t1	g683.t1	178	No	No
g684.t1	g684.t1	125	No	No
g685.t1	g685.t1	956	No	No
g686.t1	g686.t1	125	No	No
g687.t1	g687.t1	216	No	No
g688.t1	g688.t1	83	No	No
g689.t1	g689.t1	204	No	No
g690.t1	g690.t1	204	No	No
g691.t1	g691.t1	68	No	No
g692.t1	g692.t1	267	Yes	No
g693.t1	g693.t1	276	No	No
g694.t1	g694.t1	47	Yes	No
g695.t1	g695.t1	168	No	No
g696.t1	g696.t1	95	No	No
g697.t1	g697.t1	505	No	No
g698.t1	g698.t1	627	No	No
g699.t1	g699.t1	148	No	No
g700.t1	g700.t1	147	No	No
g701.t1	g701.t1	139	No	No
g702.t1	g702.t1	139	No	No
g703.t1	g703.t1	150	No	No
g704.t1	g704.t1	248	No	No
g705.t1	g705.t1	727	No	No
g706.t1	g706.t1	452	No	No
g707.t1	g707.t1	784	No	No
g708.t1	g708.t1	392	No	No
g709.t1	g709.t1	369	No	No
g710.t1	g710.t1	650	Yes	No
g711.t1	g711.t1	693	No	No
g712.t1	g712.t1	208	No	No
g713.t1	g713.t1	132	No	No
g714.t1	g714.t1	133	Yes	No
g715.t1	g715.t1	514	No	No
g716.t1	g716.t1	101	No	No
g717.t1	g717.t1	149	No	No
g718.t1	g718.t1	178	No	No
g719.t1	g719.t1	289	No	No
g720.t1	g720.t1	110	No	No
g721.t1	g721.t1	248	No	No
g722.t1	g722.t1	187	No	No
g723.t1	g723.t1	184	No	No
g724.t1	g724.t1	242	No	No
g725.t1	g725.t1	97	No	No
g726.t1	g726.t1	314	No	No
g727.t1	g727.t1	377	No	No
g728.t1	g728.t1	723	No	No
g729.t1	g729.t1	283	No	No
g730.t1	g730.t1	232	No	No
g731.t1	g731.t1	159	No	No
g732.t1	g732.t1	105	No	No
g733.t1	g733.t1	173	No	No
g734.t1	g734.t1	235	No	No
g735.t1	g735.t1	88	No	No
g736.t1	g736.t1	195	No	No
g737.t1	g737.t1	133	No	No
g738.t1	g738.t1	163	No	No
g739.t1	g739.t1	1053	No	No
g740.t1	g740.t1	132	No	No
g741.t1	g741.t1	122	No	No
g742.t1	g742.t1	400	No	No
g743.t1	g743.t1	442	No	No
g744.t1	g744.t1	149	No	No
g745.t1	g745.t1	154	No	No
g746.t1	g746.t1	833	No	No
g747.t1	g747.t1	108	No	No
g748.t1	g748.t1	423	Yes	No
g749.t1	g749.t1	376	No	No
g750.t1	g750.t1	153	Yes	No
g751.t1	g751.t1	84	Yes	No
g752.t1	g752.t1	357	No	No
g753.t1	g753.t1	469	No	No
g754.t1	g754.t1	123	No	No
g755.t1	g755.t1	861	No	No
g756.t1	g756.t1	158	No	No
g757.t1	g757.t1	109	No	No
g758.t1	g758.t1	99	No	No
g759.t1	g759.t1	653	No	No
g760.t1	g760.t1	68	No	No
g761.t1	g761.t1	214	No	No
g762.t1	g762.t1	100	No	No
g763.t1	g763.t1	2774	No	No
g764.t1	g764.t1	526	No	No
g765.t1	g765.t1	260	No	No
